new_id,ID2,Glottocode,Form,consonant,vowel,C description,V description
55,,nhan1238,amma,,,,
56,,wong1246,nundeca,,,,
57,,zigu1242,tate,,,,
58,,sang1331,tata,,,,
59,,kumb1268,paapa,,,,
60,,komb1273,awong,,,,
61,,luba1249,nyin,,,,
62,,vari1239,sinana,,,,
63,,udmu1245,mumɩ,,,,
64,,finn1318,æiti,,,,
65,,sang1333,nguyi,,,,
66,,boun1245,anum,,,,
67,,kodi1247,inja,,,,
68,,cent2131,eyeri,,,,
69,,deho1238,haŋ2 xam2,,,,
70,,para1312,-'y'a,,,,
71,,warr1257,ngirang,,,,
72,,loni1238,ɲanɛ,,,,
73,,kaur1267,ŋaŋkita,,,,
74,,kuku1273,mama,,,,
75,,ngar1287,ngangka,,,,
76,,tiko1237,tinana,,,,
77,,wawo1239,tina,,,,
78,,rovi1238,tina-na,,,,
79,,nucl1649,noo,,,,
80,,gada1258,ina,,,,
81,,sout2976,naan,,,,
82,,hawa1245,kǔ´-ǔ mä-kǔ'-ǎ kä´-na,,,,
83,,slov1269,mať,,,,
84,,russ1263,mat',,,,
85,,mari1426,tai,,,,
86,,iris1253,mathair,,,,
87,,noga1249,ana,,,,
88,,mouk1240,ide,,,,
89,,suku1259,ngudi,,,,
90,,mait1250,māy,,,,
91,,guny1241,yanganu,,,,
92,,cupe1243,ye,,,,
93,,iton1250,a-noʔka,,,,
94,,stan1288,mamá,,,,
95,,west2515,muma,,,,
96,,hind1269,mataji,,,,
97,,west2560,iyang,,,,
98,,wang1288,yipi,,,,
99,,winn1245,nä-neʼ-kä,,,,
100,,yano1262,na-yə,,,,
101,,luis1253,yó,,,,
102,,high1278,i-nan-c̷in,,,,
103,,mang1401,kui,,,,
104,,dobu1241,sinana,,,,
105,,toke1240,mātua,,,,
106,,wong1246,ummaldja,,,,
107,,lisu1250,ama̠,,,,
108,,ponc1241,näʼ-hä,,,,
109,,wulg1239,kami,,,,
110,,roto1249,aako,,,,
