"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"MBALA_2",,"mbal1257","xd39","Ac15",1,13,2,12,1,5,1,"ngwaaʃi; leemba","ngwaaʃi; leemba","daada; daada","daada; daada","dâda; dâawa; tata","maawa","maawa","daada","daada","maawa"
"MBALA",,"mbal1257","xd39","Ac15",1,13,2,12,1,5,1,"ngwaaʃi; leemba","ngwaaʃi; leemba","daada; daada","daada; daada","dâda; dâawa; tata","maawa","maawa","daada","daada","maawa"
"MBALA_4",,"mbal1257","xd39","Ac15",1,13,2,12,1,5,1,"ngwaaʃi; leemba","ngwaaʃi; leemba","daada; daada","daada; daada","dâda; dâawa; tata","maawa","maawa","daada","daada","maawa"
"MBALA_5",,"mbal1257","xd39","Ac15",1,13,2,12,1,5,1,"ngwaaʃi; leemba","ngwaaʃi; leemba","daada; daada","daada; daada","dâda; dâawa; tata","maawa","maawa","daada","daada","maawa"
"K11_CIOKWE",,"chok1245","xd36","Ac12",1,1,3,2,2,5,1,"matu","matu","tata wa songo","tata wa songo","tata","mama wa songo","mama wa songo","tata pwo","tata pwo","mama"
"CHOKWE",,"chok1245","xd36","Ac12",1,1,3,2,2,5,1,"matu","matu","tata wa songo","tata wa songo","tata","mama wa songo","mama wa songo","tata pwo","tata pwo","mama"
"LUVALE",,"luva1239","xd35","Ac11",1,1,3,1,1,5,1,"mandumi","mandumi","tata","tata","tata","mama","mama","tatankaji","tatankaji","mama"
"K14_LWENA_1",,"luva1239","xd35","Ac11",1,1,3,1,1,5,1,"mandumi","mandumi","tata","tata","tata","mama","mama","tatankaji","tatankaji","mama"
"K14_LWENA_2",,"luva1239","xd35","Ac11",1,1,3,1,1,5,1,"mandumi","mandumi","tata","tata","tata","mama","mama","tatankaji","tatankaji","mama"
"LUNDA",,"lund1266","xd72","Ac6",1,1,3,1,1,5,1,"mandumi","mandumi","tata wamukulumpi","tata wakansi","tata","mama wamukulumpi","mama wakansi","tatankaji","tatankaji","mama"
"LUNDA_1",,"lund1266","xd72","Ac6",1,1,3,1,1,5,1,"mandumi","mandumi","tata wamukulumpi","tata wakansi","tata","mama wamukulumpi","mama wakansi","tatankaji","tatankaji","mama"
"LUNDA_2",,"lund1266","xd72","Ac6",1,1,3,1,1,5,1,"mandumi","mandumi","tata wamukulumpi","tata wakansi","tata","mama wamukulumpi","mama wakansi","tatankaji","tatankaji","mama"
"UMBUNDU",,"umbu1257","xd28","Ab5, SCCS5",1,1,3,2,2,5,1,"manu","manu","manu","manu","mai","tatekāi","tatekāi","tatekāi","tatekāi","tate"
"UMBUNDU_2",,"umbu1257","xd28","Ab5, SCCS5",1,1,3,2,2,5,1,"manu","manu","manu","manu","mai","tatekāi","tatekāi","tatekāi","tatekāi","tate"
"HERERO",,"here1253","xd10","Ab1",1,1,3,3,3,5,1,"o-hokuru; o-honini","o-nguende","o-hokuru; o-honini; honini","inyangu; inyangu","tate; tate",,"inyangu","o-hongaze","o-hongaze","mama; mama"
"HERERO_2",,"here1253","xd10","Ab1",1,1,3,3,3,5,1,"o-hokuru; o-honini","o-nguende","o-hokuru; o-honini; honini","inyangu; inyangu","tate; tate",,"inyangu","o-hongaze","o-hongaze","mama; mama"
"L33_LUBA_SHABA",,"luba1250","xd182, xd61","Ac35, Ae6",1,1,3,15,9,5,1,"mansewa mu-ishio","mansewa mu-ishio","táátu mukulu","táátu mwååkunyi","tata","baaba mukulu","baaba mwååkunyi","mankaji","mankaji","ina"
