"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"BIRA",,"bera1259","xd154","Ae34",1,,,,,,1,"yàyá; noko","yàyá; noko","om-epa","mot-epa","mîkí","om-ema","mot-ema","kola","kola","bàhá"
"BIRA_MIALA_BUNIA",,"bera1259","xd154","Ae34",1,,,,,,1,"yàyá; noko","yàyá; noko","om-epa","mot-epa","mîkí","om-ema","mot-ema","kola","kola","bàhá"
"BIRA_SEDZABO",,"bera1259","xd154","Ae34",1,,,,,,1,"yàyá; noko","yàyá; noko","om-epa","mot-epa","mîkí","om-ema","mot-ema","kola","kola","bàhá"
"GENGELE",,"song1300","xd129","Ae11",1,7,8,15,9,4,1,"munso","munso","asa moto","asa moto","asa","ngu","ngu","ngu","ngu","ngu"
"SONGOLA_KASENGA",,"song1300","xd129","Ae11",1,7,8,15,9,4,1,"munso","munso","asa moto","asa moto","asa","ngu","ngu","ngu","ngu","ngu"
"SONGOLA_ULINDI",,"song1300","xd129","Ae11",1,7,8,15,9,4,1,"munso","munso","asa moto","asa moto","asa","ngu","ngu","ngu","ngu","ngu"
"VENDA_2",,"vend1245","xd29","Ab6",1,1,3,2,2,5,1,"malume","malume","khotsimuhulu","khotsimunene","khotsi","mmemuhulu","mmane","makhadzi","makhadzi","mme"
"VENDA",,"vend1245","xd29","Ab6",1,1,3,2,2,5,1,"malume","malume","khotsimuhulu","khotsimunene","khotsi","mmemuhulu","mmane","makhadzi","makhadzi","mme"
"TSWANA_2",,"tswa1253","xd14","Ab13",1,10,1,8,1,5,1,"malome","malome","rre-mogolo","rrangwane","rre","mme-mogolo","mmangwane","rrakgadi","rrakgadi","mme"
"TSWANA",,"tswa1253","xd14","Ab13",1,10,1,8,1,5,1,"malome","malome","rre-mogolo","rrangwane","rre","mme-mogolo","mmangwane","rrakgadi","rrakgadi","mme"
"SILOZI",,"lozi1239","xd26","Ab3, SCCS4",1,7,8,15,9,4,1,"me","me","ndate yo muhulu","ndate yo munyinyani","ndole","me yomuhulu","me yomunginyani","ndate wa musali","ndate wa musali","me"
"LOZI_2",,"lozi1239","xd26","Ab3, SCCS4",1,7,8,15,9,4,1,"me","me","ndate yo muhulu","ndate yo munyinyani","ndole","me yomuhulu","me yomunginyani","ndate wa musali","ndate wa musali","me"
"TSONGA",,"tson1249","xd27","Ab4, SCCS3",1,12,5,15,9,6,1,"kokwane; malume","kokwane; malume","tatana lo'nkulu","tatana lo'ntsongo","tatana","manana lo'nkulu","manana lo'tongo","hahane","hahane","manana"
"NGONI_2",,"zulu1248","xd13","Ab12",1,7,8,15,9,5,1,"u-mä-lǔ´-mä; malume","u-mä-lǔ´-mä; malume","u-bä-bä-kä´-sa; baba omukulu","u-bä-bä-kä´-sa; baba omncane","u-bä'-bä; baba","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-bä´-bä; babakazi","u-bä´-bä; babakazi","u-mä´-me; mame"
