Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
831	0.285199	169	0.603550	1.683647	831	0.285199	0.339000	0.349927	
811	0.281134	189	0.661376	1.683647	811	0.281134	0.353000	0.349930	
823	0.273390	177	0.632768	1.683647	823	0.273390	0.337000	0.349917	
829	0.270205	171	0.707602	1.683647	829	0.270205	0.345000	0.349912	
832	0.282452	168	0.595238	1.683647	832	0.282452	0.335000	0.349897	
817	0.281518	183	0.612022	1.683647	817	0.281518	0.342000	0.349889	
799	0.281602	201	0.681592	1.683647	799	0.281602	0.362000	0.349901	
831	0.298436	169	0.650888	1.683647	831	0.298436	0.358000	0.349909	
829	0.299156	171	0.736842	1.683647	829	0.299156	0.374000	0.349933	
823	0.308627	177	0.406780	1.683647	823	0.308627	0.326000	0.349910	
826	0.301453	174	0.545977	1.683647	826	0.301453	0.344000	0.349904	
819	0.278388	181	0.662983	1.683647	819	0.278388	0.348000	0.349902	
830	0.263855	170	0.676471	1.683647	830	0.263855	0.334000	0.349886	
837	0.302270	163	0.650307	1.683647	837	0.302270	0.359000	0.349895	
813	0.273063	187	0.620321	1.683647	813	0.273063	0.338000	0.349883	
839	0.295590	161	0.633540	1.683647	839	0.295590	0.350000	0.349884	
838	0.305489	162	0.703704	1.683647	838	0.305489	0.370000	0.349903	
816	0.264706	184	0.625000	1.683647	816	0.264706	0.331000	0.349885	
835	0.298204	165	0.569697	1.683647	835	0.298204	0.343000	0.349878	
822	0.332117	178	0.584270	1.683647	822	0.332117	0.377000	0.349905	
822	0.294404	178	0.623596	1.683647	822	0.294404	0.353000	0.349908	
813	0.269373	187	0.641711	1.683647	813	0.269373	0.339000	0.349897	
829	0.282268	171	0.736842	1.683647	829	0.282268	0.360000	0.349907	
815	0.292025	185	0.691892	1.683647	815	0.292025	0.366000	0.349923	
854	0.290398	146	0.630137	1.683647	854	0.290398	0.340000	0.349913	
832	0.283654	168	0.636905	1.683647	832	0.283654	0.343000	0.349906	
818	0.277506	182	0.637363	1.683647	818	0.277506	0.343000	0.349899	
825	0.296970	175	0.640000	1.683647	825	0.296970	0.357000	0.349906	
811	0.331689	189	0.619048	1.683647	811	0.331689	0.386000	0.349941	
819	0.284493	181	0.569061	1.683647	819	0.284493	0.336000	0.349928	
820	0.314634	180	0.638889	1.683647	820	0.314634	0.373000	0.349950	
806	0.240695	194	0.711340	1.683647	806	0.240695	0.332000	0.349933	
851	0.299647	149	0.557047	1.683647	851	0.299647	0.338000	0.349921	
820	0.281707	180	0.711111	1.683647	820	0.281707	0.359000	0.349930	
823	0.281896	177	0.734463	1.683647	823	0.281896	0.362000	0.349942	
798	0.295739	202	0.643564	1.683647	798	0.295739	0.366000	0.349957	
836	0.282297	164	0.652439	1.683647	836	0.282297	0.343000	0.349950	
814	0.320639	186	0.607527	1.683647	814	0.320639	0.374000	0.349974	
834	0.302158	166	0.638554	1.683647	834	0.302158	0.358000	0.349981	
825	0.272727	175	0.622857	1.683647	825	0.272727	0.334000	0.349966	
825	0.265455	175	0.600000	1.683647	825	0.265455	0.324000	0.349941	
824	0.281553	176	0.630682	1.683647	824	0.281553	0.343000	0.349934	
834	0.285372	166	0.650602	1.683647	834	0.285372	0.346000	0.349931	
840	0.342857	160	0.600000	1.683647	840	0.342857	0.384000	0.349963	
803	0.280199	197	0.680203	1.683647	803	0.280199	0.359000	0.349972	
844	0.290284	156	0.576923	1.683647	844	0.290284	0.335000	0.349958	
838	0.303103	162	0.580247	1.683647	838	0.303103	0.348000	0.349956	
792	0.318182	208	0.653846	1.683647	792	0.318182	0.388000	0.349992	
835	0.314970	165	0.696970	1.683647	835	0.314970	0.378000	0.350019	
812	0.299261	188	0.654255	1.683647	812	0.299261	0.366000	0.350034	
819	0.295482	181	0.668508	1.683647	819	0.295482	0.363000	0.350046	
823	0.292831	177	0.666667	1.683647	823	0.292831	0.359000	0.350055	
812	0.259852	188	0.585106	1.683647	812	0.259852	0.321000	0.350027	
833	0.266507	167	0.604790	1.683647	833	0.266507	0.323000	0.350002	
828	0.263285	172	0.622093	1.683647	828	0.263285	0.325000	0.349978	
836	0.270335	164	0.646341	1.683647	836	0.270335	0.332000	0.349961	
836	0.316986	164	0.524390	1.683647	836	0.316986	0.351000	0.349962	
848	0.323113	152	0.651316	1.683647	848	0.323113	0.373000	0.349984	
817	0.261934	183	0.579235	1.683647	817	0.261934	0.320000	0.349955	
815	0.298160	185	0.654054	1.683647	815	0.298160	0.364000	0.349969	
835	0.295808	165	0.703030	1.683647	835	0.295808	0.363000	0.349981	
821	0.267966	179	0.642458	1.683647	821	0.267966	0.335000	0.349967	
818	0.286064	182	0.714286	1.683647	818	0.286064	0.364000	0.349980	
823	0.314702	177	0.525424	1.683647	823	0.314702	0.352000	0.349982	
812	0.283251	188	0.648936	1.683647	812	0.283251	0.352000	0.349984	
794	0.308564	206	0.713592	1.683647	794	0.308564	0.392000	0.350023	
821	0.304507	179	0.715084	1.683647	821	0.304507	0.378000	0.350049	
839	0.300358	161	0.720497	1.683647	839	0.300358	0.368000	0.350066	
813	0.285363	187	0.577540	1.683647	813	0.285363	0.340000	0.350057	
811	0.276202	189	0.597884	1.683647	811	0.276202	0.337000	0.350045	
785	0.282803	215	0.618605	1.683647	785	0.282803	0.355000	0.350049	
816	0.254902	184	0.695652	1.683647	816	0.254902	0.336000	0.350036	
790	0.296203	210	0.561905	1.683647	790	0.296203	0.352000	0.350038	
853	0.266120	147	0.653061	1.683647	853	0.266120	0.323000	0.350013	
836	0.290670	164	0.701220	1.683647	836	0.290670	0.358000	0.350020	
804	0.279851	196	0.698980	1.683647	804	0.279851	0.362000	0.350031	
822	0.259124	178	0.651685	1.683647	822	0.259124	0.329000	0.350012	
809	0.283066	191	0.675393	1.683647	809	0.283066	0.358000	0.350019	
820	0.307317	180	0.688889	1.683647	820	0.307317	0.376000	0.350043	
818	0.287286	182	0.670330	1.683647	818	0.287286	0.357000	0.350050	
847	0.327037	153	0.509804	1.683647	847	0.327037	0.355000	0.350054	
839	0.294398	161	0.577640	1.683647	839	0.294398	0.340000	0.350045	
818	0.312958	182	0.626374	1.683647	818	0.312958	0.370000	0.350063	
808	0.308168	192	0.718750	1.683647	808	0.308168	0.387000	0.350097	
824	0.297330	176	0.630682	1.683647	824	0.297330	0.356000	0.350103	
819	0.315018	181	0.552486	1.683647	819	0.315018	0.358000	0.350110	
833	0.273709	167	0.658683	1.683647	833	0.273709	0.338000	0.350099	
816	0.280637	184	0.630435	1.683647	816	0.280637	0.345000	0.350094	
808	0.284653	192	0.635417	1.683647	808	0.284653	0.352000	0.350096	
817	0.279070	183	0.655738	1.683647	817	0.279070	0.348000	0.350094	
824	0.266990	176	0.602273	1.683647	824	0.266990	0.326000	0.350072	
805	0.260870	195	0.589744	1.683647	805	0.260870	0.325000	0.350049	
849	0.297998	151	0.622517	1.683647	849	0.297998	0.347000	0.350046	
844	0.305687	156	0.564103	1.683647	844	0.305687	0.346000	0.350043	
818	0.308068	182	0.725275	1.683647	818	0.308068	0.384000	0.350074	
840	0.298810	160	0.687500	1.683647	840	0.298810	0.361000	0.350084	
812	0.295567	188	0.558511	1.683647	812	0.295567	0.345000	0.350079	
817	0.302326	183	0.688525	1.683647	817	0.302326	0.373000	0.350100	
823	0.235723	177	0.593220	1.683647	823	0.235723	0.299000	0.350053	
820	0.260976	180	0.738889	1.683647	820	0.260976	0.347000	0.350051	
799	0.286608	201	0.716418	1.683647	799	0.286608	0.373000	0.350071	
825	0.254545	175	0.708571	1.683647	825	0.254545	0.334000	0.350057	
822	0.279805	178	0.561798	1.683647	822	0.279805	0.330000	0.350039	
842	0.313539	158	0.525316	1.683647	842	0.313539	0.347000	0.350036	
831	0.262335	169	0.686391	1.683647	831	0.262335	0.334000	0.350021	
836	0.264354	164	0.737805	1.683647	836	0.264354	0.342000	0.350014	
812	0.284483	188	0.707447	1.683647	812	0.284483	0.364000	0.350027	
825	0.286061	175	0.554286	1.683647	825	0.286061	0.333000	0.350011	
807	0.288724	193	0.585492	1.683647	807	0.288724	0.346000	0.350008	
834	0.310552	166	0.789157	1.683647	834	0.310552	0.390000	0.350044	
832	0.308894	168	0.642857	1.683647	832	0.308894	0.365000	0.350057	
814	0.273956	186	0.725806	1.683647	814	0.273956	0.358000	0.350064	
813	0.339483	187	0.577540	1.683647	813	0.339483	0.384000	0.350095	
825	0.278788	175	0.571429	1.683647	825	0.278788	0.330000	0.350077	
819	0.302808	181	0.696133	1.683647	819	0.302808	0.374000	0.350098	
825	0.277576	175	0.531429	1.683647	825	0.277576	0.322000	0.350073	
828	0.282609	172	0.575581	1.683647	828	0.282609	0.333000	0.350058	
839	0.301549	161	0.645963	1.683647	839	0.301549	0.357000	0.350064	
803	0.288917	197	0.700508	1.683647	803	0.288917	0.370000	0.350082	
830	0.310843	170	0.647059	1.683647	830	0.310843	0.368000	0.350098	
814	0.319410	186	0.672043	1.683647	814	0.319410	0.385000	0.350129	
817	0.255814	183	0.601093	1.683647	817	0.255814	0.319000	0.350101	
823	0.267315	177	0.683616	1.683647	823	0.267315	0.341000	0.350093	
798	0.329574	202	0.613861	1.683647	798	0.329574	0.387000	0.350126	
846	0.289598	154	0.545455	1.683647	846	0.289598	0.329000	0.350107	
836	0.308612	164	0.603659	1.683647	836	0.308612	0.357000	0.350113	
822	0.263990	178	0.573034	1.683647	822	0.263990	0.319000	0.350086	
804	0.283582	196	0.647959	1.683647	804	0.283582	0.355000	0.350090	
868	0.311060	132	0.386364	1.683647	868	0.311060	0.321000	0.350064	
813	0.249692	187	0.647059	1.683647	813	0.249692	0.324000	0.350041	
834	0.285372	166	0.626506	1.683647	834	0.285372	0.342000	0.350034	
804	0.248756	196	0.566327	1.683647	804	0.248756	0.311000	0.350000	
823	0.273390	177	0.638418	1.683647	823	0.273390	0.338000	0.349989	
815	0.285890	185	0.621622	1.683647	815	0.285890	0.348000	0.349987	
837	0.296296	163	0.650307	1.683647	837	0.296296	0.354000	0.349991	
823	0.292831	177	0.649718	1.683647	823	0.292831	0.356000	0.349996	
833	0.266507	167	0.712575	1.683647	833	0.266507	0.341000	0.349988	
833	0.283313	167	0.592814	1.683647	833	0.283313	0.335000	0.349975	
828	0.309179	172	0.622093	1.683647	828	0.309179	0.363000	0.349987	
836	0.314593	164	0.524390	1.683647	836	0.314593	0.349000	0.349986	
848	0.268868	152	0.657895	1.683647	848	0.268868	0.328000	0.349966	
793	0.320303	207	0.685990	1.683647	793	0.320303	0.396000	0.350007	
826	0.271186	174	0.574713	1.683647	826	0.271186	0.324000	0.349984	
817	0.298654	183	0.655738	1.683647	817	0.298654	0.364000	0.349996	
789	0.334601	211	0.677725	1.683647	789	0.334601	0.407000	0.350046	
801	0.324594	199	0.562814	1.683647	801	0.324594	0.372000	0.350065	
819	0.264957	181	0.729282	1.683647	819	0.264957	0.349000	0.350064	
815	0.312883	185	0.643243	1.683647	815	0.312883	0.374000	0.350085	
833	0.282113	167	0.628743	1.683647	833	0.282113	0.340000	0.350076	
