Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/mXpermitted.bttrees
Data File Name:                  ./processed_data/mXpermitted.btdata
Log File Name:                   ./results/mXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3664068385
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/mXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
61000	-46.588132	84	9.369333	1.062000	0.206158	2.948714	0.066684	0.424491	0.069080	0.439745	
62000	-48.116301	31	1.471618	0.385230	0.160028	3.247078	0.029121	0.158908	0.125755	0.686215	
63000	-47.056940	54	11.793479	1.491115	2.132436	0.493854	0.474996	0.024282	0.476370	0.024352	
64000	-49.743034	54	20.880659	1.195779	3.282904	5.107970	0.248971	0.251040	0.248960	0.251029	
65000	-46.837924	19	6.744339	0.757343	0.708873	2.714112	0.156887	0.303656	0.183770	0.355687	
66000	-48.548461	93	25.872406	5.247123	0.879681	2.313036	0.247757	0.252243	0.247757	0.252243	
67000	-47.317666	79	18.968115	2.377638	0.336026	2.725676	0.107298	0.392695	0.107301	0.392706	
68000	-46.365995	35	7.357384	0.507310	1.303362	0.430761	0.463987	0.011683	0.511451	0.012878	
69000	-48.356828	1	15.756674	0.866798	1.571166	2.796224	0.262971	0.237338	0.262646	0.237045	
70000	-47.877956	81	23.149153	3.186380	0.811421	3.803312	0.192859	0.307141	0.192859	0.307141	
71000	-47.635733	68	8.549697	0.903344	0.409017	1.908447	0.246875	0.241780	0.258338	0.253006	
72000	-46.983643	41	13.005074	1.408245	1.430164	0.294348	0.493082	0.006678	0.493556	0.006684	
73000	-47.738240	3	12.904965	1.466514	1.296870	4.368057	0.204349	0.295366	0.204582	0.295703	
74000	-54.318945	30	16.821664	4.081330	6.330939	5.139784	0.251030	0.248966	0.251034	0.248970	
75000	-49.722699	94	10.225751	1.188075	4.865053	4.648136	0.254599	0.240870	0.259256	0.245275	
76000	-49.727269	7	7.947442	1.625160	0.714043	1.461375	0.335552	0.152724	0.351665	0.160058	
77000	-49.051026	76	0.244937	0.713989	0.075707	3.320035	0.001143	0.008773	0.114152	0.875932	
78000	-47.652917	48	5.056587	1.092407	1.498295	0.481311	0.423528	0.018425	0.534782	0.023265	
79000	-47.107627	67	11.437565	1.343133	0.110601	2.909892	0.050984	0.446818	0.051434	0.450765	
80000	-48.384588	40	19.717488	2.046759	2.623422	4.247410	0.246520	0.253481	0.246519	0.253480	
81000	-50.991139	87	8.913211	1.367755	5.747483	7.410385	0.246663	0.246446	0.253557	0.253334	
82000	-51.629921	5	13.023944	4.221587	1.327737	3.617403	0.222737	0.277105	0.222878	0.277280	
83000	-48.420458	82	42.237097	7.009867	1.846816	0.794077	0.466259	0.033741	0.466259	0.033741	
84000	-48.021223	54	44.358414	2.699363	2.128904	1.014470	0.432731	0.067269	0.432731	0.067269	
85000	-47.879658	19	11.766112	0.629019	0.994001	0.686126	0.480602	0.021964	0.475693	0.021740	
86000	-47.438331	68	9.298634	1.358858	1.102531	3.933071	0.203961	0.288882	0.209884	0.297273	
87000	-51.811565	59	24.250638	0.923122	4.266461	3.692418	0.269132	0.230874	0.269125	0.230868	
88000	-48.491040	7	11.243208	0.586809	1.589271	1.723515	0.361180	0.142446	0.355979	0.140395	
89000	-46.841819	88	14.617548	1.676487	0.755797	4.021795	0.162964	0.336936	0.163029	0.337070	
90000	-48.078992	84	14.206262	1.084255	2.865851	1.289966	0.426187	0.074274	0.425402	0.074137	
91000	-46.885685	44	23.850545	1.268092	0.485718	3.256793	0.149378	0.350623	0.149377	0.350622	
92000	-49.001571	45	17.156308	1.608838	2.524159	5.204491	0.239062	0.260968	0.239034	0.260937	
93000	-48.604764	85	2.403516	0.492738	0.880780	1.943523	0.157630	0.121294	0.407505	0.313570	
94000	-47.662037	46	16.481965	0.974103	2.340423	0.101970	0.498528	0.001601	0.498272	0.001600	
95000	-47.384561	94	9.556822	1.131708	0.384708	2.080983	0.160512	0.332333	0.165172	0.341983	
96000	-46.597775	48	9.078526	0.931034	0.961474	4.012261	0.184323	0.309959	0.188588	0.317131	
97000	-49.807672	10	3.267779	1.258798	1.786780	3.725865	0.170305	0.187927	0.305099	0.336669	
98000	-45.712285	96	11.781241	1.056213	1.912553	0.395851	0.486386	0.012485	0.488587	0.012542	
99000	-47.637877	26	5.161627	0.810648	0.685742	2.530856	0.170313	0.251206	0.233733	0.344748	
100000	-46.580931	86	10.583539	0.737469	0.535960	3.091905	0.177048	0.323133	0.176920	0.322899	
101000	-47.397001	44	35.949821	5.878334	1.912112	3.155281	0.259844	0.240156	0.259844	0.240156	
102000	-49.098564	20	8.982466	2.076323	1.165212	0.634073	0.470364	0.022507	0.483972	0.023158	
103000	-48.145499	78	25.841055	2.819745	1.220756	4.009414	0.193233	0.306767	0.193233	0.306767	
104000	-47.690520	48	8.739536	1.360762	2.658423	3.868500	0.251847	0.241133	0.259019	0.248000	
105000	-48.480615	78	5.055885	0.786867	1.922682	0.357669	0.412522	0.009619	0.564690	0.013168	
106000	-46.839294	84	10.630819	0.893730	1.573020	0.975553	0.459452	0.038935	0.462426	0.039187	
107000	-48.815731	95	25.477204	4.964623	1.039102	3.764176	0.203204	0.296796	0.203204	0.296796	
108000	-45.705395	57	8.174551	0.588673	0.863548	2.982786	0.222814	0.268210	0.230960	0.278016	
109000	-47.314339	26	6.514445	0.881484	1.596961	3.572614	0.215083	0.244629	0.252781	0.287506	
