Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
821	0.294762	179	0.687151	1.711251	821	0.294762	0.365000	0.332675	
832	0.266827	168	0.684524	1.711251	832	0.266827	0.337000	0.332679	
832	0.326923	168	0.642857	1.711251	832	0.326923	0.380000	0.332726	
806	0.305211	194	0.654639	1.711251	806	0.305211	0.373000	0.332767	
851	0.286722	149	0.570470	1.711251	851	0.286722	0.329000	0.332763	
859	0.296857	141	0.673759	1.711251	859	0.296857	0.350000	0.332780	
812	0.275862	188	0.627660	1.711251	812	0.275862	0.342000	0.332789	
838	0.266110	162	0.660494	1.711251	838	0.266110	0.330000	0.332786	
849	0.277974	151	0.635762	1.711251	849	0.277974	0.332000	0.332786	
831	0.276775	169	0.639053	1.711251	831	0.276775	0.338000	0.332791	
820	0.264634	180	0.583333	1.711251	820	0.264634	0.322000	0.332780	
803	0.262765	197	0.609137	1.711251	803	0.262765	0.331000	0.332778	
824	0.268204	176	0.670455	1.711251	824	0.268204	0.339000	0.332784	
821	0.305725	179	0.698324	1.711251	821	0.305725	0.376000	0.332827	
829	0.278649	171	0.602339	1.711251	829	0.278649	0.334000	0.332828	
816	0.294118	184	0.597826	1.711251	816	0.294118	0.350000	0.332845	
829	0.331725	171	0.649123	1.711251	829	0.331725	0.386000	0.332897	
857	0.271879	143	0.664336	1.711251	857	0.271879	0.328000	0.332893	
848	0.275943	152	0.730263	1.711251	848	0.275943	0.345000	0.332904	
817	0.303550	183	0.693989	1.711251	817	0.303550	0.375000	0.332946	
831	0.279182	169	0.544379	1.711251	831	0.279182	0.324000	0.332937	
814	0.299754	186	0.623656	1.711251	814	0.299754	0.360000	0.332963	
840	0.236905	160	0.675000	1.711251	840	0.236905	0.307000	0.332938	
834	0.297362	166	0.656627	1.711251	834	0.297362	0.357000	0.332962	
840	0.263095	160	0.568750	1.711251	840	0.263095	0.312000	0.332941	
828	0.289855	172	0.656977	1.711251	828	0.289855	0.353000	0.332961	
808	0.285891	192	0.723958	1.711251	808	0.285891	0.370000	0.332997	
811	0.298397	189	0.746032	1.711251	811	0.298397	0.383000	0.333045	
830	0.243373	170	0.564706	1.711251	830	0.243373	0.298000	0.333011	
824	0.303398	176	0.653409	1.711251	824	0.303398	0.365000	0.333042	
824	0.269417	176	0.607955	1.711251	824	0.269417	0.329000	0.333038	
826	0.283293	174	0.603448	1.711251	826	0.283293	0.339000	0.333044	
828	0.264493	172	0.616279	1.711251	828	0.264493	0.325000	0.333036	
829	0.300362	171	0.584795	1.711251	829	0.300362	0.349000	0.333052	
843	0.287070	157	0.503185	1.711251	843	0.287070	0.321000	0.333040	
831	0.259928	169	0.698225	1.711251	831	0.259928	0.334000	0.333041	
841	0.274673	159	0.704403	1.711251	841	0.274673	0.343000	0.333051	
835	0.270659	165	0.660606	1.711251	835	0.270659	0.335000	0.333053	
824	0.293689	176	0.653409	1.711251	824	0.293689	0.357000	0.333076	
820	0.265854	180	0.688889	1.711251	820	0.265854	0.342000	0.333084	
836	0.289474	164	0.640244	1.711251	836	0.289474	0.347000	0.333098	
822	0.296837	178	0.595506	1.711251	822	0.296837	0.350000	0.333114	
827	0.299879	173	0.612717	1.711251	827	0.299879	0.354000	0.333134	
824	0.307039	176	0.647727	1.711251	824	0.307039	0.367000	0.333166	
845	0.299408	155	0.574194	1.711251	845	0.299408	0.342000	0.333175	
821	0.265530	179	0.547486	1.711251	821	0.265530	0.316000	0.333158	
831	0.298436	169	0.692308	1.711251	831	0.298436	0.365000	0.333189	
830	0.269880	170	0.635294	1.711251	830	0.269880	0.332000	0.333188	
823	0.291616	177	0.638418	1.711251	823	0.291616	0.353000	0.333207	
832	0.280048	168	0.666667	1.711251	832	0.280048	0.345000	0.333218	
820	0.287805	180	0.688889	1.711251	820	0.287805	0.360000	0.333243	
824	0.280340	176	0.562500	1.711251	824	0.280340	0.330000	0.333240	
821	0.247259	179	0.664804	1.711251	821	0.247259	0.322000	0.333230	
829	0.283474	171	0.690058	1.711251	829	0.283474	0.353000	0.333248	
832	0.270433	168	0.589286	1.711251	832	0.270433	0.324000	0.333239	
815	0.256442	185	0.643243	1.711251	815	0.256442	0.328000	0.333235	
830	0.267470	170	0.611765	1.711251	830	0.267470	0.326000	0.333228	
818	0.284841	182	0.560440	1.711251	818	0.284841	0.335000	0.333229	
827	0.281741	173	0.595376	1.711251	827	0.281741	0.336000	0.333232	
840	0.321429	160	0.625000	1.711251	840	0.321429	0.370000	0.333267	
851	0.265570	149	0.657718	1.711251	851	0.265570	0.324000	0.333258	
