Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
819	0.304029	181	0.662983	1.643076	819	0.304029	0.369000	0.368625	
793	0.296343	207	0.743961	1.643076	793	0.296343	0.389000	0.368645	
807	0.315985	193	0.756477	1.643076	807	0.315985	0.401000	0.368678	
793	0.317781	207	0.787440	1.643076	793	0.317781	0.415000	0.368724	
810	0.332099	190	0.700000	1.643076	810	0.332099	0.402000	0.368757	
831	0.324910	169	0.609467	1.643076	831	0.324910	0.373000	0.368761	
832	0.277644	168	0.642857	1.643076	832	0.277644	0.339000	0.368732	
834	0.305755	166	0.572289	1.643076	834	0.305755	0.350000	0.368713	
818	0.320293	182	0.675824	1.643076	818	0.320293	0.385000	0.368729	
808	0.332921	192	0.661458	1.643076	808	0.332921	0.396000	0.368756	
832	0.331731	168	0.607143	1.643076	832	0.331731	0.378000	0.368765	
829	0.310012	171	0.736842	1.643076	829	0.310012	0.383000	0.368779	
830	0.333735	170	0.729412	1.643076	830	0.333735	0.401000	0.368811	
809	0.290482	191	0.696335	1.643076	809	0.290482	0.368000	0.368810	
838	0.287589	162	0.629630	1.643076	838	0.287589	0.343000	0.368785	
816	0.317402	184	0.679348	1.643076	816	0.317402	0.384000	0.368800	
802	0.304239	198	0.641414	1.643076	802	0.304239	0.371000	0.368802	
807	0.298637	193	0.715026	1.643076	807	0.298637	0.379000	0.368812	
818	0.342298	182	0.648352	1.643076	818	0.342298	0.398000	0.368841	
844	0.299763	156	0.634615	1.643076	844	0.299763	0.352000	0.368824	
832	0.314904	168	0.750000	1.643076	832	0.314904	0.388000	0.368843	
810	0.309877	190	0.736842	1.643076	810	0.309877	0.391000	0.368865	
833	0.338535	167	0.700599	1.643076	833	0.338535	0.399000	0.368894	
824	0.313107	176	0.630682	1.643076	824	0.313107	0.369000	0.368894	
802	0.307980	198	0.691919	1.643076	802	0.307980	0.384000	0.368909	
823	0.286756	177	0.717514	1.643076	823	0.286756	0.363000	0.368903	
819	0.285714	181	0.690608	1.643076	819	0.285714	0.359000	0.368894	
808	0.299505	192	0.703125	1.643076	808	0.299505	0.377000	0.368901	
838	0.315036	162	0.666667	1.643076	838	0.315036	0.372000	0.368904	
801	0.280899	199	0.577889	1.643076	801	0.280899	0.340000	0.368876	
816	0.296569	184	0.635870	1.643076	816	0.296569	0.359000	0.368867	
817	0.312118	183	0.655738	1.643076	817	0.312118	0.375000	0.368873	
785	0.315924	215	0.762791	1.643076	785	0.315924	0.412000	0.368914	
821	0.323995	179	0.620112	1.643076	821	0.323995	0.377000	0.368922	
816	0.325980	184	0.728261	1.643076	816	0.325980	0.400000	0.368952	
836	0.296651	164	0.786585	1.643076	836	0.296651	0.377000	0.368960	
817	0.348837	183	0.726776	1.643076	817	0.348837	0.418000	0.369007	
821	0.325213	179	0.709497	1.643076	821	0.325213	0.394000	0.369031	
833	0.296519	167	0.682635	1.643076	833	0.296519	0.361000	0.369024	
814	0.308354	186	0.709677	1.643076	814	0.308354	0.383000	0.369037	
811	0.288533	189	0.714286	1.643076	811	0.288533	0.369000	0.369037	
822	0.299270	178	0.573034	1.643076	822	0.299270	0.348000	0.369017	
831	0.302046	169	0.704142	1.643076	831	0.302046	0.370000	0.369018	
816	0.291667	184	0.652174	1.643076	816	0.291667	0.358000	0.369007	
811	0.310727	189	0.719577	1.643076	811	0.310727	0.388000	0.369025	
825	0.293333	175	0.634286	1.643076	825	0.293333	0.353000	0.369010	
836	0.309809	164	0.731707	1.643076	836	0.309809	0.379000	0.369020	
835	0.300599	165	0.624242	1.643076	835	0.300599	0.354000	0.369005	
815	0.316564	185	0.616216	1.643076	815	0.316564	0.372000	0.369008	
829	0.311218	171	0.631579	1.643076	829	0.311218	0.366000	0.369005	
823	0.318348	177	0.655367	1.643076	823	0.318348	0.378000	0.369014	
820	0.314634	180	0.677778	1.643076	820	0.314634	0.380000	0.369024	
813	0.356704	187	0.572193	1.643076	813	0.356704	0.397000	0.369051	
836	0.348086	164	0.768293	1.643076	836	0.348086	0.417000	0.369096	
832	0.322115	168	0.702381	1.643076	832	0.322115	0.386000	0.369112	
834	0.344125	166	0.608434	1.643076	834	0.344125	0.388000	0.369130	
824	0.303398	176	0.590909	1.643076	824	0.303398	0.354000	0.369116	
816	0.310049	184	0.657609	1.643076	816	0.310049	0.374000	0.369121	
833	0.295318	167	0.700599	1.643076	833	0.295318	0.363000	0.369115	
831	0.318893	169	0.585799	1.643076	831	0.318893	0.364000	0.369110	
818	0.316626	182	0.620879	1.643076	818	0.316626	0.372000	0.369113	
828	0.340580	172	0.651163	1.643076	828	0.340580	0.394000	0.369136	
825	0.284848	175	0.680000	1.643076	825	0.284848	0.354000	0.369122	
838	0.319809	162	0.561728	1.643076	838	0.319809	0.359000	0.369112	
819	0.297924	181	0.729282	1.643076	819	0.297924	0.376000	0.369119	
820	0.335366	180	0.672222	1.643076	820	0.335366	0.396000	0.369144	
820	0.306098	180	0.577778	1.643076	820	0.306098	0.355000	0.369131	
816	0.306373	184	0.608696	1.643076	816	0.306373	0.362000	0.369124	
826	0.269976	174	0.701149	1.643076	826	0.269976	0.345000	0.369102	
821	0.304507	179	0.720670	1.643076	821	0.304507	0.379000	0.369111	
852	0.286385	148	0.695946	1.643076	852	0.286385	0.347000	0.369090	
849	0.313310	151	0.622517	1.643076	849	0.313310	0.360000	0.369082	
816	0.312500	184	0.668478	1.643076	816	0.312500	0.378000	0.369090	
808	0.289604	192	0.572917	1.643076	808	0.289604	0.344000	0.369067	
836	0.299043	164	0.719512	1.643076	836	0.299043	0.368000	0.369066	
809	0.339926	191	0.680628	1.643076	809	0.339926	0.405000	0.369099	
827	0.295042	173	0.635838	1.643076	827	0.295042	0.354000	0.369085	
814	0.353808	186	0.688172	1.643076	814	0.353808	0.416000	0.369129	
837	0.322581	163	0.619632	1.643076	837	0.322581	0.371000	0.369130	
831	0.296029	169	0.692308	1.643076	831	0.296029	0.363000	0.369125	
806	0.344913	194	0.737113	1.643076	806	0.344913	0.421000	0.369173	
825	0.317576	175	0.594286	1.643076	825	0.317576	0.366000	0.369170	
819	0.316239	181	0.629834	1.643076	819	0.316239	0.373000	0.369173	
841	0.304400	159	0.666667	1.643076	841	0.304400	0.362000	0.369167	
830	0.351807	170	0.582353	1.643076	830	0.351807	0.391000	0.369187	
817	0.343941	183	0.710383	1.643076	817	0.343941	0.411000	0.369225	
812	0.336207	188	0.696809	1.643076	812	0.336207	0.404000	0.369257	
831	0.305656	169	0.686391	1.643076	831	0.305656	0.370000	0.369258	
808	0.301980	192	0.729167	1.643076	808	0.301980	0.384000	0.369271	
840	0.322619	160	0.612500	1.643076	840	0.322619	0.369000	0.369271	
830	0.343373	170	0.611765	1.643076	830	0.343373	0.389000	0.369289	
815	0.279755	185	0.551351	1.643076	815	0.279755	0.330000	0.369253	
830	0.321687	170	0.717647	1.643076	830	0.321687	0.389000	0.369271	
820	0.326829	180	0.700000	1.643076	820	0.326829	0.394000	0.369294	
830	0.308434	170	0.711765	1.643076	830	0.308434	0.377000	0.369301	
821	0.302071	179	0.575419	1.643076	821	0.302071	0.351000	0.369284	
825	0.306667	175	0.628571	1.643076	825	0.306667	0.363000	0.369279	
823	0.334143	177	0.559322	1.643076	823	0.334143	0.374000	0.369283	
831	0.308063	169	0.662722	1.643076	831	0.308063	0.368000	0.369282	
836	0.320574	164	0.634146	1.643076	836	0.320574	0.372000	0.369284	
850	0.316471	150	0.606667	1.643076	850	0.316471	0.360000	0.369276	
840	0.288095	160	0.681250	1.643076	840	0.288095	0.351000	0.369259	
838	0.313842	162	0.697531	1.643076	838	0.313842	0.376000	0.369265	
831	0.297232	169	0.680473	1.643076	831	0.297232	0.362000	0.369259	
820	0.303659	180	0.688889	1.643076	820	0.303659	0.373000	0.369262	
793	0.301387	207	0.652174	1.643076	793	0.301387	0.374000	0.369266	
837	0.301075	163	0.644172	1.643076	837	0.301075	0.357000	0.369255	
814	0.294840	186	0.580645	1.643076	814	0.294840	0.348000	0.369236	
816	0.307598	184	0.652174	1.643076	816	0.307598	0.371000	0.369238	
813	0.327183	187	0.582888	1.643076	813	0.327183	0.375000	0.369243	
822	0.321168	178	0.735955	1.643076	822	0.321168	0.395000	0.369266	
811	0.298397	189	0.682540	1.643076	811	0.298397	0.371000	0.369268	
820	0.273171	180	0.733333	1.643076	820	0.273171	0.356000	0.369256	
815	0.306748	185	0.610811	1.643076	815	0.306748	0.363000	0.369250	
830	0.319277	170	0.788235	1.643076	830	0.319277	0.399000	0.369277	
811	0.281134	189	0.613757	1.643076	811	0.281134	0.344000	0.369254	
802	0.322943	198	0.616162	1.643076	802	0.322943	0.381000	0.369265	
823	0.303767	177	0.610169	1.643076	823	0.303767	0.358000	0.369255	
839	0.309893	161	0.645963	1.643076	839	0.309893	0.364000	0.369250	
840	0.300000	160	0.618750	1.643076	840	0.300000	0.351000	0.369234	
827	0.321644	173	0.658960	1.643076	827	0.321644	0.380000	0.369243	
841	0.342449	159	0.553459	1.643076	841	0.342449	0.376000	0.369249	
799	0.306633	201	0.671642	1.643076	799	0.306633	0.380000	0.369259	
823	0.289186	177	0.757062	1.643076	823	0.289186	0.372000	0.369261	
