Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
830	0.378313	170	0.617647	1.642281	830	0.378313	0.419000	0.376463	
813	0.340713	187	0.513369	1.642281	813	0.340713	0.373000	0.376460	
827	0.321644	173	0.647399	1.642281	827	0.321644	0.378000	0.376461	
840	0.355952	160	0.581250	1.642281	840	0.355952	0.392000	0.376477	
825	0.329697	175	0.628571	1.642281	825	0.329697	0.382000	0.376482	
837	0.297491	163	0.674847	1.642281	837	0.297491	0.359000	0.376465	
858	0.335664	142	0.654930	1.642281	858	0.335664	0.381000	0.376469	
822	0.313869	178	0.584270	1.642281	822	0.313869	0.362000	0.376455	
817	0.324357	183	0.535519	1.642281	817	0.324357	0.363000	0.376442	
857	0.329055	143	0.587413	1.642281	857	0.329055	0.366000	0.376431	
839	0.307509	161	0.677019	1.642281	839	0.307509	0.367000	0.376422	
824	0.324029	176	0.698864	1.642281	824	0.324029	0.390000	0.376435	
845	0.343195	155	0.658065	1.642281	845	0.343195	0.392000	0.376451	
847	0.299882	153	0.633987	1.642281	847	0.299882	0.351000	0.376426	
841	0.310345	159	0.654088	1.642281	841	0.310345	0.365000	0.376414	
845	0.345562	155	0.612903	1.642281	845	0.345562	0.387000	0.376425	
817	0.356181	183	0.524590	1.642281	817	0.356181	0.387000	0.376435	
827	0.337364	173	0.572254	1.642281	827	0.337364	0.378000	0.376437	
836	0.360048	164	0.579268	1.642281	836	0.360048	0.396000	0.376456	
846	0.323877	154	0.551948	1.642281	846	0.323877	0.359000	0.376439	
826	0.322034	174	0.586207	1.642281	826	0.322034	0.368000	0.376431	
824	0.310680	176	0.710227	1.642281	824	0.310680	0.381000	0.376435	
829	0.352232	171	0.625731	1.642281	829	0.352232	0.399000	0.376457	
830	0.339759	170	0.600000	1.642281	830	0.339759	0.384000	0.376464	
829	0.338963	171	0.532164	1.642281	829	0.338963	0.372000	0.376460	
808	0.337871	192	0.583333	1.642281	808	0.337871	0.385000	0.376468	
850	0.368235	150	0.553333	1.642281	850	0.368235	0.396000	0.376487	
826	0.343826	174	0.649425	1.642281	826	0.343826	0.397000	0.376507	
836	0.324163	164	0.560976	1.642281	836	0.324163	0.363000	0.376494	
839	0.346841	161	0.478261	1.642281	839	0.346841	0.368000	0.376486	
824	0.358010	176	0.625000	1.642281	824	0.358010	0.405000	0.376514	
841	0.341260	159	0.597484	1.642281	841	0.341260	0.382000	0.376519	
811	0.305795	189	0.693122	1.642281	811	0.305795	0.379000	0.376521	
840	0.333333	160	0.693750	1.642281	840	0.333333	0.391000	0.376535	
826	0.299031	174	0.568966	1.642281	826	0.299031	0.346000	0.376506	
834	0.352518	166	0.596386	1.642281	834	0.352518	0.393000	0.376522	
833	0.320528	167	0.640719	1.642281	833	0.320528	0.374000	0.376519	
835	0.353293	165	0.672727	1.642281	835	0.353293	0.406000	0.376548	
831	0.354994	169	0.532544	1.642281	831	0.354994	0.385000	0.376556	
822	0.322384	178	0.601124	1.642281	822	0.322384	0.372000	0.376552	
852	0.339202	148	0.479730	1.642281	852	0.339202	0.360000	0.376536	
818	0.333741	182	0.483516	1.642281	818	0.333741	0.361000	0.376521	
824	0.334951	176	0.517045	1.642281	824	0.334951	0.367000	0.376512	
838	0.288783	162	0.623457	1.642281	838	0.288783	0.343000	0.376480	
841	0.347206	159	0.666667	1.642281	841	0.347206	0.398000	0.376500	
828	0.315217	172	0.622093	1.642281	828	0.315217	0.368000	0.376492	
826	0.331719	174	0.660920	1.642281	826	0.331719	0.389000	0.376504	
828	0.323671	172	0.761628	1.642281	828	0.323671	0.399000	0.376525	
823	0.341434	177	0.570621	1.642281	823	0.341434	0.382000	0.376531	
854	0.346604	146	0.664384	1.642281	854	0.346604	0.393000	0.376546	
837	0.304659	163	0.754601	1.642281	837	0.304659	0.378000	0.376548	
823	0.356015	177	0.564972	1.642281	823	0.356015	0.393000	0.376563	
829	0.334138	171	0.561404	1.642281	829	0.334138	0.373000	0.376560	
848	0.363208	152	0.559211	1.642281	848	0.363208	0.393000	0.376576	
855	0.304094	145	0.558621	1.642281	855	0.304094	0.341000	0.376542	
822	0.311436	178	0.668539	1.642281	822	0.311436	0.375000	0.376540	
846	0.300236	154	0.668831	1.642281	846	0.300236	0.357000	0.376522	
830	0.312048	170	0.700000	1.642281	830	0.312048	0.378000	0.376523	
852	0.318075	148	0.540541	1.642281	852	0.318075	0.351000	0.376499	
842	0.300475	158	0.626582	1.642281	842	0.300475	0.352000	0.376476	
826	0.289346	174	0.591954	1.642281	826	0.289346	0.342000	0.376444	
830	0.296386	170	0.552941	1.642281	830	0.296386	0.340000	0.376409	
845	0.325444	155	0.567742	1.642281	845	0.325444	0.363000	0.376397	
844	0.321090	156	0.653846	1.642281	844	0.321090	0.373000	0.376393	
847	0.301063	153	0.666667	1.642281	847	0.301063	0.357000	0.376375	
838	0.342482	162	0.697531	1.642281	838	0.342482	0.400000	0.376397	
831	0.334537	169	0.609467	1.642281	831	0.334537	0.381000	0.376402	
817	0.340269	183	0.633880	1.642281	817	0.340269	0.394000	0.376418	
842	0.327791	158	0.670886	1.642281	842	0.327791	0.382000	0.376423	
833	0.324130	167	0.682635	1.642281	833	0.324130	0.384000	0.376430	
852	0.316901	148	0.540541	1.642281	852	0.316901	0.350000	0.376406	
852	0.350939	148	0.574324	1.642281	852	0.350939	0.384000	0.376413	
814	0.316953	186	0.655914	1.642281	814	0.316953	0.380000	0.376416	
833	0.338535	167	0.592814	1.642281	833	0.338535	0.381000	0.376421	
847	0.335301	153	0.633987	1.642281	847	0.335301	0.381000	0.376425	
824	0.325243	176	0.664773	1.642281	824	0.325243	0.385000	0.376433	
826	0.352300	174	0.534483	1.642281	826	0.352300	0.384000	0.376440	
829	0.318456	171	0.654971	1.642281	829	0.318456	0.376000	0.376439	
840	0.338095	160	0.631250	1.642281	840	0.338095	0.385000	0.376447	
842	0.327791	158	0.613924	1.642281	842	0.327791	0.373000	0.376444	
850	0.317647	150	0.593333	1.642281	850	0.317647	0.359000	0.376428	
834	0.339329	166	0.656627	1.642281	834	0.339329	0.392000	0.376442	
828	0.341787	172	0.674419	1.642281	828	0.341787	0.399000	0.376463	
832	0.343750	168	0.583333	1.642281	832	0.343750	0.384000	0.376470	
810	0.350617	190	0.678947	1.642281	810	0.350617	0.413000	0.376504	
838	0.359189	162	0.543210	1.642281	838	0.359189	0.389000	0.376515	
821	0.361754	179	0.525140	1.642281	821	0.361754	0.391000	0.376529	
830	0.337349	170	0.552941	1.642281	830	0.337349	0.374000	0.376526	
824	0.337379	176	0.613636	1.642281	824	0.337379	0.386000	0.376535	
834	0.347722	166	0.536145	1.642281	834	0.347722	0.379000	0.376537	
