Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/fXpermitted.bttrees
Data File Name:                  ./processed_data/fXpermitted.btdata
Log File Name:                   ./results/fXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2430951605
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/fXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
61000	-54.275849	57	2.250241	1.277399	3.242817	6.154445	0.149117	0.152734	0.344892	0.353258	
62000	-52.120228	32	3.715785	1.360461	1.757264	4.561708	0.174114	0.221354	0.266159	0.338373	
63000	-52.802950	36	8.237317	1.347497	2.414854	2.226083	0.343109	0.157637	0.342086	0.157167	
64000	-57.470868	86	15.317174	2.217621	6.479826	10.108520	0.250000	0.250032	0.249968	0.250000	
65000	-51.536285	93	4.315463	1.210651	0.800647	3.463159	0.158522	0.273751	0.208195	0.359531	
66000	-55.046632	4	0.829148	1.050916	4.128308	5.755937	0.037434	0.037333	0.463245	0.461988	
67000	-53.897064	4	9.457674	2.502844	0.638776	2.177358	0.216072	0.281899	0.217833	0.284196	
68000	-56.000712	3	8.004448	0.768062	4.131719	2.998111	0.292945	0.230090	0.267142	0.209823	
69000	-52.157355	46	7.681341	1.589923	1.391994	0.956587	0.442513	0.052180	0.452008	0.053299	
70000	-52.142715	14	9.629377	1.737844	0.167804	2.880075	0.085242	0.414377	0.085372	0.415009	
71000	-54.972325	7	2.838419	0.470898	0.639097	1.684836	0.206824	0.145016	0.381012	0.267149	
72000	-52.187240	63	8.963817	2.403466	0.545213	3.003300	0.179518	0.319239	0.180413	0.320831	
73000	-53.849983	7	5.057657	0.715437	1.469663	1.029904	0.414744	0.058631	0.461398	0.065227	
74000	-53.752455	51	6.853907	1.075063	1.870510	4.267209	0.233839	0.264316	0.235571	0.266274	
75000	-52.423697	88	5.728346	1.307568	1.799642	0.995746	0.421191	0.049688	0.473287	0.055834	
76000	-53.481929	2	3.746450	1.117564	1.545516	1.341993	0.337437	0.064058	0.503015	0.095490	
77000	-53.828113	76	18.334313	2.643546	0.471496	2.388432	0.222836	0.277168	0.222832	0.277164	
78000	-55.782950	51	32.467524	5.510306	1.043455	5.319583	0.203880	0.296120	0.203880	0.296120	
79000	-51.951649	17	8.133355	0.811565	1.807360	0.007593	0.531202	0.000006	0.468787	0.000005	
80000	-52.842432	84	9.922207	1.241690	1.096999	2.835539	0.213424	0.292730	0.208234	0.285612	
81000	-52.145266	35	2.120760	0.822428	1.929915	3.467101	0.132666	0.123822	0.384574	0.358938	
82000	-53.451423	88	5.214730	1.769783	2.220958	4.576311	0.215687	0.242217	0.255344	0.286752	
83000	-55.294090	44	15.290245	1.741347	4.145844	6.305861	0.249895	0.250188	0.249812	0.250105	
84000	-54.659003	78	0.695895	0.389287	1.781361	0.488455	0.045721	0.001749	0.917436	0.035094	
85000	-53.875999	47	0.674040	1.073540	0.260652	1.828499	0.015304	0.030801	0.316635	0.637259	
86000	-53.751465	19	6.341733	2.221718	0.386256	2.141338	0.136606	0.340131	0.149938	0.373325	
87000	-52.779239	28	8.077752	2.439290	0.323397	3.533428	0.117916	0.378284	0.119722	0.384078	
88000	-52.933082	17	11.861535	1.965001	1.096033	1.774022	0.340502	0.159868	0.339998	0.159632	
89000	-51.357967	61	7.982719	1.895490	2.047072	0.911658	0.449054	0.042820	0.463891	0.044235	
90000	-54.222233	72	6.111750	1.399937	2.788037	1.943517	0.326023	0.157462	0.348296	0.168219	
91000	-54.722079	46	3.720231	0.306293	1.800857	2.253400	0.319760	0.187304	0.310851	0.182085	
92000	-55.233375	74	6.890191	0.567908	1.228698	0.651542	0.545067	0.033636	0.396809	0.024487	
93000	-54.773726	56	0.887176	1.519009	0.249550	2.866265	0.029625	0.079330	0.242278	0.648766	
94000	-52.572721	13	2.780787	0.811809	1.733524	2.822164	0.190956	0.165548	0.344678	0.298817	
95000	-52.562360	28	5.957727	1.536178	1.302403	2.460867	0.249999	0.231675	0.269022	0.249304	
96000	-54.060940	64	12.344787	1.923711	1.035142	1.957089	0.275858	0.224327	0.275654	0.224161	
97000	-54.916912	77	32.056517	2.307194	1.128661	3.204430	0.212256	0.287744	0.212256	0.287744	
98000	-53.124675	35	29.378930	5.927015	2.054561	0.037934	0.499831	0.000169	0.499831	0.000169	
99000	-53.566336	93	2.767886	1.181892	1.180094	5.420547	0.133912	0.205136	0.261053	0.399899	
100000	-51.271622	44	1.410024	0.904840	0.955832	2.744886	0.086272	0.111374	0.350225	0.452129	
101000	-54.371232	90	14.532983	2.534897	2.312830	3.751942	0.248485	0.251521	0.248479	0.251515	
102000	-52.105736	61	0.125458	1.277392	0.496398	2.539698	0.000569	0.001443	0.282035	0.715953	
103000	-51.547092	61	5.135073	1.315276	1.795151	2.695834	0.250031	0.197109	0.309148	0.243713	
104000	-52.957559	44	14.942882	1.538026	0.822332	2.254396	0.235477	0.264679	0.235330	0.264514	
105000	-52.994083	94	20.119162	2.741308	0.136047	2.413400	0.064049	0.435957	0.064047	0.435946	
106000	-56.850581	97	31.471716	11.755797	2.892301	4.265021	0.253577	0.246423	0.253577	0.246423	
107000	-51.831961	61	1.227334	1.120457	1.656664	1.277308	0.104238	0.016234	0.761012	0.118516	
108000	-51.539133	44	5.707542	2.058398	1.445014	0.423728	0.463029	0.019328	0.496902	0.020741	
109000	-52.469190	59	4.638993	2.140873	1.236570	0.047622	0.438422	0.000157	0.561220	0.000201	
110000	-54.907490	36	2.092493	1.563563	3.220670	5.113236	0.137501	0.136527	0.364275	0.361696	
111000	-54.447433	46	19.592987	3.137825	3.115281	4.987706	0.247378	0.252623	0.247377	0.252622	
112000	-53.648161	11	12.698759	1.358055	0.782823	3.305542	0.194936	0.305449	0.194636	0.304979	
113000	-52.909253	44	6.181401	1.734764	2.789766	1.338181	0.368008	0.119379	0.387055	0.125558	
114000	-53.860001	14	24.168288	3.860818	1.991800	1.161616	0.401685	0.098315	0.401685	0.098315	
115000	-53.661212	22	24.173466	4.469675	1.808617	0.344206	0.489682	0.010318	0.489682	0.010318	
116000	-54.897885	62	4.366296	1.565481	1.859063	5.637453	0.184765	0.238657	0.251597	0.324982	
117000	-51.420909	44	6.903855	1.230103	1.764291	2.861339	0.266846	0.230704	0.269474	0.232976	
118000	-52.972443	75	9.092995	2.658699	2.117701	1.299111	0.413693	0.082430	0.420159	0.083718	
119000	-52.289640	93	10.214263	1.410246	1.847472	1.717736	0.379330	0.123278	0.375393	0.121999	
120000	-53.704425	19	10.889544	2.381189	3.414562	5.382231	0.248408	0.250877	0.249119	0.251596	
121000	-55.028767	62	3.754678	2.194866	0.211343	3.126001	0.069493	0.332983	0.103170	0.494354	
122000	-51.844500	50	6.126836	1.106978	0.377135	3.432964	0.119622	0.367697	0.125848	0.386834	
123000	-52.657497	86	20.407952	2.528767	0.385118	3.304525	0.146112	0.353890	0.146111	0.353887	
124000	-50.627941	57	3.826691	1.343130	0.213369	3.159396	0.093161	0.330609	0.126678	0.449552	
125000	-52.453879	47	3.897104	0.667084	0.799290	2.941222	0.161042	0.260872	0.220652	0.357433	
126000	-52.996105	22	9.803874	1.632020	1.490123	0.542144	0.481048	0.020073	0.478896	0.019983	
127000	-53.367917	96	15.152281	1.778503	0.545529	3.589375	0.140505	0.360000	0.140222	0.359273	
128000	-55.572549	20	43.616619	12.662176	2.481238	2.034885	0.356655	0.143345	0.356655	0.143345	
129000	-53.319460	6	3.452583	1.611129	2.071868	3.529597	0.189601	0.178253	0.325824	0.306322	
130000	-53.570510	38	13.653416	2.983815	1.603106	1.852304	0.349617	0.150364	0.349643	0.150375	
131000	-58.170340	29	5.015532	3.252879	1.572444	4.088182	0.222001	0.260630	0.237980	0.279390	
132000	-54.299120	51	22.604930	3.655918	1.129582	1.184764	0.402807	0.097193	0.402807	0.097193	
133000	-53.393839	56	3.194522	0.809267	2.058209	3.538739	0.196696	0.196407	0.303671	0.303226	
134000	-58.227927	95	12.403837	4.576992	0.559789	1.356513	0.319907	0.179994	0.320034	0.180065	
135000	-54.197094	30	37.282717	6.608153	1.887344	0.642793	0.452849	0.047151	0.452849	0.047151	
136000	-54.348735	89	7.626062	2.191183	2.592533	2.763884	0.303558	0.185691	0.316899	0.193852	
137000	-52.944176	41	19.982476	3.509479	0.354559	3.609197	0.101280	0.398721	0.101280	0.398720	
138000	-53.176705	47	4.114158	1.744735	1.454470	3.487629	0.187295	0.233189	0.258132	0.321384	
139000	-53.060739	14	4.244797	1.444504	1.941488	3.323618	0.225663	0.223478	0.276770	0.274089	
140000	-54.712033	32	8.967450	2.028560	2.093021	6.743034	0.226486	0.270577	0.229163	0.273774	
141000	-55.525896	96	0.026417	1.615206	0.475550	3.713038	0.000033	0.000096	0.255976	0.743894	
142000	-57.670844	63	8.985017	2.436426	9.132204	13.644701	0.249390	0.249390	0.250610	0.250610	
143000	-52.591726	63	3.886971	0.784019	1.826385	3.366670	0.218922	0.226355	0.272732	0.281992	
144000	-52.785877	89	1.031023	1.113840	0.755678	2.750733	0.033845	0.055524	0.344870	0.565761	
145000	-52.989027	71	5.219225	1.196694	0.711279	2.038284	0.221670	0.245030	0.253303	0.279997	
146000	-55.317741	57	0.785653	1.033841	4.161961	7.396998	0.038680	0.038922	0.459760	0.462638	
147000	-54.338039	90	13.766605	2.916736	1.661274	2.346658	0.281579	0.218413	0.281589	0.218420	
148000	-51.858731	77	6.260553	0.913678	1.527555	0.782617	0.460196	0.034464	0.470131	0.035208	
149000	-57.910902	27	13.731099	4.532403	2.888340	6.378369	0.244600	0.255378	0.244622	0.255400	
150000	-53.355902	43	6.993316	1.164317	2.126154	2.767674	0.286181	0.206663	0.294492	0.212664	
151000	-53.868983	69	25.154839	5.373734	1.755248	2.372786	0.320361	0.179639	0.320361	0.179639	
152000	-53.777157	46	0.295380	1.310140	1.613397	1.356925	0.012513	0.002746	0.807540	0.177201	
153000	-53.149306	8	10.493723	1.556727	0.913121	4.128331	0.170251	0.331387	0.169139	0.329223	
154000	-53.581773	49	22.975452	4.613738	0.960177	3.293187	0.206183	0.293817	0.206183	0.293817	
155000	-53.124531	63	9.260972	1.765934	2.946514	3.705901	0.256929	0.242396	0.257624	0.243051	
156000	-53.225122	28	1.339670	0.763399	1.241730	5.115033	0.071628	0.100724	0.343962	0.483687	
157000	-54.208096	36	22.176914	3.383546	0.557656	4.217335	0.144640	0.355361	0.144639	0.355360	
158000	-52.512462	47	1.370066	1.087903	1.022844	3.947343	0.055538	0.092698	0.319122	0.532643	
159000	-55.099905	51	6.772704	1.901903	3.593769	2.822630	0.271931	0.220610	0.280167	0.227292	
