Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
857	0.308051	143	0.741259	1.513234	857	0.308051	0.370000	0.374966	
828	0.344203	172	0.529070	1.513234	828	0.344203	0.376000	0.375052	
807	0.330855	193	0.585492	1.513234	807	0.330855	0.380000	0.375433	
840	0.348810	160	0.562500	1.513234	840	0.348810	0.383000	0.375973	
827	0.334946	173	0.497110	1.513234	827	0.334946	0.363000	0.375108	
820	0.325610	180	0.455556	1.513234	820	0.325610	0.349000	0.373477	
827	0.349456	173	0.745665	1.513234	827	0.349456	0.418000	0.376096	
823	0.334143	177	0.683616	1.513234	823	0.334143	0.396000	0.377201	
828	0.312802	172	0.697674	1.513234	828	0.312802	0.379000	0.377296	
825	0.379394	175	0.640000	1.513234	825	0.379394	0.425000	0.379681	
826	0.349879	174	0.609195	1.513234	826	0.349879	0.395000	0.380410	
829	0.344994	171	0.497076	1.513234	829	0.344994	0.371000	0.379983	
804	0.338308	196	0.739796	1.513234	804	0.338308	0.417000	0.381592	
836	0.325359	164	0.640244	1.513234	836	0.325359	0.377000	0.381401	
825	0.315152	175	0.668571	1.513234	825	0.315152	0.377000	0.381225	
800	0.293750	200	0.640000	1.513234	800	0.293750	0.363000	0.380524	
815	0.306748	185	0.686486	1.513234	815	0.306748	0.377000	0.380393	
808	0.314356	192	0.656250	1.513234	808	0.314356	0.380000	0.380379	
834	0.341727	166	0.445783	1.513234	834	0.341727	0.359000	0.379642	
818	0.358191	182	0.598901	1.513234	818	0.358191	0.402000	0.380387	
816	0.335784	184	0.614130	1.513234	816	0.335784	0.387000	0.380601	
836	0.350478	164	0.646341	1.513234	836	0.350478	0.399000	0.381176	
801	0.332085	199	0.552764	1.513234	801	0.332085	0.376000	0.381019	
833	0.328932	167	0.622754	1.513234	833	0.328932	0.378000	0.380930	
823	0.331713	177	0.598870	1.513234	823	0.331713	0.379000	0.380875	
802	0.335411	198	0.752525	1.513234	802	0.335411	0.418000	0.381906	
820	0.289024	180	0.666667	1.513234	820	0.289024	0.357000	0.381233	
818	0.338631	182	0.582418	1.513234	818	0.338631	0.383000	0.381279	
824	0.367718	176	0.573864	1.513234	824	0.367718	0.404000	0.381862	
804	0.322139	196	0.627551	1.513234	804	0.322139	0.382000	0.381865	
835	0.348503	165	0.672727	1.513234	835	0.348503	0.402000	0.382357	
824	0.339806	176	0.613636	1.513234	824	0.339806	0.388000	0.382491	
845	0.350296	155	0.612903	1.513234	845	0.350296	0.391000	0.382689	
828	0.334541	172	0.720930	1.513234	828	0.334541	0.401000	0.383105	
795	0.338365	205	0.502439	1.513234	795	0.338365	0.372000	0.382858	
804	0.345771	196	0.642857	1.513234	804	0.345771	0.404000	0.383318	
813	0.361624	187	0.534759	1.513234	813	0.361624	0.394000	0.383545	
838	0.331742	162	0.660494	1.513234	838	0.331742	0.385000	0.383575	
821	0.332521	179	0.564246	1.513234	821	0.332521	0.374000	0.383380	
838	0.354415	162	0.765432	1.513234	838	0.354415	0.421000	0.384132	
810	0.344444	190	0.694737	1.513234	810	0.344444	0.411000	0.384659	
829	0.326900	171	0.561404	1.513234	829	0.326900	0.367000	0.384320	
828	0.329710	172	0.639535	1.513234	828	0.329710	0.383000	0.384295	
835	0.359281	165	0.660606	1.513234	835	0.359281	0.409000	0.384752	
810	0.346914	190	0.700000	1.513234	810	0.346914	0.414000	0.385284	
804	0.380597	196	0.688776	1.513234	804	0.380597	0.441000	0.386279	
808	0.304455	192	0.625000	1.513234	808	0.304455	0.366000	0.385923	
790	0.331646	210	0.695238	1.513234	790	0.331646	0.408000	0.386304	
820	0.318293	180	0.588889	1.513234	820	0.318293	0.367000	0.385977	
797	0.341280	203	0.640394	1.513234	797	0.341280	0.402000	0.386244	
811	0.326757	189	0.703704	1.513234	811	0.326757	0.398000	0.386436	
831	0.338147	169	0.585799	1.513234	831	0.338147	0.380000	0.386332	
829	0.338963	171	0.684211	1.513234	829	0.338963	0.398000	0.386518	
811	0.276202	189	0.687831	1.513234	811	0.276202	0.354000	0.386010	
815	0.346012	185	0.621622	1.513234	815	0.346012	0.397000	0.386179	
822	0.326034	178	0.646067	1.513234	822	0.326034	0.383000	0.386131	
825	0.350303	175	0.520000	1.513234	825	0.350303	0.380000	0.386039	
831	0.324910	169	0.686391	1.513234	831	0.324910	0.386000	0.386038	
804	0.307214	196	0.647959	1.513234	804	0.307214	0.374000	0.385864	
829	0.335344	171	0.567251	1.513234	829	0.335344	0.375000	0.385709	
809	0.373300	191	0.680628	1.513234	809	0.373300	0.432000	0.386361	
821	0.327649	179	0.581006	1.513234	821	0.327649	0.373000	0.386175	
818	0.301956	182	0.659341	1.513234	818	0.301956	0.367000	0.385913	
852	0.332160	148	0.628378	1.513234	852	0.332160	0.376000	0.385779	
837	0.382318	163	0.668712	1.513234	837	0.382318	0.429000	0.386355	
822	0.329684	178	0.617978	1.513234	822	0.329684	0.381000	0.386284	
827	0.336155	173	0.658960	1.513234	827	0.336155	0.392000	0.386359	
809	0.280593	191	0.623037	1.513234	809	0.280593	0.346000	0.385841	
803	0.320050	197	0.664975	1.513234	803	0.320050	0.388000	0.385869	
805	0.332919	195	0.610256	1.513234	805	0.332919	0.387000	0.385883	
798	0.333333	202	0.702970	1.513234	798	0.333333	0.408000	0.386156	
839	0.363528	161	0.695652	1.513234	839	0.363528	0.417000	0.386532	
832	0.302885	168	0.625000	1.513234	832	0.302885	0.357000	0.386176	
807	0.353160	193	0.564767	1.513234	807	0.353160	0.394000	0.386269	
826	0.328087	174	0.643678	1.513234	826	0.328087	0.383000	0.386231	
839	0.325387	161	0.627329	1.513234	839	0.325387	0.374000	0.386089	
826	0.335351	174	0.597701	1.513234	826	0.335351	0.381000	0.386030	
841	0.325803	159	0.559748	1.513234	841	0.325803	0.363000	0.385768	
819	0.362637	181	0.640884	1.513234	819	0.362637	0.413000	0.386074	
822	0.346715	178	0.724719	1.513234	822	0.346715	0.414000	0.386385	
846	0.354610	154	0.558442	1.513234	846	0.354610	0.386000	0.386380	
823	0.319563	177	0.644068	1.513234	823	0.319563	0.377000	0.386278	
810	0.330864	190	0.626316	1.513234	810	0.330864	0.387000	0.386286	
846	0.323877	154	0.577922	1.513234	846	0.323877	0.363000	0.386038	
802	0.312968	198	0.671717	1.513234	802	0.312968	0.384000	0.386017	
815	0.326380	185	0.648649	1.513234	815	0.326380	0.386000	0.386017	
811	0.320592	189	0.682540	1.513234	811	0.320592	0.389000	0.386048	
841	0.316290	159	0.597484	1.513234	841	0.316290	0.361000	0.385792	
821	0.327649	179	0.581006	1.513234	821	0.327649	0.373000	0.385663	
817	0.294982	183	0.595628	1.513234	817	0.294982	0.350000	0.385306	
819	0.361416	181	0.640884	1.513234	819	0.361416	0.412000	0.385570	
835	0.354491	165	0.672727	1.513234	835	0.354491	0.407000	0.385781	
819	0.327228	181	0.607735	1.513234	819	0.327228	0.378000	0.385705	
821	0.310597	179	0.664804	1.513234	821	0.310597	0.374000	0.385592	
800	0.345000	200	0.500000	1.513234	800	0.345000	0.376000	0.385501	
854	0.357143	146	0.684932	1.513234	854	0.357143	0.405000	0.385685	
823	0.317132	177	0.677966	1.513234	823	0.317132	0.381000	0.385641	
837	0.320191	163	0.613497	1.513234	837	0.320191	0.368000	0.385478	
844	0.324645	156	0.576923	1.513234	844	0.324645	0.364000	0.385281	
830	0.332530	170	0.658824	1.513234	830	0.332530	0.388000	0.385306	
808	0.315594	192	0.723958	1.513234	808	0.315594	0.394000	0.385384	
806	0.349876	194	0.659794	1.513234	806	0.349876	0.410000	0.385604	
828	0.328502	172	0.680233	1.513234	828	0.328502	0.389000	0.385634	
808	0.311881	192	0.671875	1.513234	808	0.311881	0.381000	0.385593	
831	0.315283	169	0.644970	1.513234	831	0.315283	0.371000	0.385466	
832	0.365385	168	0.684524	1.513234	832	0.365385	0.419000	0.385755	
818	0.348411	182	0.659341	1.513234	818	0.348411	0.405000	0.385920	
805	0.306832	195	0.733333	1.513234	805	0.306832	0.390000	0.385954	
830	0.342169	170	0.670588	1.513234	830	0.342169	0.398000	0.386056	
836	0.351675	164	0.670732	1.513234	836	0.351675	0.404000	0.386205	
827	0.321644	173	0.664740	1.513234	827	0.321644	0.381000	0.386162	
792	0.348485	208	0.605769	1.513234	792	0.348485	0.402000	0.386292	
812	0.350985	188	0.585106	1.513234	812	0.350985	0.395000	0.386363	
838	0.346062	162	0.654321	1.513234	838	0.346062	0.396000	0.386440	
815	0.350920	185	0.616216	1.513234	815	0.350920	0.400000	0.386549	
801	0.345818	199	0.643216	1.513234	801	0.345818	0.405000	0.386695	
823	0.309842	177	0.536723	1.513234	823	0.309842	0.350000	0.386406	
836	0.351675	164	0.573171	1.513234	836	0.351675	0.388000	0.386419	
828	0.322464	172	0.674419	1.513234	828	0.322464	0.383000	0.386392	
830	0.332530	170	0.658824	1.513234	830	0.332530	0.388000	0.386405	
844	0.372038	156	0.519231	1.513234	844	0.372038	0.395000	0.386470	
826	0.343826	174	0.643678	1.513234	826	0.343826	0.396000	0.386543	
814	0.328010	186	0.639785	1.513234	814	0.328010	0.386000	0.386538	
825	0.295758	175	0.640000	1.513234	825	0.295758	0.356000	0.386311	
832	0.308894	168	0.714286	1.513234	832	0.308894	0.377000	0.386242	
818	0.325183	182	0.637363	1.513234	818	0.325183	0.382000	0.386210	
823	0.334143	177	0.672316	1.513234	823	0.334143	0.394000	0.386267	
833	0.322929	167	0.646707	1.513234	833	0.322929	0.377000	0.386200	
819	0.305250	181	0.558011	1.513234	819	0.305250	0.351000	0.385947	
819	0.330891	181	0.596685	1.513234	819	0.330891	0.379000	0.385897	
806	0.362283	194	0.675258	1.513234	806	0.362283	0.423000	0.386160	
819	0.368742	181	0.646409	1.513234	819	0.368742	0.419000	0.386392	
829	0.318456	171	0.649123	1.513234	829	0.318456	0.375000	0.386312	
811	0.341554	189	0.619048	1.513234	811	0.341554	0.394000	0.386365	
846	0.315603	154	0.629870	1.513234	846	0.315603	0.364000	0.386211	
841	0.305589	159	0.672956	1.513234	841	0.305589	0.364000	0.386059	
830	0.331325	170	0.723529	1.513234	830	0.331325	0.398000	0.386140	
799	0.365457	201	0.567164	1.513234	799	0.365457	0.406000	0.386274	
815	0.287117	185	0.616216	1.513234	815	0.287117	0.348000	0.386018	
817	0.342717	183	0.661202	1.513234	817	0.342717	0.401000	0.386117	
