Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
838	0.422434	162	0.666667	1.317433	838	0.422434	0.462000	0.338242	
828	0.124396	172	0.622093	2.625253	828	0.124396	0.210000	0.327556	
824	0.348301	176	0.647727	1.482255	824	0.348301	0.401000	0.333205	
829	0.331725	171	0.649123	1.482255	829	0.331725	0.386000	0.336976	
844	0.354265	156	0.692308	1.482255	844	0.354265	0.407000	0.341644	
827	0.330109	173	0.549133	1.482255	827	0.330109	0.368000	0.343291	
822	0.341849	178	0.651685	1.482255	822	0.341849	0.397000	0.346450	
847	0.314050	153	0.627451	1.482255	847	0.314050	0.362000	0.347314	
822	0.318735	178	0.606742	1.482255	822	0.318735	0.370000	0.348508	
822	0.371046	178	0.477528	1.482255	822	0.371046	0.390000	0.350582	
835	0.335329	165	0.575758	1.482255	835	0.335329	0.375000	0.351745	
835	0.334132	165	0.606061	1.482255	835	0.334132	0.379000	0.352984	
845	0.299408	155	0.651613	1.482255	845	0.299408	0.354000	0.353028	
839	0.325387	161	0.596273	1.482255	839	0.325387	0.369000	0.353694	
820	0.375610	180	0.688889	1.482255	820	0.375610	0.432000	0.356826	
841	0.315101	159	0.559748	1.482255	841	0.315101	0.354000	0.356717	
837	0.327360	163	0.533742	1.482255	837	0.327360	0.361000	0.356876	
813	0.309963	187	0.721925	1.482255	813	0.309963	0.387000	0.357952	
838	0.374702	162	0.660494	1.482255	838	0.374702	0.421000	0.360126	
833	0.362545	167	0.532934	1.482255	833	0.362545	0.391000	0.361155	
844	0.362559	156	0.564103	1.482255	844	0.362559	0.394000	0.362214	
837	0.318996	163	0.662577	1.482255	837	0.318996	0.375000	0.362614	
829	0.284680	171	0.701754	1.482255	829	0.284680	0.356000	0.362413	
825	0.320000	175	0.645714	1.482255	825	0.320000	0.377000	0.362842	
817	0.329253	183	0.710383	1.482255	817	0.329253	0.399000	0.363875	
846	0.358156	154	0.441558	1.482255	846	0.358156	0.371000	0.364073	
840	0.366667	160	0.643750	1.482255	840	0.366667	0.411000	0.365341	
833	0.357743	167	0.562874	1.482255	833	0.357743	0.392000	0.366043	
829	0.352232	171	0.590643	1.482255	829	0.352232	0.393000	0.366734	
831	0.361011	169	0.597633	1.482255	831	0.361011	0.401000	0.367591	
841	0.298454	159	0.616352	1.482255	841	0.298454	0.349000	0.367137	
824	0.347087	176	0.585227	1.482255	824	0.347087	0.389000	0.367658	
816	0.356618	184	0.646739	1.482255	816	0.356618	0.410000	0.368643	
821	0.319123	179	0.631285	1.482255	821	0.319123	0.375000	0.368787	
810	0.312346	190	0.605263	1.482255	810	0.312346	0.368000	0.368770	
837	0.326165	163	0.539877	1.482255	837	0.326165	0.361000	0.368601	
846	0.355792	154	0.707792	1.482255	846	0.355792	0.410000	0.369482	
858	0.361305	142	0.577465	1.482255	858	0.361305	0.392000	0.369951	
844	0.372038	156	0.679487	1.482255	844	0.372038	0.420000	0.370972	
845	0.344379	155	0.600000	1.482255	845	0.344379	0.384000	0.371233	
832	0.331731	168	0.571429	1.482255	832	0.331731	0.372000	0.371248	
802	0.339152	198	0.601010	1.482255	802	0.339152	0.391000	0.371627	
827	0.308343	173	0.658960	1.482255	827	0.308343	0.369000	0.371578	
837	0.332139	163	0.668712	1.482255	837	0.332139	0.387000	0.371863	
851	0.358402	149	0.597315	1.482255	851	0.358402	0.394000	0.372266	
838	0.352029	162	0.629630	1.482255	838	0.352029	0.397000	0.372708	
821	0.378806	179	0.625698	1.482255	821	0.378806	0.423000	0.373590	
813	0.381304	187	0.486631	1.482255	813	0.381304	0.401000	0.374063	
828	0.359903	172	0.622093	1.482255	828	0.359903	0.405000	0.374587	
841	0.316290	159	0.660377	1.482255	841	0.316290	0.371000	0.374527	
827	0.296252	173	0.710983	1.482255	827	0.296252	0.368000	0.374420	
846	0.304965	154	0.577922	1.482255	846	0.304965	0.347000	0.373978	
835	0.323353	165	0.678788	1.482255	835	0.323353	0.382000	0.374105	
828	0.299517	172	0.622093	1.482255	828	0.299517	0.355000	0.373807	
814	0.334152	186	0.682796	1.482255	814	0.334152	0.399000	0.374194	
831	0.333333	169	0.621302	1.482255	831	0.333333	0.382000	0.374313	
816	0.308824	184	0.684783	1.482255	816	0.308824	0.378000	0.374368	
842	0.311164	158	0.639241	1.482255	842	0.311164	0.363000	0.374200	
847	0.324675	153	0.640523	1.482255	847	0.324675	0.373000	0.374183	
841	0.368609	159	0.710692	1.482255	841	0.368609	0.423000	0.374880	
827	0.357920	173	0.705202	1.482255	827	0.357920	0.418000	0.375488	
828	0.351449	172	0.627907	1.482255	828	0.351449	0.399000	0.375814	
832	0.360577	168	0.613095	1.482255	832	0.360577	0.403000	0.376187	
818	0.292176	182	0.681319	1.482255	818	0.292176	0.363000	0.376008	
838	0.342482	162	0.623457	1.482255	838	0.342482	0.388000	0.376168	
819	0.308913	181	0.618785	1.482255	819	0.308913	0.365000	0.376021	
820	0.320732	180	0.627778	1.482255	820	0.320732	0.376000	0.376021	
831	0.345367	169	0.562130	1.482255	831	0.345367	0.382000	0.376098	
837	0.351254	163	0.595092	1.482255	837	0.351254	0.391000	0.376286	
819	0.328449	181	0.712707	1.482255	819	0.328449	0.398000	0.376558	
858	0.299534	142	0.605634	1.482255	858	0.299534	0.343000	0.376144	
850	0.331765	150	0.680000	1.482255	850	0.331765	0.384000	0.376239	
860	0.332558	140	0.678571	1.482255	860	0.332558	0.381000	0.376297	
855	0.366082	145	0.710345	1.482255	855	0.366082	0.416000	0.376769	
831	0.367028	169	0.680473	1.482255	831	0.367028	0.420000	0.377278	
815	0.349693	185	0.659459	1.482255	815	0.349693	0.407000	0.377624	
828	0.333333	172	0.633721	1.482255	828	0.333333	0.385000	0.377708	
850	0.348235	150	0.640000	1.482255	850	0.348235	0.392000	0.377871	
819	0.361416	181	0.624309	1.482255	819	0.361416	0.409000	0.378220	
832	0.328125	168	0.589286	1.482255	832	0.328125	0.372000	0.378151	
823	0.364520	177	0.711864	1.482255	823	0.364520	0.426000	0.378677	
845	0.295858	155	0.658065	1.482255	845	0.295858	0.352000	0.378387	
869	0.342923	131	0.625954	1.482255	869	0.342923	0.380000	0.378405	
843	0.309609	157	0.464968	1.482255	843	0.309609	0.334000	0.377932	
833	0.354142	167	0.562874	1.482255	833	0.354142	0.389000	0.378049	
849	0.333333	151	0.675497	1.482255	849	0.333333	0.385000	0.378121	
816	0.362745	184	0.467391	1.482255	816	0.362745	0.382000	0.378161	
813	0.341943	187	0.657754	1.482255	813	0.341943	0.401000	0.378394	
838	0.330549	162	0.666667	1.482255	838	0.330549	0.385000	0.378461	
851	0.357227	149	0.671141	1.482255	851	0.357227	0.404000	0.378716	
831	0.327316	169	0.568047	1.482255	831	0.327316	0.368000	0.378610	
833	0.332533	167	0.580838	1.482255	833	0.332533	0.374000	0.378565	
827	0.330109	173	0.641618	1.482255	827	0.330109	0.384000	0.378618	
815	0.338650	185	0.556757	1.482255	815	0.338650	0.379000	0.378621	
841	0.365042	159	0.503145	1.482255	841	0.365042	0.387000	0.378701	
851	0.374853	149	0.597315	1.482255	851	0.374853	0.408000	0.378978	
