Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
839	0.365912	161	0.652174	1.455257	839	0.365912	0.412000	0.326698	
819	0.354090	181	0.629834	1.455257	819	0.354090	0.404000	0.333139	
826	0.369249	174	0.528736	1.455257	826	0.369249	0.397000	0.338051	
831	0.356197	169	0.644970	1.455257	831	0.356197	0.405000	0.342833	
837	0.348865	163	0.558282	1.455257	837	0.348865	0.383000	0.345510	
822	0.347932	178	0.601124	1.455257	822	0.347932	0.393000	0.348478	
831	0.345367	169	0.680473	1.455257	831	0.345367	0.402000	0.351626	
838	0.319809	162	0.604938	1.455257	838	0.319809	0.366000	0.352425	
839	0.340882	161	0.720497	1.455257	839	0.340882	0.402000	0.355034	
841	0.360285	159	0.572327	1.455257	841	0.360285	0.394000	0.356982	
803	0.372354	197	0.512690	1.455257	803	0.372354	0.400000	0.359031	
825	0.351515	175	0.582857	1.455257	825	0.351515	0.392000	0.360529	
839	0.334923	161	0.559006	1.455257	839	0.334923	0.371000	0.360984	
850	0.377647	150	0.540000	1.455257	850	0.377647	0.402000	0.362693	
836	0.325359	164	0.628049	1.455257	836	0.325359	0.375000	0.363185	
836	0.350478	164	0.609756	1.455257	836	0.350478	0.393000	0.364332	
824	0.376214	176	0.545455	1.455257	824	0.376214	0.406000	0.365875	
842	0.355107	158	0.582278	1.455257	842	0.355107	0.391000	0.366773	
828	0.327295	172	0.633721	1.455257	828	0.327295	0.380000	0.367229	
819	0.339438	181	0.519337	1.455257	819	0.339438	0.372000	0.367388	
825	0.350303	175	0.668571	1.455257	825	0.350303	0.406000	0.368633	
820	0.356098	180	0.644444	1.455257	820	0.356098	0.408000	0.369863	
838	0.366348	162	0.654321	1.455257	838	0.366348	0.413000	0.371171	
792	0.340909	208	0.692308	1.455257	792	0.340909	0.414000	0.372430	
839	0.353993	161	0.701863	1.455257	839	0.353993	0.410000	0.373504	
824	0.367718	176	0.698864	1.455257	824	0.367718	0.426000	0.374962	
817	0.363525	183	0.677596	1.455257	817	0.363525	0.421000	0.376206	
824	0.342233	176	0.625000	1.455257	824	0.342233	0.392000	0.376622	
827	0.314389	173	0.670520	1.455257	827	0.314389	0.376000	0.376606	
808	0.384901	192	0.614583	1.455257	808	0.384901	0.429000	0.377916	
832	0.348558	168	0.690476	1.455257	832	0.348558	0.406000	0.378601	
842	0.364608	158	0.683544	1.455257	842	0.364608	0.415000	0.379467	
829	0.366707	171	0.538012	1.455257	829	0.366707	0.396000	0.379852	
819	0.345543	181	0.513812	1.455257	819	0.345543	0.376000	0.379764	
807	0.327138	193	0.673575	1.455257	807	0.327138	0.394000	0.380080	
829	0.342581	171	0.748538	1.455257	829	0.342581	0.412000	0.380774	
842	0.340855	158	0.734177	1.455257	842	0.340855	0.403000	0.381247	
814	0.382064	186	0.607527	1.455257	814	0.382064	0.424000	0.382138	
835	0.348503	165	0.684848	1.455257	835	0.348503	0.404000	0.382584	
843	0.367734	157	0.643312	1.455257	843	0.367734	0.411000	0.383152	
808	0.386139	192	0.630208	1.455257	808	0.386139	0.433000	0.384130	
811	0.351418	189	0.608466	1.455257	811	0.351418	0.400000	0.384435	
817	0.372093	183	0.579235	1.455257	817	0.372093	0.410000	0.384917	
826	0.364407	174	0.706897	1.455257	826	0.364407	0.424000	0.385641	
816	0.351716	184	0.619565	1.455257	816	0.351716	0.401000	0.385920	
845	0.362130	155	0.554839	1.455257	845	0.362130	0.392000	0.386029	
829	0.370326	171	0.660819	1.455257	829	0.370326	0.420000	0.386625	
834	0.333333	166	0.626506	1.455257	834	0.333333	0.382000	0.386545	
815	0.326380	185	0.616216	1.455257	815	0.326380	0.380000	0.386434	
835	0.320958	165	0.600000	1.455257	835	0.320958	0.367000	0.386110	
820	0.358537	180	0.644444	1.455257	820	0.358537	0.410000	0.386502	
822	0.349148	178	0.589888	1.455257	822	0.349148	0.392000	0.386591	
831	0.359807	169	0.633136	1.455257	831	0.359807	0.406000	0.386899	
837	0.334528	163	0.631902	1.455257	837	0.334528	0.383000	0.386838	
811	0.388409	189	0.656085	1.455257	811	0.388409	0.439000	0.387640	
812	0.375616	188	0.579787	1.455257	812	0.375616	0.414000	0.388040	
810	0.349383	190	0.678947	1.455257	810	0.349383	0.412000	0.388397	
792	0.351010	208	0.668269	1.455257	792	0.351010	0.417000	0.388818	
837	0.353644	163	0.644172	1.455257	837	0.353644	0.401000	0.388994	
821	0.310597	179	0.743017	1.455257	821	0.310597	0.388000	0.388980	
809	0.327565	191	0.643979	1.455257	809	0.327565	0.388000	0.388966	
807	0.358116	193	0.652850	1.455257	807	0.358116	0.415000	0.389328	
819	0.390720	181	0.602210	1.455257	819	0.390720	0.429000	0.389871	
827	0.332527	173	0.630058	1.455257	827	0.332527	0.384000	0.389792	
824	0.347087	176	0.573864	1.455257	824	0.347087	0.387000	0.389755	
845	0.376331	155	0.645161	1.455257	845	0.376331	0.418000	0.390126	
832	0.356971	168	0.559524	1.455257	832	0.356971	0.391000	0.390138	
819	0.350427	181	0.552486	1.455257	819	0.350427	0.387000	0.390098	
813	0.344403	187	0.625668	1.455257	813	0.344403	0.397000	0.390185	
826	0.364407	174	0.574713	1.455257	826	0.364407	0.401000	0.390320	
816	0.354167	184	0.619565	1.455257	816	0.354167	0.403000	0.390477	
824	0.365291	176	0.630682	1.455257	824	0.365291	0.412000	0.390739	
854	0.337237	146	0.575342	1.455257	854	0.337237	0.372000	0.390513	
830	0.354217	170	0.682353	1.455257	830	0.354217	0.410000	0.390745	
810	0.383951	190	0.642105	1.455257	810	0.383951	0.433000	0.391242	
819	0.338217	181	0.662983	1.455257	819	0.338217	0.397000	0.391309	
829	0.360676	171	0.567251	1.455257	829	0.360676	0.396000	0.391363	
812	0.379310	188	0.686170	1.455257	812	0.379310	0.437000	0.391882	
819	0.360195	181	0.574586	1.455257	819	0.360195	0.399000	0.391962	
824	0.351942	176	0.500000	1.455257	824	0.351942	0.378000	0.391807	
823	0.326853	177	0.644068	1.455257	823	0.326853	0.383000	0.391710	
827	0.348247	173	0.583815	1.455257	827	0.348247	0.389000	0.391681	
813	0.355474	187	0.684492	1.455257	813	0.355474	0.417000	0.391953	
831	0.322503	169	0.621302	1.455257	831	0.322503	0.373000	0.391751	
834	0.365707	166	0.650602	1.455257	834	0.365707	0.413000	0.391975	
830	0.333735	170	0.617647	1.455257	830	0.333735	0.382000	0.391871	
830	0.334940	170	0.741176	1.455257	830	0.334940	0.404000	0.391996	
