Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
824	0.287621	176	0.534091	1.573537	824	0.287621	0.331000	0.252159	
821	0.293544	179	0.642458	1.573537	821	0.293544	0.356000	0.260812	
837	0.330944	163	0.546012	1.573537	837	0.330944	0.366000	0.268902	
850	0.316471	150	0.606667	1.573537	850	0.316471	0.360000	0.275409	
829	0.320869	171	0.578947	1.573537	829	0.320869	0.365000	0.281381	
822	0.360097	178	0.634831	1.573537	822	0.360097	0.409000	0.289357	
843	0.332147	157	0.547771	1.573537	843	0.332147	0.366000	0.293865	
836	0.358852	164	0.664634	1.573537	836	0.358852	0.409000	0.300261	
846	0.317967	154	0.688312	1.573537	846	0.317967	0.375000	0.304195	
829	0.308806	171	0.567251	1.573537	829	0.308806	0.353000	0.306635	
831	0.269555	169	0.644970	1.573537	831	0.269555	0.333000	0.307890	
810	0.327160	190	0.663158	1.573537	810	0.327160	0.391000	0.311668	
842	0.324228	158	0.740506	1.573537	842	0.324228	0.390000	0.315073	
817	0.335373	183	0.606557	1.573537	817	0.335373	0.385000	0.317987	
856	0.317757	144	0.666667	1.573537	856	0.317757	0.368000	0.319987	
824	0.354369	176	0.670455	1.573537	824	0.354369	0.410000	0.323449	
860	0.304651	140	0.607143	1.573537	860	0.304651	0.347000	0.324321	
841	0.294887	159	0.622642	1.573537	841	0.294887	0.347000	0.325131	
812	0.275862	188	0.638298	1.573537	812	0.275862	0.344000	0.325782	
829	0.300362	171	0.602339	1.573537	829	0.300362	0.352000	0.326656	
832	0.295673	168	0.559524	1.573537	832	0.295673	0.340000	0.327086	
827	0.316808	173	0.618497	1.573537	827	0.316808	0.369000	0.328396	
855	0.323977	145	0.475862	1.573537	855	0.323977	0.346000	0.328929	
837	0.348865	163	0.588957	1.573537	837	0.348865	0.388000	0.330667	
842	0.312352	158	0.594937	1.573537	842	0.312352	0.357000	0.331419	
838	0.291169	162	0.512346	1.573537	838	0.291169	0.327000	0.331296	
834	0.299760	166	0.500000	1.573537	834	0.299760	0.333000	0.331342	
828	0.277778	172	0.627907	1.573537	828	0.277778	0.338000	0.331518	
818	0.336186	182	0.703297	1.573537	818	0.336186	0.403000	0.333350	
833	0.273709	167	0.652695	1.573537	833	0.273709	0.337000	0.333442	
829	0.318456	171	0.596491	1.573537	829	0.318456	0.366000	0.334236	
844	0.279621	156	0.564103	1.573537	844	0.279621	0.324000	0.333992	
825	0.329697	175	0.645714	1.573537	825	0.329697	0.385000	0.335178	
830	0.320482	170	0.647059	1.573537	830	0.320482	0.376000	0.336106	
828	0.312802	172	0.691860	1.573537	828	0.312802	0.378000	0.337037	
863	0.340672	137	0.664234	1.573537	863	0.340672	0.385000	0.338080	
821	0.337393	179	0.720670	1.573537	821	0.337393	0.406000	0.339525	
816	0.338235	184	0.576087	1.573537	816	0.338235	0.382000	0.340410	
840	0.315476	160	0.500000	1.573537	840	0.315476	0.345000	0.340503	
819	0.306471	181	0.635359	1.573537	819	0.306471	0.366000	0.341013	
841	0.306778	159	0.566038	1.573537	841	0.306778	0.348000	0.341150	
833	0.340936	167	0.550898	1.573537	833	0.340936	0.376000	0.341820	
828	0.341787	172	0.627907	1.573537	828	0.341787	0.391000	0.342748	
828	0.305556	172	0.540698	1.573537	828	0.305556	0.346000	0.342808	
848	0.319575	152	0.500000	1.573537	848	0.319575	0.347000	0.342885	
844	0.290284	156	0.583333	1.573537	844	0.290284	0.336000	0.342762	
840	0.283333	160	0.662500	1.573537	840	0.283333	0.344000	0.342783	
832	0.335337	168	0.619048	1.573537	832	0.335337	0.383000	0.343477	
838	0.337709	162	0.666667	1.573537	838	0.337709	0.391000	0.344282	
833	0.345738	167	0.622754	1.573537	833	0.345738	0.392000	0.345078	
833	0.289316	167	0.652695	1.573537	833	0.289316	0.350000	0.345158	
829	0.313631	171	0.584795	1.573537	829	0.313631	0.360000	0.345398	
845	0.293491	155	0.703226	1.573537	845	0.293491	0.357000	0.345582	
850	0.284706	150	0.620000	1.573537	850	0.284706	0.335000	0.345416	
851	0.310223	149	0.677852	1.573537	851	0.310223	0.365000	0.345718	
837	0.291517	163	0.668712	1.573537	837	0.291517	0.353000	0.345828	
821	0.319123	179	0.636872	1.573537	821	0.319123	0.376000	0.346278	
839	0.348033	161	0.645963	1.573537	839	0.348033	0.396000	0.347010	
825	0.332121	175	0.554286	1.573537	825	0.332121	0.371000	0.347357	
809	0.322621	191	0.549738	1.573537	809	0.322621	0.366000	0.347624	
855	0.293567	145	0.696552	1.573537	855	0.293567	0.352000	0.347685	
861	0.306620	139	0.589928	1.573537	861	0.306620	0.346000	0.347662	
811	0.292232	189	0.582011	1.573537	811	0.292232	0.347000	0.347653	
826	0.303874	174	0.620690	1.573537	826	0.303874	0.359000	0.347806	
843	0.346382	157	0.624204	1.573537	843	0.346382	0.390000	0.348369	
841	0.297265	159	0.704403	1.573537	841	0.297265	0.362000	0.348548	
836	0.300239	164	0.603659	1.573537	836	0.300239	0.350000	0.348567	
841	0.310345	159	0.572327	1.573537	841	0.310345	0.352000	0.348611	
818	0.248166	182	0.653846	1.573537	818	0.248166	0.322000	0.348274	
831	0.286402	169	0.520710	1.573537	831	0.286402	0.326000	0.347996	
853	0.329426	147	0.578231	1.573537	853	0.329426	0.366000	0.348218	
856	0.317757	144	0.562500	1.573537	856	0.317757	0.353000	0.348276	
811	0.308261	189	0.703704	1.573537	811	0.308261	0.383000	0.348695	
822	0.301703	178	0.544944	1.573537	822	0.301703	0.345000	0.348651	
826	0.331719	174	0.609195	1.573537	826	0.331719	0.380000	0.349019	
849	0.326266	151	0.523179	1.573537	849	0.326266	0.356000	0.349101	
814	0.340295	186	0.596774	1.573537	814	0.340295	0.388000	0.349548	
817	0.269278	183	0.557377	1.573537	817	0.269278	0.322000	0.349235	
835	0.305389	165	0.642424	1.573537	835	0.305389	0.361000	0.349367	
821	0.311815	179	0.519553	1.573537	821	0.311815	0.349000	0.349363	
863	0.309386	137	0.700730	1.573537	863	0.309386	0.363000	0.349513	
837	0.327360	163	0.466258	1.573537	837	0.327360	0.350000	0.349518	
833	0.336134	167	0.670659	1.573537	833	0.336134	0.392000	0.349975	
840	0.333333	160	0.612500	1.573537	840	0.333333	0.378000	0.350273	
867	0.299885	133	0.729323	1.573537	867	0.299885	0.357000	0.350344	
828	0.266908	172	0.569767	1.573537	828	0.266908	0.319000	0.350017	
863	0.288528	137	0.562044	1.573537	863	0.288528	0.326000	0.349770	
822	0.336983	178	0.606742	1.573537	822	0.336983	0.385000	0.350129	
817	0.319461	183	0.622951	1.573537	817	0.319461	0.375000	0.350380	
841	0.313912	159	0.559748	1.573537	841	0.313912	0.353000	0.350406	
821	0.289890	179	0.502793	1.573537	821	0.289890	0.328000	0.350185	
842	0.295724	158	0.607595	1.573537	842	0.295724	0.345000	0.350134	
820	0.278049	180	0.616667	1.573537	820	0.278049	0.339000	0.350026	
834	0.323741	166	0.469880	1.573537	834	0.323741	0.348000	0.350006	
