Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/mXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/mXpermitted.btdata
Log File Name:                   ./ccm/bt_output/mXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1274344856
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/mXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
60000	-46.926810	39	10.445794	1.258148	1.600656	1.128881	0.425891	0.071894	0.429682	0.072533	
61000	-51.545453	68	1.174810	0.747958	4.250896	3.362750	0.059341	0.047768	0.494685	0.398206	
62000	-48.011138	45	18.032247	1.775679	1.464586	3.489519	0.230710	0.269302	0.230699	0.269289	
63000	-45.007782	61	15.306541	1.126282	0.227546	2.534445	0.081813	0.418448	0.081728	0.418011	
64000	-48.135447	7	42.000294	5.040028	1.229009	0.138292	0.498200	0.001800	0.498200	0.001800	
65000	-48.565403	20	11.822205	0.743788	2.727744	2.058842	0.353148	0.148143	0.351329	0.147380	
66000	-50.235310	9	34.078652	5.643292	2.350830	0.606558	0.450061	0.049939	0.450061	0.049939	
67000	-47.492518	41	88.239550	8.486502	0.300392	3.969014	0.086243	0.413757	0.086243	0.413757	
68000	-47.378800	61	16.888742	0.815990	2.233604	2.721402	0.300018	0.200499	0.299398	0.200084	
69000	-45.823260	96	5.428239	0.743038	1.627867	0.407570	0.411429	0.010133	0.564535	0.013903	
70000	-45.838679	61	9.202040	0.872883	1.136674	3.886286	0.177516	0.313478	0.184028	0.324978	
71000	-47.994709	41	21.196487	3.642019	1.457852	0.541593	0.480669	0.019329	0.480672	0.019330	
72000	-49.337077	62	9.445495	0.999459	0.860321	5.480392	0.163592	0.327820	0.169310	0.339278	
73000	-46.479870	17	12.426741	1.003669	1.671805	3.853624	0.221858	0.277735	0.222219	0.278188	
74000	-47.407613	73	38.790915	3.316436	0.600899	3.157145	0.152454	0.347546	0.152454	0.347546	
75000	-49.009256	37	4.563980	0.525806	0.115189	4.139172	0.045050	0.379610	0.061035	0.514304	
76000	-49.865511	46	14.194650	1.403032	3.364464	7.294577	0.246458	0.253472	0.246527	0.253543	
77000	-50.920871	39	9.548379	0.172184	2.793516	3.969680	0.315784	0.298608	0.198194	0.187414	
78000	-45.524316	61	12.207640	0.828831	0.549659	3.719995	0.121339	0.379541	0.120913	0.378207	
79000	-48.669224	17	10.761691	2.542003	2.269407	1.340057	0.418185	0.078672	0.423475	0.079667	
80000	-48.156847	28	5.066706	0.387591	1.688100	3.894946	0.199626	0.234601	0.260102	0.305672	
81000	-47.193581	56	15.286949	1.988581	0.629598	2.550971	0.222108	0.277850	0.222145	0.277896	
82000	-48.076050	48	54.027945	9.745332	0.904900	3.391773	0.188299	0.311701	0.188299	0.311701	
83000	-46.958428	84	7.842127	0.652954	0.546810	2.469997	0.154317	0.324020	0.168295	0.353369	
84000	-46.680715	82	9.564637	1.338900	0.455956	2.738972	0.130682	0.361959	0.134586	0.372773	
85000	-48.841159	42	3.283080	0.439815	1.928383	2.707654	0.187710	0.153965	0.361672	0.296653	
86000	-50.745619	94	15.617099	4.636232	1.225632	4.441020	0.192080	0.307870	0.192118	0.307932	
87000	-46.929585	85	30.127610	4.339858	0.473524	2.382080	0.183206	0.316794	0.183206	0.316794	
88000	-49.187746	32	10.060628	0.621296	1.782551	6.355889	0.216979	0.281180	0.218583	0.283259	
89000	-46.858174	61	38.849948	3.624698	1.730177	1.721702	0.389255	0.110745	0.389255	0.110745	
90000	-47.651455	36	13.432947	0.918329	1.380854	1.781479	0.380316	0.120263	0.379437	0.119985	
91000	-48.235779	89	7.578927	1.393093	0.184971	2.991648	0.069263	0.404810	0.076839	0.449088	
92000	-47.644622	35	16.427434	3.021027	1.357852	1.299736	0.428741	0.071220	0.428807	0.071231	
93000	-49.630159	52	57.293789	6.799313	2.973686	3.038927	0.280583	0.219417	0.280583	0.219417	
94000	-47.701432	50	20.492904	2.094363	0.743715	4.251398	0.164935	0.335065	0.164935	0.335065	
95000	-46.979913	40	7.585581	0.760576	0.100871	2.329777	0.060123	0.418083	0.065603	0.456191	
96000	-46.859195	88	9.322028	1.601097	0.635725	3.322894	0.159821	0.333622	0.164069	0.342489	
97000	-48.612925	19	4.839875	1.318288	0.428252	2.349499	0.116247	0.298103	0.164306	0.421344	
98000	-47.089646	44	5.877245	1.051236	1.911557	3.203923	0.241470	0.226571	0.274447	0.257512	
99000	-47.534646	6	8.047620	1.007498	2.068901	3.846410	0.236020	0.243607	0.256071	0.264302	
100000	-47.008814	88	10.834101	1.730305	0.406439	2.505698	0.157590	0.340049	0.159086	0.343275	
101000	-49.562868	63	34.926316	0.819948	0.601174	3.033993	0.186337	0.313663	0.186337	0.313663	
102000	-52.878442	38	10.812602	0.568054	7.726541	5.702779	0.251832	0.250781	0.249214	0.248174	
103000	-47.788273	88	8.757285	1.674763	1.092266	4.264744	0.185665	0.305238	0.192546	0.316551	
104000	-48.402521	64	2.647790	0.881797	0.574711	3.174007	0.090033	0.216254	0.203917	0.489796	
105000	-47.752423	72	3.854885	0.713547	0.922976	3.296448	0.148701	0.243988	0.229973	0.377339	
106000	-49.417373	12	13.495297	2.331273	1.922789	4.818892	0.227854	0.271957	0.228027	0.272163	
107000	-49.794154	26	6.917005	1.964452	1.274067	4.917090	0.188586	0.286771	0.208139	0.316504	
108000	-49.216082	36	23.783838	2.638357	2.892487	5.429451	0.245912	0.254088	0.245912	0.254088	
109000	-47.257426	39	5.121391	0.455347	1.600410	0.978857	0.375761	0.051095	0.504537	0.068606	
110000	-49.659510	22	10.631630	0.451654	0.531762	1.832812	0.251380	0.259193	0.240969	0.248458	
111000	-48.500860	61	30.456806	1.651487	2.852850	1.227336	0.422974	0.077027	0.422973	0.077027	
112000	-48.636381	38	9.544999	1.470080	3.579121	4.377250	0.253384	0.243497	0.256565	0.246554	
113000	-47.131536	86	9.187564	1.234711	0.074210	3.838134	0.042266	0.453427	0.043000	0.461307	
114000	-50.117140	72	15.483390	3.417342	2.501301	2.389788	0.310158	0.189818	0.310187	0.189837	
115000	-48.804557	60	6.425747	1.314669	0.667616	2.264178	0.216844	0.264867	0.233310	0.284979	
116000	-47.009381	19	9.451472	0.656292	0.360741	2.443388	0.119604	0.375697	0.121874	0.382825	
117000	-47.810156	78	11.432602	1.072579	1.316461	0.239927	0.495126	0.004477	0.495914	0.004484	
118000	-50.509782	57	5.233110	1.019250	3.623037	8.068906	0.220203	0.223128	0.276498	0.280171	
119000	-48.155169	7	6.938974	1.054496	1.413865	1.131822	0.406401	0.068644	0.449100	0.075856	
120000	-47.230973	35	10.780502	1.622740	2.118237	3.418487	0.265340	0.232058	0.268116	0.234486	
121000	-46.730361	92	8.819921	1.310325	1.405894	0.406061	0.477066	0.017025	0.488478	0.017432	
122000	-49.230667	16	24.761086	4.207842	2.538540	3.990860	0.255061	0.244938	0.255062	0.244939	
123000	-47.480656	13	10.071974	1.264740	2.425900	3.148267	0.270864	0.226387	0.273859	0.228890	
124000	-48.182818	40	6.794942	1.545411	0.201484	3.628078	0.068799	0.402952	0.077038	0.451212	
125000	-51.099212	62	24.603004	6.385057	1.270582	2.382817	0.280472	0.219528	0.280472	0.219528	
126000	-47.837901	25	29.166303	2.918947	0.441117	2.495138	0.119543	0.380457	0.119543	0.380457	
127000	-46.251719	77	10.091966	1.191071	0.284032	3.617624	0.081404	0.413799	0.082981	0.421816	
128000	-45.395595	61	5.239351	0.724683	1.419380	0.310014	0.409798	0.004877	0.578442	0.006883	
129000	-47.538896	75	30.803480	4.186752	2.067149	1.651881	0.388690	0.111310	0.388690	0.111310	
130000	-49.547717	59	29.777633	5.668064	2.892261	3.050683	0.290809	0.209191	0.290809	0.209191	
131000	-47.867373	42	6.169243	0.870744	0.403465	3.376860	0.106637	0.356079	0.123822	0.413462	
132000	-46.695488	17	31.684085	5.106016	0.616979	2.939069	0.164059	0.335941	0.164059	0.335941	
133000	-50.596571	47	16.693225	0.390189	1.479053	1.362309	0.428680	0.074208	0.423756	0.073356	
134000	-49.791742	29	25.919971	2.793943	3.304302	5.629786	0.248592	0.251408	0.248592	0.251408	
135000	-47.038780	59	5.788659	1.058922	2.102286	0.152464	0.439479	0.002126	0.555707	0.002688	
136000	-48.209604	90	9.337429	1.068900	0.711965	4.063750	0.183902	0.313779	0.185616	0.316704	
137000	-47.748749	3	7.270474	0.473812	1.475989	3.420204	0.219127	0.261599	0.236698	0.282576	
138000	-47.159328	25	21.613067	2.143322	1.566996	0.028101	0.499933	0.000068	0.499931	0.000068	
139000	-47.383340	25	18.727277	1.617425	0.655055	3.098200	0.138701	0.361318	0.138691	0.361291	
140000	-52.497008	68	15.389429	3.489440	5.483772	7.929220	0.249895	0.250024	0.249976	0.250105	
141000	-47.688438	70	4.706176	0.930402	0.716378	3.952223	0.156739	0.266543	0.213556	0.363162	
142000	-47.754282	73	17.854387	3.064115	0.131817	2.515247	0.063374	0.436616	0.063377	0.436633	
143000	-46.845317	93	16.632523	2.030360	1.809394	1.557195	0.391280	0.108702	0.391308	0.108710	
144000	-48.948614	6	34.338426	3.759117	0.760318	0.556369	0.486003	0.013997	0.486003	0.013997	
145000	-47.527993	57	3.515558	1.040378	0.329622	4.353820	0.090722	0.278690	0.154863	0.475724	
146000	-45.345813	57	12.745902	1.061212	0.551660	2.853106	0.200979	0.299088	0.200925	0.299008	
147000	-49.887125	43	20.095478	1.147644	3.999642	4.040159	0.262148	0.237876	0.262123	0.237853	
