Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/fXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/fXpermitted.btdata
Log File Name:                   ./ccm/bt_output/fXpermitted-indep-2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2613100307
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/fXpermitted-indep-2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
60000	-51.284831	36	3.375905	0.840724	1.499569	0.238285	0.380422	0.003902	0.609425	0.006251	
61000	-55.451038	22	13.620984	3.603248	3.585462	4.345459	0.255684	0.244226	0.255776	0.244314	
62000	-53.733418	1	5.565361	1.616163	2.061620	0.099021	0.470259	0.001530	0.526498	0.001713	
63000	-52.438938	88	4.454459	0.845061	1.713819	0.932691	0.398682	0.041511	0.507017	0.052791	
64000	-53.324660	8	5.953019	1.396287	2.483254	2.493847	0.304375	0.168700	0.339023	0.187903	
65000	-54.042159	79	2.916215	0.570908	1.533223	2.563560	0.168576	0.155507	0.351587	0.324330	
66000	-52.274284	96	3.477509	0.705386	0.749708	3.437858	0.125670	0.248714	0.210002	0.415614	
67000	-52.381007	92	5.327812	1.298252	1.024503	3.407904	0.204521	0.268890	0.227495	0.299095	
68000	-53.459184	62	11.043589	1.711924	1.769403	0.855311	0.463320	0.037307	0.462160	0.037213	
69000	-52.836393	24	0.682981	0.787415	0.923344	2.309473	0.029499	0.029302	0.472177	0.469022	
70000	-52.107622	59	36.016885	8.072054	1.610769	0.068329	0.499576	0.000424	0.499576	0.000424	
71000	-52.563848	26	5.741604	1.352997	1.594356	3.573798	0.220298	0.250944	0.247186	0.281572	
72000	-51.627312	19	8.225917	1.178609	1.850736	0.132158	0.501836	0.001438	0.495307	0.001419	
73000	-52.498374	92	3.752410	1.218588	1.067614	3.792672	0.181346	0.246847	0.242169	0.329639	
74000	-53.869798	44	1.497982	0.648065	2.959787	0.697504	0.179199	0.026303	0.692806	0.101692	
75000	-54.038491	43	5.528345	0.668014	1.731598	4.135004	0.220420	0.273756	0.225615	0.280209	
76000	-52.648351	19	10.468252	1.865186	1.874662	4.368608	0.222268	0.277625	0.222363	0.277744	
77000	-54.374348	28	32.655591	5.263946	0.052186	4.045115	0.027633	0.472367	0.027633	0.472367	
78000	-55.522165	85	2.740767	1.882229	1.361826	2.030899	0.231801	0.139088	0.393187	0.235924	
79000	-50.605421	61	0.782067	0.608466	1.187074	0.002297	0.052366	0.000000	0.947633	0.000001	
