Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
817	0.340269	183	0.672131	1.597167	817	0.340269	0.401000	0.614035	
821	0.308161	179	0.815642	1.597167	821	0.308161	0.399000	0.596117	
833	0.328932	167	0.640719	1.597167	833	0.328932	0.381000	0.579571	
856	0.304907	144	0.687500	1.597167	856	0.304907	0.360000	0.563888	
831	0.357401	169	0.621302	1.597167	831	0.357401	0.402000	0.553096	
815	0.317791	185	0.627027	1.597167	815	0.317791	0.375000	0.541966	
807	0.344486	193	0.683938	1.597167	807	0.344486	0.410000	0.534204	
830	0.342169	170	0.629412	1.597167	830	0.342169	0.391000	0.526249	
833	0.308523	167	0.610778	1.597167	833	0.308523	0.359000	0.517446	
817	0.280294	183	0.748634	1.597167	817	0.280294	0.366000	0.509875	
836	0.289474	164	0.652439	1.597167	836	0.289474	0.349000	0.502214	
819	0.311355	181	0.646409	1.597167	819	0.311355	0.372000	0.496296	
803	0.293898	197	0.751269	1.597167	803	0.293898	0.384000	0.491413	
833	0.313325	167	0.586826	1.597167	833	0.313325	0.359000	0.485896	
856	0.341121	144	0.673611	1.597167	856	0.341121	0.389000	0.482021	
825	0.326061	175	0.617143	1.597167	825	0.326061	0.377000	0.477982	
826	0.340194	174	0.672414	1.597167	826	0.340194	0.398000	0.475019	
817	0.310894	183	0.546448	1.597167	817	0.310894	0.354000	0.470697	
801	0.328340	199	0.718593	1.597167	801	0.328340	0.406000	0.468467	
806	0.300248	194	0.675258	1.597167	806	0.300248	0.373000	0.465284	
817	0.346389	183	0.633880	1.597167	817	0.346389	0.399000	0.463146	
811	0.315660	189	0.645503	1.597167	811	0.315660	0.378000	0.460486	
804	0.300995	196	0.627551	1.597167	804	0.300995	0.365000	0.457592	
834	0.336930	166	0.686747	1.597167	834	0.336930	0.395000	0.455751	
810	0.330864	190	0.657895	1.597167	810	0.330864	0.393000	0.453958	
816	0.325980	184	0.701087	1.597167	816	0.325980	0.395000	0.452321	
820	0.263415	180	0.588889	1.597167	820	0.263415	0.322000	0.448799	
809	0.331273	191	0.727749	1.597167	809	0.331273	0.407000	0.447699	
837	0.322581	163	0.668712	1.597167	837	0.322581	0.379000	0.445937	
809	0.295426	191	0.691099	1.597167	809	0.295426	0.371000	0.444064	
815	0.355828	185	0.686486	1.597167	815	0.355828	0.417000	0.443404	
846	0.333333	154	0.629870	1.597167	846	0.333333	0.379000	0.441870	
837	0.335723	163	0.730061	1.597167	837	0.335723	0.400000	0.440897	
