Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/fXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/fXpermitted.btdata
Log File Name:                   ./ccm/bt_output/fXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1643443972
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/fXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-53.133998	93	12.460637	1.649260	2.518102	0.524123	0.469813	0.031090	0.468120	0.030978	
12000	-53.478120	63	0.233996	0.694672	1.749736	1.297439	0.009576	0.002772	0.765919	0.221732	
13000	-52.859588	19	0.205208	1.139115	1.335958	0.807111	0.004824	0.000322	0.932664	0.062190	
14000	-54.055159	11	9.230405	1.928521	0.823660	1.793168	0.275212	0.224113	0.275956	0.224719	
15000	-55.518097	77	2.188189	1.784032	3.183783	5.138492	0.134721	0.135921	0.363062	0.366295	
16000	-53.368020	36	6.320767	1.115884	0.767355	2.290322	0.238763	0.250355	0.249387	0.261495	
17000	-52.220815	77	3.433792	0.715314	1.652357	1.551631	0.304666	0.070161	0.508152	0.117021	
18000	-54.573771	26	19.772297	4.530648	1.355928	5.302950	0.202156	0.297843	0.202156	0.297844	
19000	-52.320838	84	3.337365	0.981623	0.662784	2.682580	0.115637	0.228869	0.220023	0.435471	
20000	-54.522284	5	12.036899	2.160120	1.529952	0.120876	0.498482	0.001549	0.498420	0.001549	
21000	-50.997111	44	7.999244	1.367447	1.381103	0.871688	0.442532	0.057680	0.442157	0.057631	
22000	-54.834525	86	20.771306	4.428135	3.284426	3.824465	0.260198	0.239802	0.260198	0.239802	
23000	-53.389154	36	2.141034	1.677654	1.480025	1.208119	0.243187	0.039427	0.617304	0.100081	
24000	-51.944334	61	6.011426	1.213605	2.515895	2.712686	0.289741	0.182359	0.323987	0.203913	
25000	-54.167791	93	9.300991	0.420545	0.443599	3.140508	0.178558	0.436779	0.111621	0.273042	
26000	-53.198821	39	22.705801	2.887172	1.599969	0.965739	0.441226	0.058775	0.441225	0.058775	
27000	-52.310579	39	11.454305	1.676365	1.841598	0.481951	0.477836	0.022804	0.476615	0.022745	
28000	-51.915115	44	8.128330	0.923842	0.864296	3.860148	0.189635	0.321380	0.181460	0.307525	
29000	-55.124084	74	25.778891	2.761073	1.899652	1.356823	0.405847	0.094154	0.405846	0.094154	
30000	-54.298413	14	0.206764	1.006528	2.105922	4.865495	0.004957	0.005534	0.467551	0.521958	
31000	-53.237115	54	3.115603	0.752397	1.255932	3.331847	0.158823	0.213209	0.268084	0.359884	
32000	-52.783061	24	10.837275	1.949866	0.169757	2.684306	0.074831	0.425266	0.074802	0.425102	
33000	-56.692647	69	3.230496	0.768191	6.422034	6.467157	0.183895	0.182640	0.317817	0.315648	
34000	-54.837019	85	4.503457	0.965212	2.876477	0.915812	0.382581	0.070923	0.461029	0.085466	
35000	-56.652894	79	3.589592	0.539605	0.789141	5.476749	0.107936	0.282573	0.168462	0.441029	
36000	-53.866572	82	2.725800	0.911802	3.391870	2.523602	0.196268	0.109269	0.446104	0.248360	
37000	-53.068714	75	7.196831	2.468232	0.836856	2.289793	0.220255	0.265675	0.233009	0.281060	
38000	-52.232610	77	4.025652	1.046275	2.314852	1.274950	0.342105	0.064631	0.498993	0.094271	
39000	-54.973142	97	3.282402	1.554732	2.828620	1.701923	0.289134	0.103563	0.447144	0.160159	
40000	-54.763823	32	1.251090	0.525250	5.095826	4.898057	0.062605	0.059781	0.448930	0.428684	
41000	-53.539380	20	4.607955	1.007249	0.604635	2.017980	0.248968	0.200315	0.305177	0.245540	
42000	-53.590774	98	4.945500	1.898019	0.866173	2.657531	0.211112	0.240964	0.255872	0.292053	
43000	-52.478644	57	8.793805	2.400843	0.580714	4.587856	0.163745	0.333895	0.165298	0.337061	
44000	-53.562885	81	9.198268	2.327730	1.699514	3.526715	0.240724	0.257586	0.242357	0.259333	
45000	-56.155812	16	11.417593	4.834317	0.796912	3.373435	0.164222	0.335048	0.164702	0.336028	
46000	-52.527896	13	4.822763	0.944601	1.466496	1.660266	0.343551	0.119013	0.399159	0.138277	
47000	-52.366165	39	7.988638	1.296395	0.653483	2.465918	0.191705	0.307624	0.192220	0.308451	
48000	-51.921103	93	10.454168	1.484071	0.482079	2.942969	0.158689	0.343300	0.157431	0.340579	
49000	-57.534571	40	6.004432	0.408820	3.326953	7.337121	0.323483	0.336239	0.166849	0.173429	
50000	-53.006741	6	11.174775	3.255957	0.644369	3.198253	0.160412	0.338767	0.160940	0.339881	
51000	-55.261129	66	5.991324	2.079714	2.995458	4.381080	0.239683	0.238312	0.261751	0.260254	
52000	-53.335069	6	23.444351	5.797716	0.127470	3.226980	0.049690	0.450310	0.049690	0.450311	
53000	-53.132264	4	5.296326	1.064184	2.515383	2.645346	0.284946	0.180697	0.326995	0.207362	
54000	-52.710203	57	6.695318	1.245405	1.182136	1.186681	0.421232	0.071083	0.434383	0.073302	
55000	-55.346922	52	15.032391	3.978962	2.414225	1.420235	0.380645	0.119342	0.380666	0.119348	
56000	-53.875893	72	30.147544	3.616741	0.259775	2.821792	0.099334	0.400666	0.099334	0.400666	
57000	-50.614918	57	3.245282	0.793119	0.638985	3.291218	0.152199	0.241147	0.234735	0.371920	
58000	-53.925403	17	6.840599	1.971085	3.504520	5.843235	0.237215	0.243210	0.256546	0.263029	
59000	-54.175429	17	19.229850	1.808719	2.382511	2.206951	0.349098	0.150971	0.349002	0.150929	
60000	-55.574959	82	8.163332	0.442984	2.679339	0.346756	0.634935	0.014329	0.342996	0.007740	
61000	-53.335271	93	0.555449	0.556805	2.695214	4.914486	0.018715	0.019324	0.473286	0.488674	
62000	-55.333297	56	32.896848	5.409607	2.864520	2.000814	0.334297	0.165703	0.334297	0.165703	
63000	-54.241283	26	9.101474	2.302691	3.035224	1.944263	0.360380	0.136631	0.364714	0.138274	
64000	-54.588346	92	9.011551	2.225520	0.962939	1.507592	0.379347	0.118776	0.382206	0.119671	
65000	-52.226313	77	6.608734	1.668340	1.638032	2.493555	0.293096	0.188566	0.315414	0.202924	
66000	-52.553687	57	5.160996	1.375996	0.930158	5.182813	0.183103	0.284555	0.208429	0.323913	
67000	-53.298762	24	12.545513	2.477238	0.498252	2.338385	0.178703	0.321274	0.178720	0.321303	
68000	-51.536176	57	7.193143	2.009427	1.063717	3.563848	0.216322	0.275711	0.223328	0.284640	
69000	-51.314027	46	7.552093	1.439313	1.529729	0.207368	0.490847	0.004250	0.500569	0.004334	
70000	-53.329661	6	22.428853	2.662693	1.831266	0.500485	0.484051	0.015952	0.484046	0.015951	
71000	-53.746143	68	7.103823	0.799250	1.574199	3.141359	0.257826	0.258943	0.241094	0.242138	
72000	-51.429183	44	4.451848	1.368165	1.666900	2.179969	0.287384	0.167604	0.344247	0.200766	
73000	-52.295511	77	3.013625	0.646266	1.499301	2.542417	0.197366	0.144247	0.380381	0.278006	
74000	-54.819544	89	7.120470	0.826178	1.357800	1.902019	0.362894	0.164289	0.325471	0.147347	
75000	-52.582984	61	11.938373	3.019771	2.066674	2.721468	0.292962	0.206575	0.293505	0.206958	
76000	-51.515364	93	3.172437	0.941994	2.192042	0.382630	0.356343	0.012681	0.609293	0.021683	
77000	-53.288734	48	0.848769	1.237331	0.168856	2.742794	0.014627	0.082174	0.136481	0.766718	
78000	-51.025140	93	3.431858	0.928525	1.227869	0.320860	0.380051	0.007001	0.601861	0.011087	
79000	-54.355380	89	7.697801	1.769881	2.516795	0.876961	0.447597	0.043772	0.463320	0.045310	
80000	-53.601903	78	8.864841	1.911660	1.990674	2.723519	0.283245	0.214527	0.285781	0.216447	
81000	-55.600240	83	16.900522	3.356083	2.241135	0.674417	0.458724	0.041274	0.458727	0.041274	
82000	-53.752544	76	18.473116	3.240213	0.489454	2.342865	0.228918	0.271083	0.228917	0.271082	
83000	-52.606388	82	2.246884	0.984585	1.893223	1.518431	0.208015	0.046382	0.609664	0.135939	
84000	-52.743071	50	7.571191	1.308450	2.014490	1.135509	0.426766	0.071060	0.430494	0.071680	
85000	-55.143071	86	13.935468	5.406280	0.201128	4.030204	0.091014	0.408968	0.091021	0.408997	
86000	-54.770125	49	12.070269	1.621926	2.936450	3.353140	0.268889	0.231601	0.268362	0.231148	
87000	-53.203039	49	7.487614	1.902764	0.212266	3.870834	0.087996	0.406489	0.089959	0.415556	
88000	-53.854396	6	6.680664	1.644849	3.118756	2.082307	0.344314	0.136868	0.371245	0.147573	
89000	-54.409336	74	8.213053	1.018406	2.621134	2.065429	0.348187	0.162200	0.334015	0.155598	
90000	-53.561828	49	12.165072	2.786645	1.037574	2.696542	0.233688	0.266207	0.233786	0.266318	
91000	-53.922955	57	3.083215	0.783146	3.467708	2.446821	0.235066	0.146110	0.381620	0.237204	
92000	-54.209290	20	5.401640	1.270960	0.421649	5.082098	0.124695	0.342404	0.142261	0.390640	
93000	-55.451875	48	8.843239	2.735617	2.848439	0.333112	0.479457	0.018152	0.484066	0.018326	
94000	-53.507288	82	16.744583	1.883179	0.393097	3.599936	0.102543	0.397619	0.102476	0.397361	
95000	-52.971511	69	17.597641	3.232709	1.529959	0.600617	0.478861	0.021141	0.478857	0.021141	
96000	-55.412876	10	4.679653	2.240431	1.862756	4.953483	0.207862	0.248600	0.247514	0.296024	
97000	-53.717215	94	23.145446	6.554212	0.758663	3.759379	0.158544	0.341456	0.158544	0.341456	
98000	-52.798029	26	5.406883	1.239923	2.265840	1.937170	0.347248	0.117738	0.399544	0.135470	
99000	-53.833753	70	27.036234	3.278957	0.568642	4.079607	0.167526	0.332474	0.167526	0.332474	
100000	-54.567933	25	20.336316	5.899926	1.666902	1.681335	0.391168	0.108831	0.391169	0.108831	
101000	-53.052167	5	1.799836	0.948485	0.519144	2.099118	0.108480	0.116550	0.373588	0.401381	
102000	-53.945504	82	1.040628	1.475555	1.357050	0.304608	0.098204	0.001125	0.890473	0.010198	
103000	-51.868452	36	3.472141	0.958020	1.937748	1.335813	0.322650	0.066555	0.506348	0.104447	
104000	-52.577383	68	0.908341	0.708132	0.282105	2.733173	0.022838	0.056491	0.265052	0.655619	
105000	-51.526086	39	7.330897	1.311713	1.526345	0.362560	0.482428	0.012674	0.491973	0.012925	
106000	-55.047597	49	36.297776	5.920033	0.173526	4.559327	0.074730	0.425270	0.074730	0.425270	
107000	-53.123097	13	27.056160	5.873464	0.282026	2.486196	0.136252	0.363748	0.136252	0.363748	
108000	-55.586401	80	8.833602	1.861717	1.034141	0.543129	0.475683	0.022534	0.479087	0.022696	
109000	-59.654222	75	2.323139	2.766467	1.812740	5.119507	0.135281	0.180707	0.292840	0.391172	
110000	-53.615597	27	3.010102	0.675727	1.507224	4.007205	0.165779	0.214437	0.270234	0.349550	
111000	-58.550629	60	27.726601	3.129043	4.707231	8.610554	0.249798	0.250202	0.249798	0.250202	
112000	-50.468096	61	10.552516	1.715715	1.474939	0.092183	0.499948	0.000594	0.498866	0.000592	
113000	-53.365171	87	15.056457	2.286115	0.744110	3.712007	0.164499	0.335550	0.164466	0.335485	
114000	-52.699733	75	2.073476	0.593004	0.560660	1.767060	0.119131	0.124117	0.370619	0.386132	
115000	-56.091944	55	16.389509	6.035065	1.713504	3.204645	0.246039	0.253958	0.246042	0.253961	
116000	-55.319692	1	19.040542	4.530315	2.065608	5.553422	0.231367	0.268632	0.231368	0.268633	
117000	-52.029094	35	6.055040	1.285243	1.095612	3.572285	0.201454	0.277486	0.219171	0.301889	
118000	-58.403879	54	2.620063	1.928458	3.485748	1.043924	0.284055	0.062208	0.536290	0.117447	
119000	-54.341333	55	24.551582	4.056914	1.802865	4.070232	0.232098	0.267902	0.232098	0.267902	
120000	-54.345081	39	5.448455	0.896413	3.161746	4.998544	0.237670	0.239490	0.260423	0.262417	
121000	-52.261936	32	2.083392	1.239507	2.423595	2.985023	0.148291	0.101984	0.444222	0.305503	
122000	-54.289340	25	43.039599	11.619055	0.858940	3.559035	0.156751	0.343249	0.156751	0.343249	
123000	-55.905293	25	4.555116	2.455578	2.492965	3.080288	0.249437	0.186991	0.322105	0.241467	
124000	-52.818595	84	8.558815	1.535857	2.391956	1.365201	0.422829	0.074622	0.427163	0.075386	
125000	-52.993989	61	0.354796	0.704159	2.838770	0.316724	0.012015	0.000241	0.968334	0.019410	
126000	-53.437237	87	6.902079	1.136470	2.098207	1.115719	0.418288	0.075957	0.428029	0.077726	
127000	-55.772903	25	2.486328	0.314999	0.814840	2.339175	0.123445	0.182401	0.280173	0.413980	
128000	-54.803212	29	27.059852	4.488342	2.756274	3.061339	0.273526	0.226474	0.273526	0.226474	
129000	-53.851993	75	4.642333	2.201856	0.089486	1.889151	0.053737	0.383891	0.069055	0.493317	
130000	-54.733726	94	9.339962	2.695833	3.753409	3.809947	0.266452	0.230662	0.269546	0.233340	
131000	-54.452363	52	10.567996	1.855203	0.162891	2.366403	0.095957	0.404014	0.095968	0.404061	
132000	-51.433000	61	18.781419	3.442972	0.480089	3.521153	0.113083	0.386919	0.113082	0.386916	
133000	-53.570131	67	4.600718	1.063430	2.778912	1.473769	0.349329	0.083859	0.457085	0.109726	
134000	-51.730581	46	5.270756	1.326842	1.967776	0.576411	0.438555	0.026856	0.503741	0.030848	
135000	-52.005546	39	6.825503	0.974764	0.495653	2.897789	0.147721	0.352530	0.147573	0.352176	
136000	-53.152094	55	5.330993	1.192306	1.480997	3.316209	0.219574	0.252628	0.245426	0.282372	
137000	-54.332774	44	21.502443	1.909523	0.311265	4.193549	0.109421	0.390581	0.109420	0.390578	
138000	-52.529303	59	8.265526	2.778753	1.502506	0.386359	0.484072	0.010280	0.495133	0.010515	
139000	-53.132046	18	3.310119	0.690774	1.355105	2.517794	0.217278	0.207948	0.293692	0.281082	
140000	-52.052451	57	2.847750	1.164622	0.770724	4.770944	0.132509	0.227268	0.235799	0.404423	
141000	-54.894049	25	1.197112	0.350880	2.395077	2.543562	0.070521	0.040209	0.566354	0.322916	
