Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
849	0.296820	151	0.569536	1.754041	849	0.296820	0.338000	0.326879	
826	0.319613	174	0.620690	1.754041	826	0.319613	0.372000	0.330639	
807	0.311029	193	0.616580	1.754041	807	0.311029	0.370000	0.333667	
836	0.300239	164	0.609756	1.754041	836	0.300239	0.351000	0.334905	
849	0.334511	151	0.688742	1.754041	849	0.334511	0.388000	0.338444	
818	0.312958	182	0.582418	1.754041	818	0.312958	0.362000	0.339916	
815	0.348466	185	0.567568	1.754041	815	0.348466	0.389000	0.342803	
815	0.309202	185	0.578378	1.754041	815	0.309202	0.359000	0.343703	
848	0.285377	152	0.598684	1.754041	848	0.285377	0.333000	0.343140	
829	0.319662	171	0.660819	1.754041	829	0.319662	0.378000	0.344883	
839	0.332539	161	0.577640	1.754041	839	0.332539	0.372000	0.346174	
855	0.301754	145	0.648276	1.754041	855	0.301754	0.352000	0.346439	
835	0.283832	165	0.569697	1.754041	835	0.283832	0.331000	0.345768	
824	0.341019	176	0.596591	1.754041	824	0.341019	0.386000	0.347444	
820	0.334146	180	0.622222	1.754041	820	0.334146	0.386000	0.348986	
834	0.302158	166	0.530120	1.754041	834	0.302158	0.340000	0.348640	
842	0.313539	158	0.715190	1.754041	842	0.313539	0.377000	0.349691	
825	0.333333	175	0.737143	1.754041	825	0.333333	0.404000	0.351630	
853	0.314185	147	0.612245	1.754041	853	0.314185	0.358000	0.351850	
835	0.332934	165	0.618182	1.754041	835	0.332934	0.380000	0.352788	
823	0.317132	177	0.644068	1.754041	823	0.317132	0.375000	0.353505	
843	0.313167	157	0.566879	1.754041	843	0.313167	0.353000	0.353489	
867	0.284890	133	0.631579	1.754041	867	0.284890	0.331000	0.352807	
840	0.285714	160	0.600000	1.754041	840	0.285714	0.336000	0.352313	
840	0.338095	160	0.600000	1.754041	840	0.338095	0.380000	0.353104	
865	0.289017	135	0.748148	1.754041	865	0.289017	0.351000	0.353046	
825	0.306667	175	0.657143	1.754041	825	0.306667	0.368000	0.353450	
853	0.344666	147	0.585034	1.754041	853	0.344666	0.380000	0.354149	
822	0.278589	178	0.668539	1.754041	822	0.278589	0.348000	0.353991	
