Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/mXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/mXpermitted.btdata
Log File Name:                   ./ccm/bt_output/mXpermitted-indep-2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2965421478
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/mXpermitted-indep-2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-47.538313	75	10.403772	0.939537	2.149908	4.598268	0.227507	0.269460	0.230284	0.272749	
12000	-46.783207	86	78.300151	5.948150	0.321379	2.511487	0.162375	0.337625	0.162375	0.337625	
13000	-48.498329	28	15.108879	1.618213	3.420340	5.311911	0.248867	0.251102	0.248898	0.251133	
14000	-46.762722	17	24.817766	2.092393	0.927376	4.115331	0.169567	0.330434	0.169566	0.330433	
15000	-52.800006	21	6.928058	0.752750	11.031481	19.227089	0.223278	0.223278	0.276722	0.276722	
16000	-47.032738	32	10.925698	0.824636	2.480219	3.860279	0.258229	0.240228	0.259828	0.241716	
17000	-47.971645	12	1.857214	0.518203	0.638913	3.582809	0.068410	0.151218	0.243070	0.537301	
18000	-47.557117	8	19.363285	2.162640	0.715246	3.799720	0.154607	0.345392	0.154607	0.345393	
19000	-51.863611	19	8.619849	0.510589	7.253899	5.453096	0.248209	0.244248	0.255813	0.251730	
20000	-47.908191	36	7.480306	0.513192	0.870607	3.725209	0.176856	0.302891	0.191788	0.328465	
21000	-46.571070	17	19.790570	1.831921	0.365536	2.103082	0.171139	0.328867	0.171135	0.328859	
22000	-47.791323	8	16.295534	1.131231	1.043052	2.868235	0.214158	0.286016	0.214009	0.285817	
23000	-48.734662	23	9.501172	0.628226	1.347740	0.083886	0.498739	0.001022	0.499216	0.001023	
24000	-45.762174	46	9.669810	1.111048	0.077852	2.522236	0.046139	0.449480	0.046955	0.457426	
25000	-47.714266	32	6.232279	0.851099	3.017895	4.388776	0.230530	0.219415	0.281821	0.268234	
26000	-48.539913	38	8.481079	0.743953	3.263027	5.401229	0.245464	0.248299	0.251665	0.254572	
27000	-50.759534	33	19.840329	1.946470	3.542545	2.933292	0.284497	0.215504	0.284496	0.215503	
28000	-48.385742	47	11.551146	0.740726	0.006107	4.743445	0.002818	0.498065	0.002808	0.496308	
29000	-48.010706	85	28.450407	6.233929	0.437843	3.209010	0.142257	0.357743	0.142257	0.357743	
30000	-49.417022	46	10.390204	2.506096	2.658993	2.641687	0.299130	0.198892	0.301506	0.200472	
31000	-47.985512	39	11.616640	0.641062	0.388144	4.254031	0.108803	0.394001	0.107590	0.389606	
32000	-48.234963	59	0.832196	0.427481	0.906465	2.347929	0.026087	0.028844	0.448821	0.496248	
33000	-51.642205	56	6.868901	2.143842	2.992730	4.478618	0.242406	0.241837	0.258181	0.257575	
34000	-48.805932	17	24.701102	3.686209	3.490768	5.476811	0.248174	0.251826	0.248174	0.251826	
35000	-44.974704	61	10.345851	0.954651	0.002150	3.502841	0.000779	0.495635	0.000791	0.502795	
36000	-47.648596	96	10.781543	0.837434	0.931376	4.366119	0.169429	0.328733	0.170680	0.331158	
37000	-50.832777	98	12.106663	0.601577	5.599094	6.233250	0.252918	0.250600	0.249384	0.247099	
38000	-47.904874	43	8.164449	1.467314	0.119497	2.838532	0.051552	0.436338	0.054112	0.457998	
39000	-46.801836	35	32.035920	4.172956	1.777601	0.548473	0.478702	0.021298	0.478702	0.021298	
40000	-47.590276	81	15.555554	0.921804	1.572934	0.384587	0.485245	0.014953	0.484862	0.014941	
41000	-48.527502	40	16.158639	2.600270	1.978272	1.588236	0.391614	0.108336	0.391692	0.108358	
42000	-46.274883	61	5.097706	0.886912	0.998139	2.412262	0.183008	0.229133	0.261034	0.326825	
43000	-47.153218	17	9.346430	1.309104	2.312674	1.562109	0.395148	0.094879	0.411232	0.098741	
44000	-48.696409	2	17.581031	2.464589	2.638244	4.245168	0.248623	0.251363	0.248637	0.251378	
45000	-49.121035	81	10.437665	0.586486	3.232236	5.370582	0.248948	0.251904	0.248101	0.251047	
46000	-49.709141	37	24.479847	1.684421	3.093780	5.007959	0.248313	0.251687	0.248313	0.251687	
47000	-49.673981	58	17.369495	2.633211	2.867082	2.451497	0.311030	0.188959	0.311043	0.188967	
48000	-45.325394	61	19.529199	2.078487	0.013883	3.469101	0.005022	0.494980	0.005022	0.494976	
49000	-47.743215	57	36.110021	7.795974	0.430274	3.882189	0.148435	0.351565	0.148435	0.351565	
50000	-47.785578	14	19.544830	2.472434	2.165206	1.012123	0.412132	0.087868	0.412133	0.087868	
51000	-47.478785	6	28.420749	2.819645	0.202567	2.407619	0.101082	0.398918	0.101082	0.398918	
52000	-46.493629	44	7.203006	0.741806	2.076877	1.560380	0.359308	0.125416	0.381956	0.133321	
53000	-49.243936	44	7.388136	0.721187	2.936607	6.700284	0.239765	0.246850	0.252955	0.260429	
54000	-48.923666	36	2.001602	0.522763	0.965341	2.074751	0.128892	0.080367	0.487052	0.303690	
55000	-48.065166	21	34.983001	4.025497	2.447937	0.457962	0.489117	0.010883	0.489117	0.010883	
56000	-51.645558	9	26.089131	0.630720	1.997528	4.486616	0.236414	0.263586	0.236414	0.263586	
57000	-48.775285	81	8.239465	1.061167	3.517371	5.045268	0.246263	0.243669	0.256384	0.253683	
