"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"36","p_morgan1871miemacmikm1235-mF-1","mikm1235","mF","nǔch","m","F",NA,NA,NA
"37","p_morgan1871miemacmikm1235-mM-1","mikm1235","mM","nee-cristʼ","m","M",NA,NA,NA
"38","p_morgan1871moheganmohe1244-mF-1","mohe1244","mF","nohˑ","m","F",NA,NA,NA
"39","p_morgan1871moheganmohe1244-mM-1","mohe1244","mM","neeʼ-goos","m","M",NA,NA,NA
"40","p_morgan1871munseemuns1251-mF-1","muns1251","mF","na-noʼ-uh","m","F",NA,NA,NA
"41","p_morgan1871munseemuns1251-mM-1","muns1251","mM","n'-gäʼ-hase","m","M",NA,NA,NA
"42","p_morgan1871ojibwakansasojib1241-mF-1","ojib1241","mF","noss","m","F",NA,NA,NA
"43","p_morgan1871ojibwakansasojib1241-mM-1","ojib1241","mM","ne-gä-shaʼ","m","M",NA,NA,NA
"44","p_morgan1871ojibwalakehuronojib1241-mF-1","ojib1241","mF","noss","m","F",NA,NA,NA
"45","p_morgan1871ojibwalakehuronojib1241-mM-1","ojib1241","mM","nin-gahʼ","m","M",NA,NA,NA
"46","p_morgan1871ojibwalakemichiganuppe1274-mF-1","uppe1274","mF","noʼ-sa","m","F",NA,NA,NA
"47","p_morgan1871ojibwalakemichiganuppe1274-mM-1","uppe1274","mM","ninʼ-gah","m","M",NA,NA,NA
"48","p_morgan1871ojibwalakesuperiorojib1241-mF-1","ojib1241","mF","nǒss","m","F",NA,NA,NA
"49","p_morgan1871ojibwalakesuperiorojib1241-mM-1","ojib1241","mM","ninʼ-gah","m","M",NA,NA,NA
"50","p_morgan1871ottawaotawaotta1242-mF-1","otta1242","mF","noss","m","F",NA,NA,NA
"51","p_morgan1871ottawaotawaotta1242-mM-1","otta1242","mM","n'-gusʼ-sheh","m","M",NA,NA,NA
"52","p_morgan1871peoriapeor1238-mF-1","peor1238","mF","no-säʼ","m","F",NA,NA,NA
"53","p_morgan1871peoriapeor1238-mM-1","peor1238","mM","nin̤-ge-ahʼ","m","M",NA,NA,NA
"54","p_morgan1871pianeshawmiam1252-mF-1","miam1252","mF","no-säʼ","m","F",NA,NA,NA
"55","p_morgan1871pianeshawmiam1252-mM-1","miam1252","mM","nin̤-ge-ahʼ","m","M",NA,NA,NA
"56","p_morgan1871piegansiksikapieganblackfootpieg1239-mF-1","pieg1239","mF","nin","m","F",NA,NA,NA
"57","p_morgan1871piegansiksikapieganblackfootpieg1239-mM-1","pieg1239","mM","naʼ-nä","m","M",NA,NA,NA
"58","p_morgan1871plainscreecreeoftheprairieplai1258-mF-1","plai1258","mF","nohˑ-täʼ-we","m","F",NA,NA,NA
"59","p_morgan1871plainscreecreeoftheprairieplai1258-mM-1","plai1258","mM","n'-gäʼ-we","m","M",NA,NA,NA
"60","p_morgan1871potawatomipotawattamiepota1247-mF-1","pota1247","mF","noss","m","F",NA,NA,NA
"61","p_morgan1871potawatomipotawattamiepota1247-mM-1","pota1247","mM","n'-gehʼ","m","M",NA,NA,NA
"62","p_morgan1871sawkandfoxmesk1242-mF-1","mesk1242","mF","noss","m","F",NA,NA,NA
"63","p_morgan1871sawkandfoxmesk1242-mM-1","mesk1242","mM","nǎ-ke-͡aʼ","m","M",NA,NA,NA
"64","p_morgan1871shawneeshaw1249-mF-1","shaw1249","mF","no-thäʼ","m","F",NA,NA,NA
"65","p_morgan1871shawneeshaw1249-mM-1","shaw1249","mM","no-thäʼ","m","M",NA,NA,NA
"66","p_morgan1871shiyanchey1247-mM-1","chey1247","mM","nǎʼ-ko","m","M",NA,NA,NA
"67","p_morgan1871shiyanchey1247-mF-1","chey1247","mF","nǎ-oʼ-a","m","F",NA,NA,NA
"68","p_morgan1871weawnucl1653-mF-1","nucl1653","mF","noʼ-säʼ","m","F",NA,NA,NA
"69","p_morgan1871weawnucl1653-mM-1","nucl1653","mM","ne-ge-ahʼ","m","M",NA,NA,NA
"70","p_morgan1871woodscreecreeofthewoodswood1236-mF-1","wood1236","mF","nohˑ-täʼ-we","m","F",NA,NA,NA
"71","p_morgan1871woodscreecreeofthewoodswood1236-mM-1","wood1236","mM","n'-gäʼ-we","m","M",NA,NA,NA
"72","v_northernojibwanort2961-mF-1","nort2961","mF","nidada","m","F",NA,NA,NA
"73","v_northernojibwanort2961-mM-1","nort2961","mM","nimama","m","M",NA,NA,NA
"74","v_ottowaojibwaotta1242-mF-1","otta1242","mF","noss","m","F",NA,NA,NA
"75","v_ottowaojibwaotta1242-mF-2","otta1242","mF","nin baba","m","F",NA,NA,NA
"76","v_ottowaojibwaotta1242-mF-3","otta1242","mF","nin dede","m","F",NA,NA,NA
"77","v_ottowaojibwaotta1242-mM-1","otta1242","mM","ninga","m","M",NA,NA,NA
