"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"955","p_neveeivinm1237a-mM-1","vinm1237","mM","nang","m","M",NA,NA,NA
"956","p_neververling1265-mF-1","ling1265","mF","mama","m","F",NA,NA,NA
"957","p_neververling1265-mM-1","ling1265","mM","nida","m","M",NA,NA,NA
"958","p_ngunangun1274-mF-1","ngun1274","mF","mama","m","F",NA,NA,NA
"959","p_ngunangun1274-mM-1","ngun1274","mM","tétè","m","M",NA,NA,NA
"960","p_niuafoouniua1240-mF-1","niua1240","mF","tamai","m","F",NA,NA,NA
"961","p_niuafoouniua1240-mM-1","niua1240","mM","fa'ee","m","M",NA,NA,NA
"962","p_niueniue1239-mF-1","niue1239","mF","matua tane","m","F",NA,NA,NA
"963","p_niueniue1239-mM-1","niue1239","mM","matua fifine","m","M",NA,NA,NA
"964","v_niueansniue1239-mF-1","niue1239","mF","matua tane","m","F",NA,NA,NA
"965","v_niueansniue1239-mM-1","niue1239","mM","matua fifine","m","M",NA,NA,NA
"966","p_northambrymnort2839-mF-1","nort2839","mF","teta","m","F",NA,NA,NA
"967","p_northambrymnort2839-mM-1","nort2839","mM","ina","m","M",NA,NA,NA
"968","p_northefatengunanakanamanganort2836-mF-1","nort2836","mF","mama","m","F",NA,NA,NA
"969","p_northefatengunanakanamanganort2836-mM-1","nort2836","mM","tete","m","M",NA,NA,NA
"970","v_northmarquesannort2845-mF-1","nort2845","mF","motua","m","F",NA,NA,NA
"971","p_northtannanort2847-mF-1","nort2847","mF","tɨm","m","F",NA,NA,NA
"972","p_northtannanort2847-mM-1","nort2847","mM","itə","m","M",NA,NA,NA
"973","p_numbaminumb1247-mF-1","numb1247","mF","tama","m","F",NA,NA,NA
"974","p_numbaminumb1247-mF-2","numb1247","mF","mama","m","F",NA,NA,NA
"975","p_numbaminumb1247-mM-1","numb1247","mM","tina","m","M",NA,NA,NA
"976","p_numbaminumb1247-mM-2","numb1247","mM","awa","m","M",NA,NA,NA
"977","p_olalolal1237-mF-1","olal1237","mF","tete","m","F",NA,NA,NA
"978","p_olalolal1237-mM-1","olal1237","mM","erahing","m","M",NA,NA,NA
"979","p_oldraparaparapa1245-mF-1","rapa1245","mF","metuua taane","m","F",NA,NA,NA
"980","p_oldraparaparapa1245-mF-2","rapa1245","mF","paapaa","m","F",NA,NA,NA
"981","p_oldraparaparapa1245-mM-1","rapa1245","mM","metuua vahine","m","M",NA,NA,NA
"982","p_oldraparaparapa1245-mM-2","rapa1245","mM","maamaa","m","M",NA,NA,NA
"983","v_ontongjavaonto1237-mF-1","onto1237","mF","kamaŋa","m","F",NA,NA,NA
"984","v_ontongjavaonto1237-mM-1","onto1237","mM","kiŋa","m","M",NA,NA,NA
"985","p_owasantaanaowaa1237-mF-1","owaa1237","mF","emana","m","F",NA,NA,NA
"986","p_owasantaanaowaa1237-mM-1","owaa1237","mM","enana","m","M",NA,NA,NA
"987","p_owasantaanaowaa1237-mM-2","owaa1237","mM","nana","m","M",NA,NA,NA
"988","p_padoepado1242-mF-1","pado1242","mF","uma","m","F",NA,NA,NA
"989","p_padoepado1242-mM-1","pado1242","mM","ine","m","M",NA,NA,NA
"990","p_paicipaic1239-mF-1","paic1239","mF","caa","m","F",NA,NA,NA
"991","p_paicipaic1239-mM-1","paic1239","mM","nyââ","m","M",NA,NA,NA
"992","p_paiwanpaiw1248-mF-1","paiw1248","mF","kama","m","F",NA,NA,NA
"993","p_paiwanpaiw1248-mM-1","paiw1248","mM","kina","m","M",NA,NA,NA
"994","p_palauanpala1344-mF-1","pala1344","mF","chadám","m","F",NA,NA,NA
"995","p_palauanpala1344-mF-2","pala1344","mF","uadám","m","F",NA,NA,NA
"996","p_palauanpala1344-mM-1","pala1344","mM","chadíl","m","M",NA,NA,NA
"997","p_palauanpala1344-mM-2","pala1344","mM","uadíl","m","M",NA,NA,NA
"998","p_paluaibalu1257-mF-1","balu1257","mF","tama","m","F",NA,NA,NA
"999","p_paluaibalu1257-mM-1","balu1257","mM","tina","m","M",NA,NA,NA
"1000","p_pamapaamanesepaam1238-mF-1","paam1238","mF","itet","m","F",NA,NA,NA
"1001","p_pamapaamanesepaam1238-mF-2","paam1238","mF","tāta","m","F",NA,NA,NA
"1002","p_pamapaamanesepaam1238-mF-3","paam1238","mF","tamen","m","F",NA,NA,NA
"1003","p_pamapaamanesepaam1238-mF-4","paam1238","mF","ulmatu","m","F",NA,NA,NA
"1004","p_pamapaamanesepaam1238-mM-1","paam1238","mM","itau","m","M",NA,NA,NA
"1005","p_pamapaamanesepaam1238-mM-2","paam1238","mM","māma","m","M",NA,NA,NA
"1006","p_pamapaamanesepaam1238-mM-3","paam1238","mM","latin","m","M",NA,NA,NA
"1007","p_pamapaamanesepaam1238-mM-4","paam1238","mM","nāna","m","M",NA,NA,NA
"1008","p_pampangakampampanganpamp1243-mF-1","pamp1243","mF","tatá","m","F",NA,NA,NA
"1009","p_pampangakampampanganpamp1243-mF-2","pamp1243","mF","ibpá ó táta","m","F",NA,NA,NA
"1010","p_pampangakampampanganpamp1243-mM-1","pamp1243","mM","indá","m","M",NA,NA,NA
"1011","p_pangasinanpang1290-mF-1","pang1290","mF","ama","m","F",NA,NA,NA
"1012","p_pangasinanpang1290-mM-1","pang1290","mM","ina","m","M",NA,NA,NA
"1013","p_patanipata1260-mF-1","pata1260","mF","mama","m","F",NA,NA,NA
"1014","p_patanipata1260-mM-1","pata1260","mM","nene","m","M",NA,NA,NA
"1015","p_pendaupend1242-mF-1","pend1242","mF","siama","m","F",NA,NA,NA
"1016","p_pendaupend1242-mM-1","pend1242","mM","sina","m","M",NA,NA,NA
"1017","p_pendaupend1242-mM-2","pend1242","mM","siina -nyo","m","M",NA,NA,NA
"1018","p_penrhyntongarevapenr1237-mF-1","penr1237","mF","tira","m","F",NA,NA,NA
"1019","p_penrhyntongarevapenr1237-mM-1","penr1237","mM","papa","m","M",NA,NA,NA
"1020","p_petapatajetaje1237a-mF-1","taje1237","mF","siama","m","F",NA,NA,NA
"1021","p_petapatajetaje1237a-mF-2","taje1237","mF","siuma","m","F",NA,NA,NA
"1022","p_petapatajetaje1237a-mM-1","taje1237","mM","siina","m","M",NA,NA,NA
"1023","p_pohnpeianpohn1238-mF-1","pohn1238","mF","pahpa","m","F",NA,NA,NA
"1024","p_pohnpeianpohn1238-mF-2","pohn1238","mF","sahm","m","F",NA,NA,NA
"1025","p_pohnpeianpohn1238-mF-3","pohn1238","mF","ipa","m","F",NA,NA,NA
"1026","p_pohnpeianpohn1238-mM-1","pohn1238","mM","ihn","m","M",NA,NA,NA
"1027","p_pohnpeianpohn1238-mM-2","pohn1238","mM","nohno","m","M",NA,NA,NA
"1028","p_pohnpeianpohn1238-mM-3","pohn1238","mM","ino","m","M",NA,NA,NA
"1029","p_pohnpeianpohn1238a-mF-1","pohn1238","mF","pahpa","m","F",NA,NA,NA
"1030","p_pohnpeianpohn1238a-mF-2","pohn1238","mF","sahm","m","F",NA,NA,NA
"1031","p_pohnpeianpohn1238a-mM-1","pohn1238","mM","ihn","m","M",NA,NA,NA
"1032","p_pohnpeianpohn1238a-mM-2","pohn1238","mM","nohno","m","M",NA,NA,NA
"1033","p_portsandwichport1285-mF-1","port1285","mF","ita","m","F",NA,NA,NA
"1034","p_portsandwichport1285-mF-2","port1285","mF","tata","m","F",NA,NA,NA
"1035","p_portsandwichport1285-mF-3","port1285","mF","raman","m","F",NA,NA,NA
"1036","p_portsandwichport1285-mM-1","port1285","mM","ina","m","M",NA,NA,NA
"1037","p_portsandwichport1285-mM-2","port1285","mM","nana","m","M",NA,NA,NA
"1038","p_protooceanicocea1241-mF-1","ocea1241","mF","tama-","m","F",NA,NA,NA
"1039","p_protooceanicocea1241-mM-1","ocea1241","mM","tina-","m","M",NA,NA,NA
"1040","p_pukapukapuka1242-mF-1","puka1242","mF","matua tane","m","F",NA,NA,NA
"1041","p_pukapukapuka1242-mM-1","puka1242","mM","matua wawine","m","M",NA,NA,NA
"1042","p_puluwatesepuluwatpulu1242-mF-1","pulu1242","mF","haam","m","F",NA,NA,NA
"1043","p_puluwatesepuluwatpulu1242-mM-1","pulu1242","mM","yiin","m","M",NA,NA,NA
"1044","v_puyumapuyu1239-mF-1","puyu1239","mF","ama","m","F",NA,NA,NA
"1045","v_puyumapuyu1239-mM-1","puyu1239","mM","ina","m","M",NA,NA,NA
"1046","v_puyumapuyu1239-mM-2","puyu1239","mM","taina","m","M",NA,NA,NA
"1047","p_raderhaderade1240-mF-1","rade1240","mF","ama","m","F",NA,NA,NA
"1048","p_raderhaderade1240-mM-1","rade1240","mM","amǐ","m","M",NA,NA,NA
"1049","p_ragahanohano1246-mF-1","hano1246","mF","tama","m","F",NA,NA,NA
"1050","p_ragahanohano1246-mM-1","hano1246","mM","ratahi","m","M",NA,NA,NA
"1051","p_ragahanothomasenneverhano1246b-mF-1","hano1246","mF","tata","m","F",NA,NA,NA
"1052","p_ragahanothomasenneverhano1246b-mM-1","hano1246","mM","mʷua","m","M",NA,NA,NA
"1053","p_rahambuuraha1237-mF-1","raha1237","mF","ama","m","F",NA,NA,NA
"1054","p_rahambuuraha1237-mM-1","raha1237","mM","ina","m","M",NA,NA,NA
"1055","p_rakahangamanihikiraka1237-mF-1","raka1237","mF","metua-tane","m","F",NA,NA,NA
"1056","p_rakahangamanihikiraka1237-mM-1","raka1237","mM","metua-wahine","m","M",NA,NA,NA
"1057","p_rangioranwtuamotustuam1242-mF-1","tuam1242","mF","metua taane","m","F",NA,NA,NA
"1058","p_rangioranwtuamotustuam1242-mF-2","tuam1242","mF","paapaa","m","F",NA,NA,NA
"1059","p_rangioranwtuamotustuam1242-mM-1","tuam1242","mM","metua vahine","m","M",NA,NA,NA
"1060","p_rapanuieasterislandrapa1244-mF-1","rapa1244","mF","koro","m","F",NA,NA,NA
"1061","p_rapanuieasterislandrapa1244-mF-2","rapa1244","mF","matua tamaaroa","m","F",NA,NA,NA
"1062","p_rapanuieasterislandrapa1244-mM-1","rapa1244","mM","matu'a poreko","m","M",NA,NA,NA
"1063","p_rapanuieasterislandrapa1244-mM-2","rapa1244","mM","matua tamahahine","m","M",NA,NA,NA
"1064","v_raroianstuam1242-mF-1","tuam1242","mF","makui","m","F",NA,NA,NA
"1065","v_raroianstuam1242-mM-1","tuam1242","mM","makuhine","m","M",NA,NA,NA
"1066","p_rarotongancookislandsmaoriraro1241-mF-1","raro1241","mF","metua","m","F",NA,NA,NA
"1067","p_rarotongancookislandsmaoriraro1241-mM-1","raro1241","mM","māmā","m","M",NA,NA,NA
"1068","p_ratagnonrata1245-mF-1","rata1245","mF","amang","m","F",NA,NA,NA
"1069","p_ratagnonrata1245-mM-1","rata1245","mM","ináng","m","M",NA,NA,NA
"1070","p_ratagnonrata1245-mM-2","rata1245","mM","nanay","m","M",NA,NA,NA
"1071","p_rejangrejangesereja1240-mF-1","reja1240","mF","tia'","m","F",NA,NA,NA
"1072","p_rejangrejangesereja1240-mF-2","reja1240","mF","bapak","m","F",NA,NA,NA
"1073","p_rejangrejangesereja1240-mF-3","reja1240","mF","ajah","m","F",NA,NA,NA
"1074","p_rejangrejangesereja1240-mM-1","reja1240","mM","indo'","m","M",NA,NA,NA
"1075","p_rejangrejangesereja1240-mM-2","reja1240","mM","ibu","m","M",NA,NA,NA
"1076","p_rejangrejangesereja1240-mM-3","reja1240","mM","induk","m","M",NA,NA,NA
"1077","p_rejangrejangesereja1240-mM-4","reja1240","mM","emak","m","M",NA,NA,NA
"1078","p_rejangrejangesereja1240-mM-5","reja1240","mM","beé'","m","M",NA,NA,NA
"1079","v_rennellislandersrenn1242-mF-1","renn1242","mF","tamana","m","F",NA,NA,NA
"1080","v_rennellislandersrenn1242-mM-1","renn1242","mM","tinana","m","M",NA,NA,NA
"1081","p_riukbekatidayakbeka1241-mF-1","beka1241","mF","amak","m","F",NA,NA,NA
"1082","p_riukbekatidayakbeka1241-mF-2","beka1241","mF","mak","m","F",NA,NA,NA
"1083","p_riukbekatidayakbeka1241-mM-1","beka1241","mM","induk","m","M",NA,NA,NA
"1084","p_riukbekatidayakbeka1241-mM-2","beka1241","mM","innuk","m","M",NA,NA,NA
"1085","p_riukbekatidayakbeka1241-mM-3","beka1241","mM","nuk","m","M",NA,NA,NA
"1086","v_rotinesetermanuterm1237-mF-1","term1237","mF","amak","m","F",NA,NA,NA
"1087","v_rotinesetermanuterm1237-mM-1","term1237","mM","ina","m","M",NA,NA,NA
"1088","p_rotumanrotu1241-mF-1","rotu1241","mF","'oto o' i ia","m","F",NA,NA,NA
"1089","p_rotumanrotu1241-mM-1","rotu1241","mM","'oto o' hani ia","m","M",NA,NA,NA
"1090","v_rotumansrotu1241-mF-1","rotu1241","mF","oifā","m","F",NA,NA,NA
"1091","v_rotumansrotu1241-mM-1","rotu1241","mM","oihon'i","m","M",NA,NA,NA
"1092","p_routarout1237-mF-1","rout1237","mF","oˀua","m","F",NA,NA,NA
"1093","p_routarout1237-mM-1","rout1237","mM","indo","m","M",NA,NA,NA
"1094","p_rovianarovi1238-mF-1","rovi1238","mF","tama-na","m","F",NA,NA,NA
"1095","p_rovianarovi1238-mM-1","rovi1238","mM","tina-na","m","M",NA,NA,NA
"1096","v_saasaaa1240-mF-1","saaa1240","mF","ama-","m","F",NA,NA,NA
"1097","v_saasaaa1240-mF-2","saaa1240","mF","ma'a","m","F",NA,NA,NA
"1098","v_saasaaa1240-mM-1","saaa1240","mM","nike","m","M",NA,NA,NA
"1099","v_saasaaa1240-mM-2","saaa1240","mM","teitei","m","M",NA,NA,NA
"1100","p_sasaaa1241-mF-1","saaa1241","mF","temak","m","F",NA,NA,NA
"1101","p_sasaaa1241-mM-1","saaa1241","mM","dasik","m","M",NA,NA,NA
"1102","p_saaroasaar1237-mF-1","saar1237","mF","ama'a","m","F",NA,NA,NA
"1103","p_saaroasaar1237-mM-1","saar1237","mM","ina'a","m","M",NA,NA,NA
"1104","v_samoansamo1305-mF-1","samo1305","mF","tamā","m","F",NA,NA,NA
"1105","v_samoansamo1305-mM-1","samo1305","mM","tinā","m","M",NA,NA,NA
"1106","v_samoansamo1305-mF-2","samo1305","mF","tamā","m","F",NA,NA,NA
"1107","p_samoansamo1305a-mF-1","samo1305","mF","tamaa","m","F",NA,NA,NA
"1108","p_samoansamo1305a-mM-1","samo1305","mM","tinaa","m","M",NA,NA,NA
"1109","p_saranganiblaansara1326-mF-1","sara1326","mF","maq","m","F",NA,NA,NA
"1110","p_saranganiblaansara1326-mM-1","sara1326","mM","yéq","m","M",NA,NA,NA
"1111","p_satawalesesata1237-mF-1","sata1237","mF","saam","m","F",NA,NA,NA
"1112","p_satawalesesata1237-mF-2","sata1237","mF","semei","m","F",NA,NA,NA
"1113","p_satawalesesata1237-mM-1","sata1237","mM","iin","m","M",NA,NA,NA
"1114","p_satawalesesata1237-mM-2","sata1237","mM","in","m","M",NA,NA,NA
"1115","p_sawaisawa1247-mF-1","sawa1247","mF","mama","m","F",NA,NA,NA
"1116","p_sawaisawa1247-mM-1","sawa1247","mM","nene","m","M",NA,NA,NA
"1117","p_sekeskeseke1241-mF-1","seke1241","mF","zmia","m","F",NA,NA,NA
"1118","p_sekeskeseke1241-mM-1","seke1241","mM","dahe","m","M",NA,NA,NA
"1119","p_senbareiunua1237-mF-1","unua1237","mF","tomongk","m","F",NA,NA,NA
"1120","p_senbareiunua1237-mM-1","unua1237","mM","resyongk","m","M",NA,NA,NA
"1121","p_siesyesiee1239-mF-1","siee1239","mF","etmen","m","F",NA,NA,NA
"1122","p_siesyesiee1239-mF-2","siee1239","mF","itmen","m","F",NA,NA,NA
"1123","p_siesyesiee1239-mF-3","siee1239","mF","nate","m","F",NA,NA,NA
"1124","p_siesyesiee1239-mF-4","siee1239","mF","papa","m","F",NA,NA,NA
"1125","p_siesyesiee1239-mM-1","siee1239","mM","mama","m","M",NA,NA,NA
"1126","p_siesyesiee1239-mM-2","siee1239","mM","namou","m","M",NA,NA,NA
"1127","p_siesyesiee1239-mM-3","siee1239","mM","ndinme","m","M",NA,NA,NA
"1128","p_sikasika1262-mF-1","sika1262","mF","ama","m","F",NA,NA,NA
"1129","p_sikasika1262-mM-1","sika1262","mM","ina","m","M",NA,NA,NA
"1130","p_sikaianasika1261-mF-1","sika1261","mF","tamana","m","F",NA,NA,NA
"1131","p_sikaianasika1261-mM-1","sika1261","mM","tinna","m","M",NA,NA,NA
"1132","p_sonsorolsons1242-mF-1","sons1242","mF","tama-i","m","F",NA,NA,NA
"1133","p_sonsorolsons1242-mF-2","sons1242","mF","papa-i","m","F",NA,NA,NA
"1134","p_sonsorolsons1242-mM-1","sons1242","mM","neira-i","m","M",NA,NA,NA
"1135","p_sonsorolsons1242-mM-2","sons1242","mM","di-n","m","M",NA,NA,NA
"1136","p_southefatesout2856a-mF-1","sout2856","mF","apap","m","F",NA,NA,NA
"1137","p_southefatesout2856a-mF-2","sout2856","mF","gka","m","F",NA,NA,NA
"1138","p_southefatesout2856a-mF-3","sout2856","mF","tat","m","F",NA,NA,NA
"1139","p_southefatesout2856a-mM-1","sout2856","mM","iak","m","M",NA,NA,NA
"1140","v_southmarquesansout2866-mF-1","sout2866","mF","motua","m","F",NA,NA,NA
"1141","v_southmarquesansout2866-mM-1","sout2866","mM","kui","m","M",NA,NA,NA
"1142","p_southtuvaluanvaitupusout2865-mF-1","sout2865","mF","tamana","m","F",NA,NA,NA
"1143","p_southtuvaluanvaitupusout2865-mM-1","sout2865","mM","matua","m","M",NA,NA,NA
"1144","p_southeastambrymsout2859-mF-1","sout2859","mF","tame","m","F",NA,NA,NA
"1145","p_southeastambrymsout2859-mM-1","sout2859","mM","nine","m","M",NA,NA,NA
"1146","p_southeastbabarsout2883-mF-1","sout2883","mF","oi'mal","m","F",NA,NA,NA
"1147","p_southeastbabarsout2883-mM-1","sout2883","mM","'rɛl","m","M",NA,NA,NA
"1148","p_southwesttannasout2869-mF-1","sout2869","mF","rɨm","m","F",NA,NA,NA
"1149","p_southwesttannasout2869-mM-1","sout2869","mM","nɨsɨn","m","M",NA,NA,NA
"1150","p_sulafagudusula1245-mF-1","sula1245","mF","bàba","m","F",NA,NA,NA
"1151","p_sulafagudusula1245-mM-1","sula1245","mM","jaja","m","M",NA,NA,NA
"1152","p_sulamangolimang1408-mM-1","mang1408","mM","ja","m","M",NA,NA,NA
"1153","p_sundanesesund1252-mF-1","sund1252","mF","abah","m","F",NA,NA,NA
"1154","p_sundanesesund1252-mM-1","sund1252","mM","emak","m","M",NA,NA,NA
"1155","p_sungagagemari1426i-mF-1","mari1426","mF","tata","m","F",NA,NA,NA
"1156","p_sungagagemari1426i-mM-1","mari1426","mM","ᵐbou","m","M",NA,NA,NA
"1157","p_sungwadagamari1426b-mF-1","mari1426","mF","tata","m","F",NA,NA,NA
"1158","p_sungwadagamari1426b-mM-1","mari1426","mM","ᵑgʷau","m","M",NA,NA,NA
"1159","p_sungwadiamari1426a-mF-1","mari1426","mF","ˈtata","m","F",NA,NA,NA
"1160","p_sungwadiamari1426a-mM-1","mari1426","mM","ˈɸeβe","m","M",NA,NA,NA
"1161","p_sungwalogenalembaedwardmari1426g-mF-1","mari1426","mF","tata","m","F",NA,NA,NA
"1162","p_sungwalogenalembaedwardmari1426g-mM-1","mari1426","mM","ᵐbotai","m","M",NA,NA,NA
"1163","p_sungwalogenalembasimeonetarimari1426f-mF-1","mari1426","mF","tata","m","F",NA,NA,NA
"1164","p_sungwalogenalembasimeonetarimari1426f-mM-1","mari1426","mM","ᵐbotai","m","M",NA,NA,NA
"1165","p_sungwalogenavenvenemari1426d-mF-1","mari1426","mF","tata","m","F",NA,NA,NA
"1166","p_sungwalogenavenvenemari1426d-mM-1","mari1426","mM","tai","m","M",NA,NA,NA
"1167","p_sungwalogetautamari1426e-mF-1","mari1426","mF","tata","m","F",NA,NA,NA
"1168","p_sungwalogetautamari1426e-mM-1","mari1426","mM","ᵐbʷau","m","M",NA,NA,NA
"1169","p_sungwalogetawetmari1426c-mF-1","mari1426","mF","ˈtata","m","F",NA,NA,NA
"1170","p_sungwalogetawetmari1426c-mM-1","mari1426","mM","ˈᵐbʷau","m","M",NA,NA,NA
"1171","p_sunwadiamari1426-mF-1","mari1426","mF","tama-i","m","F",NA,NA,NA
"1172","p_sunwadiamari1426-mM-1","mari1426","mM","rave-i","m","M",NA,NA,NA
"1173","p_tadyawantady1237-mF-1","tady1237","mF","amang","m","F",NA,NA,NA
"1174","p_tadyawantady1237-mM-1","tady1237","mM","ináng","m","M",NA,NA,NA
"1175","p_tagalogtaga1270-mF-1","taga1270","mF","ama","m","F",NA,NA,NA
"1176","p_tahitiantahi1242-mF-1","tahi1242","mF","metua tane","m","F",NA,NA,NA
"1177","p_tahitiantahi1242-mM-1","tahi1242","mM","metua vahine","m","M",NA,NA,NA
"1178","v_tahitianstahi1242-mF-1","tahi1242","mF","metua tane","m","F",NA,NA,NA
"1179","v_tahitianstahi1242-mM-1","tahi1242","mM","metua vahine","m","M",NA,NA,NA
"1180","p_tajiotaji1246-mF-1","taji1246","mF","siama","m","F",NA,NA,NA
"1181","p_tajiotaji1246-mM-1","taji1246","mM","siina","m","M",NA,NA,NA
"1182","p_takiataki1248-mF-1","taki1248","mF","tama-","m","F",NA,NA,NA
"1183","p_takiataki1248-mM-1","taki1248","mM","tna-","m","M",NA,NA,NA
"1184","p_takuutaku1257-mF-1","taku1257","mF","tamana","m","F",NA,NA,NA
"1185","p_takuutaku1257-mF-2","taku1257","mF","aapaa","m","F",NA,NA,NA
"1186","p_takuutaku1257-mM-1","taku1257","mM","tinna","m","M",NA,NA,NA
"1187","p_talibabutali1262-mF-1","tali1262","mF","nama","m","F",NA,NA,NA
"1188","p_talibabutali1262-mM-1","tali1262","mM","mīna","m","M",NA,NA,NA
"1189","p_talibabutali1262-mM-2","tali1262","mM","nīna","m","M",NA,NA,NA
"1190","p_talibabutali1262-mM-3","tali1262","mM","īna","m","M",NA,NA,NA
"1191","p_talisetolotali1259-mF-1","tali1259","mF","kaka","m","F",NA,NA,NA
"1192","p_talisetolotali1259-mF-2","tali1259","mF","tamana","m","F",NA,NA,NA
"1193","p_talisetolotali1259-mM-1","tali1259","mM","lake","m","M",NA,NA,NA
"1194","p_talisetolotali1259-mM-2","tali1259","mM","nana","m","M",NA,NA,NA
"1195","p_tamambomalo1243-mF-1","malo1243","mF","tama","m","F",NA,NA,NA
"1196","p_tamambomalo1243-mM-1","malo1243","mM","tina","m","M",NA,NA,NA
"1197","v_tanalatana1285-mF-1","tana1285","mF","baba","m","F",NA,NA,NA
"1198","p_tanampedagitajetaje1237b-mF-1","taje1237","mF","siama","m","F",NA,NA,NA
"1199","p_tanampedagitajetaje1237b-mM-1","taje1237","mM","sina","m","M",NA,NA,NA
"1200","p_tanampedagitajetaje1237b-mM-2","taje1237","mM","siina -nyo","m","M",NA,NA,NA
"1201","p_tangoamovonotang1347-mF-1","tang1347","mF","tama","m","F",NA,NA,NA
"1202","p_tangoamovonotang1347-mM-1","tang1347","mM","tina","m","M",NA,NA,NA
"1203","p_tasikotasi1237-mF-1","tasi1237","mF","arima","m","F",NA,NA,NA
"1204","p_tasikotasi1237-mM-1","tasi1237","mM","ane","m","M",NA,NA,NA
"1205","p_taumakotaum1237-mF-1","taum1237","mF","hama","m","F",NA,NA,NA
"1206","p_taumakotaum1237-mM-1","taum1237","mM","hina","m","M",NA,NA,NA
"1207","p_tausugsulumorotaus1251-mF-1","taus1251","mF","ama","m","F",NA,NA,NA
"1208","p_tausugsulumorotaus1251-mM-1","taus1251","mM","ina","m","M",NA,NA,NA
"1209","p_tausugtaus1251a-mF-1","taus1251","mF","ama'","m","F",NA,NA,NA
"1210","p_tausugtaus1251a-mM-1","taus1251","mM","ina'","m","M",NA,NA,NA
"1211","p_tetumtetuntetu1245-mF-1","tetu1245","mF","pai","m","F",NA,NA,NA
"1212","p_tetumtetuntetu1245-mM-1","tetu1245","mM","inan","m","M",NA,NA,NA
"1213","p_tetumtetuntetu1245-mM-2","tetu1245","mM","ina","m","M",NA,NA,NA
"1214","p_tetumtetuntetu1245-mM-3","tetu1245","mM","mai","m","M",NA,NA,NA
"1215","p_tetundilitetumtetu1246-mF-1","tetu1246","mF","aman","m","F",NA,NA,NA
"1216","p_tetundilitetumtetu1246-mF-2","tetu1246","mF","aman rasik","m","F",NA,NA,NA
"1217","p_tetundilitetumtetu1246-mM-1","tetu1246","mM","inan","m","M",NA,NA,NA
"1218","p_tetundilitetumtetu1246-mM-2","tetu1246","mM","inan rasik","m","M",NA,NA,NA
"1219","p_thaothao1240-mF-1","thao1240","mF","ama","m","F",NA,NA,NA
"1220","p_thaothao1240-mM-1","thao1240","mM","ina","m","M",NA,NA,NA
"1221","p_tialetial1239-mF-1","tial1239","mF","tama","m","F",NA,NA,NA
"1222","p_tialetial1239-mM-1","tial1239","mM","tama","m","M",NA,NA,NA
"1223","p_tialotominitomi1243-mF-1","tomi1243","mF","siama -nyo","m","F",NA,NA,NA
"1224","p_tialotominitomi1243-mM-1","tomi1243","mM","siina -nyo","m","M",NA,NA,NA
"1225","p_tigaktiga1245-mF-1","tiga1245","mF","tama-","m","F",NA,NA,NA
"1226","p_tigaktiga1245-mM-1","tiga1245","mM","na-","m","M",NA,NA,NA
"1227","v_tikopiatiko1237-mF-1","tiko1237","mF","tamana","m","F",NA,NA,NA
"1228","v_tikopiatiko1237-mM-1","tiko1237","mM","tinana","m","M",NA,NA,NA
"1229","p_tikopiatiko1237a-mF-1","tiko1237","mF","tamana","m","F",NA,NA,NA
"1230","p_tikopiatiko1237a-mM-1","tiko1237","mM","tinana","m","M",NA,NA,NA
"1231","p_tiraxmaemaee1241-mF-1","maee1241","mF","tatɛ","m","F",NA,NA,NA
"1232","p_tiraxmaemaee1241-mM-1","maee1241","mM","dede","m","M",NA,NA,NA
"1233","p_tirimeagrandcoulitiri1258-mF-1","tiri1258","mF","audẽ","m","F",NA,NA,NA
"1234","p_tirimeagrandcoulitiri1258-mM-1","tiri1258","mM","aunẽ","m","M",NA,NA,NA
"1235","v_tokelautoke1240-mF-1","toke1240","mF","tamana","m","F",NA,NA,NA
"1236","v_tokelautoke1240-mM-1","toke1240","mM","mātua","m","M",NA,NA,NA
"1237","v_tokelautoke1240-mF-2","toke1240","mF","tamana","m","F",NA,NA,NA
"1238","v_tokelautoke1240-mM-2","toke1240","mM","mātua","m","M",NA,NA,NA
"1239","p_tokelautoke1240a-mF-1","toke1240","mF","tamana","m","F",NA,NA,NA
"1240","p_tokelautoke1240a-mM-1","toke1240","mM","maatua","m","M",NA,NA,NA
"1241","p_tokotuakabaenakaba1285-mF-1","kaba1285","mF","tama","m","F",NA,NA,NA
"1242","p_tokotuakabaenakaba1285-mM-1","kaba1285","mM","tina","m","M",NA,NA,NA
"1243","p_tolakitola1247-mF-1","tola1247","mF","tama","m","F",NA,NA,NA
"1244","p_tolakitola1247-mM-1","tola1247","mM","tina","m","M",NA,NA,NA
"1245","p_tomadinotoma1248-mF-1","toma1248","mF","uma","m","F",NA,NA,NA
"1246","p_tomadinotoma1248-mM-1","toma1248","mM","ine","m","M",NA,NA,NA
"1247","p_tombulutomb1243-mF-1","tomb1243","mF","ama'","m","F",NA,NA,NA
"1248","p_tombulutomb1243-mM-1","tomb1243","mM","ina'","m","M",NA,NA,NA
"1249","p_tongatongaislandstong1325-mF-1","tong1325","mF","tamai","m","F",NA,NA,NA
"1250","p_tongatongaislandstong1325-mM-1","tong1325","mM","fa'ee","m","M",NA,NA,NA
"1251","v_tongantong1325-mF-1","tong1325","mF","tamai","m","F",NA,NA,NA
"1252","v_tongantong1325-mM-1","tong1325","mM","fa'e","m","M",NA,NA,NA
