"","ID","new_id"
"60","p_kombakomb1273-mF-1",60
"61","v_lubalulualuba1249-mM-3",61
"62","p_varisivari1239-mM-1",62
"63","v_udmurtudmu1245-mM-6",63
"64","v_finnicfinn1318-mM-1",64
"65","v_sangusang1333-mM-1",65
"66","p_kuwaruboun1245-mM-1",66
"67","v_kodikodi1247-mM-1",67
"68","v_tarahumaracent2131-mM-2",68
"69","p_dehongdeho1238-mM-1",69
"70","v_parakanapara1312-mM-1",70
"71","p_warrnamboolwarr1257-mM-1",71
"72","p_loniuloni1238-mM-1",72
"73","v_kaurnakaur1267-mM-6",73
"74","v_kukuyalanjikuku1273-mM-2",74
"75","v_ngarlumangar1287-mM-1",75
"76","v_tikopiatiko1237-mM-1",76
"77","p_wawoniiwawo1239-mM-1",77
"78","p_rovianarovi1238-mM-1",78
"79","v_southerncoastaltsimshiannucl1649-mM-2",79
"80","p_gadanggada1258-mM-1",80
"81","v_southeasterntepehuanosout2976-mM-1",81
"82","p_morgan1871hawaiianhawa1245-mM-1",82
"83","v_slovakianslov1269-mM-1",83
"84","v_russianruss1263-mM-3",84
"85","p_sungwalogenavenvenemari1426d-mM-1",85
"86","v_irishiris1253-mM-1",86
"87","v_nogainoga1249-mM-1",87
"88","p_moukmouk1240-mM-1",88
"89","v_sukusuku1259-mM-1",89
"90","v_maithilimait1250-mM-1",90
"91","v_gunyaguny1241-mM-6",91
"92","v_cupenocupe1243-mM-2",92
"93","v_itonamaiton1250-mM-1",93
"94","v_standardspanishstan1288-mM-2",94
"95","p_westfutunawest2515-mM-2",95
"96","v_hindihind1269-mM-5",96
"97","p_westcoastbajauwest2560-mM-1",97
"98","p_wangkajungawang1288-mM-2",98
"99","p_morgan1871winnebagoewinn1245-mM-1",99
"100","v_yanomamiyano1262-mM-1",100
"101","v_luisenoluis1253-mM-3",101
"102","v_highlandpueblanahuatlhigh1278-mM-1",102
"103","v_mangarevansmang1401-mM-1",103
"104","p_dobudobu1241-mM-1",104
"105","v_tokelautoke1240-mM-2",105
"106","v_wangkumarawong1246-mM-4",106
"107","p_lisulisu1250b-mM-1",107
"108","p_morgan1871punkaponc1241-mM-1",108
"109","v_wulguruwulg1239-mM-6",109
"110","p_rotokasroto1249-mM-1",110
"111","v_arabanaarab1267-mM-3",111
"112","v_arabanaarab1267-mM-2",112
"113","v_metameta1238-mM-2",113
"114","p_morgan1871burmeseburm1266-mM-2",114
"115","v_oriyaoriy1255-mM-4",115
"116","p_muduapavitumudu1242-mM-1",116
