"taxon","glottocode","xd_ids","soc_ids","ea_id","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mF","mFeB","mFyB","mMeB","mMyB","mWF","mM","mFeZ","mFyZ","mMeZ","mMyZ","mWM"
"L34_Hemba","kaon1241","","",,1,,,,,,1,"tata","mwinsho","mwinsho","mwinsho","mwinsho","bako","mama","tatankazhi","tatankazhi","mama","mama","bako"
"L35_Sanga","sang1331","xd137","Ae19","Ae19",1,6,4,15,9,5,1,"tata","tata","tata","manseva","manseva",,"ina",,,,,"ina-fyala"
"L41_Kaonde","kaon1241","xd58","Ac32","Ac32",1,1,3,2,2,5,1,"tata","mwinsho","mwinsho","mwinsho","mwinsho","bako","mama","tatankazhi","tatankazhi","mama","mama","bako"
"L52_Lunda","lund1266","xd72","Ac6","Ac6",1,1,3,1,1,5,1,"tata","tata wamukulumpi","tata wakansi","mandumi","mandumi","muku","mama","tatankaji","tatankaji","mama wamukulumpi","mama wakansi","muku"
"M13_Fipa","fipa1238","xd86","Ad19","Ad19",1,8,7,15,9,5,1,"ïtaata","ïtaata","ïtaata","ïmaangu luume; itaata luume; inkwetu","ïmaangu luume; itaata luume; inkwetu","ïtaata fyaala","ïmaangu","ïmaangu seenje","ïmaangu seenje","ïmaangu","ïmaangu","ïmaangu fyaala"
"M31_Nyakyusa","nyak1260","xd123, xd83","Ad6, SCCS8, Ad16","Ad6",0,7,8,15,9,5,1,"tata","taata unkulumba","taata unnandi",,,"nkogho","juuba","unnyasenga","unnyasenga","mama unkulumba","mama unnandi","nkogho"
"M41_Taabwa","shil1264","xd61","Ac35","Ac35",0,1,3,15,9,5,1,"tata","tata; mwinzyo","tata; mwinzyo","yama","tata; mwinzyo",,"nh-ina","nhina","nhina","nhina","nhina",
"M42_Bemba","bemb1257","xd55, xd60","Ac3, SCCS7, Ac34","Ac3",0,1,3,1,1,5,1,"tata","tata mukalamba","tata mwaice","yama","yama","ase","yangu; mayo","mayosenge","mayosenge","mayo mukalamba","mayo mwaice","ase"
"M52_Lala","lala1264","xd59","Ac33","Ac33",1,6,4,15,9,5,1,"wata","nyinalume","nyinalume","umwisyo","umwisyo","wawisi vyala","wama","wawo","wawo","wama munini","wama munini","nyina vyala"
"M54_Lamba","lamb1271","xd71","Ac5","Ac5",1,1,3,2,2,5,1,"tata","tata","tata","mwinsyo","mwinsyo","tatafyala","mama","tatankasi","tatankasi","mama","mama","mamafyala"
"M64_Tonga","tong1321","xd37","Ac13","Ac13",1,1,3,2,2,5,1,"taata","taata","taata","simwiesu","simwiesu","mukwe","bamaama","bamaama","bamaama","bamaama","bamaama","mukwe"
"Moghamo_Grassfields","meta1238","xd181","Ae59","Ae59",1,,,,,,1,"tà; tatá; mɔtà",,,"tama","tama",,"ŋgɔ́p; ibəŋgɔ́p'; bəŋgɔ́bə́",,,,,
"Mungaka_Grassfields","mung1266","xd170","Ae49","Ae49",1,,,,,,1,"bàba; ta","bamvuka̤d; bàbamvuka̤d; ban̊guka̤d; bàban̊guka̤d","bambo̠d; bàbambo̠d","nimbàn̊","nimbàn̊","ntsi","nǎ","mân̊na; tǎn̊gwi","mân̊na; tǎn̊gwi","nǎn̊guka̪d","nǎmbo̠d","n-tsi; n-gom"
"N12_Ngoni","ngon1269","xd75","Ac9","Ac9",1,1,3,15,9,5,1,"atata",,,"malume","malume","mpongozi","amama",,,,,"mpongozi"
"P23_Simakonde","mako1251","xd68","Ac41","Ac41",1,1,3,1,1,5,1,"chão; baba; atata; tatamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","nkwemunu; nkawangu; nkwemunu nume","mama; jujumunu; ajala","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nkawangu; nkwemunu nkongwe"
"P25_Mabia","mako1251","","",,1,,,,,,1,"chão; baba; atata; tatamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","nkwemunu; nkawangu; nkwemunu nume","mama; jujumunu; ajala","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nkawangu; nkwemunu nkongwe"
"R11_Umbundu","umbu1257","xd28","Ab5, SCCS5","Ab5",1,1,3,2,2,5,1,"mai","manu","manu","manu","manu","ndatembo","tate","tatekāi","tatekāi","tatekāi","tatekāi","ndatembo"
"R31_Herero","here1253","xd10","Ab1","Ab1",1,1,3,3,3,5,1,"tate; tate","o-hokuru; o-honini; honini","inyangu; inyangu","o-hokuru; o-honini","o-nguende","omu-kue","mama; mama","o-hongaze","o-hongaze",,"inyangu","ina omu-kue"
"S16_Kalanga","here1253","","",,1,,,,,,1,"tate; tate","o-hokuru; o-honini; honini","inyangu; inyangu","o-hokuru; o-honini","o-nguende","omu-kue","mama; mama","o-hongaze","o-hongaze",,"inyangu","ina omu-kue"
"S21_Venda","vend1245","xd29","Ab6","Ab6",1,1,3,2,2,5,1,"khotsi","khotsimuhulu","khotsimunene","malume","malume","makhulu-tshinna","mme","makhadzi","makhadzi","mmemuhulu","mmane","makhulu-tshisadzi"
"S31_Tswana","tswa1253","xd14","Ab13","Ab13",1,10,1,8,1,5,1,"rre","rre-mogolo","rrangwane","malome","malome","malome; mogwagadi; mogwagadi","mme","rrakgadi","rrakgadi","mme-mogolo","mmangwane","mogwagadi"
"S42_Zulu","zulu1248","xd13","Ab12","Ab12",1,7,8,15,9,5,1,"u-bä'-bä; baba","u-bä-bä-kä´-sa; baba omukulu","u-bä-bä-kä´-sa; baba omncane","u-mä-lǔ´-mä; malume","u-mä-lǔ´-mä; malume","u´-mkwä; mkwekazi baba","u-mä´-me; mame","u-bä´-bä; babakazi","u-bä´-bä; babakazi","u-mä´-mä kä´-ze; u-mä´-mä; mame","u-mä´-mä kä´-ze; u-mä´-mä; mame","u´-mkwä kä´-ze; wä´-me´; mkwekazi mame"
"S53_Tsonga","tson1249","xd27","Ab4, SCCS3","Ab4",1,12,5,15,9,6,1,"tatana","tatana lo'nkulu","tatana lo'ntsongo","kokwane; malume","kokwane; malume","tatana","manana","hahane","hahane","manana lo'nkulu","manana lo'tongo","manana"
"Tiv_Tivoid","tivv1240","xd320","Ah3, SCCS16","Ah3",1,12,5,15,9,4,1,"ter","ter u tamen","ter u tamen",,,"ter kem","ngo","ngo","ngo",,,"ngo kem"
