"taxon","glottocode","xd_ids","soc_ids","ea_id","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mF","mFeB","mFyB","mMeB","mMyB","mWF","mM","mFeZ","mFyZ","mMeZ","mMyZ","mWM"
"E51_Kikuyu","kiku1240","xd109","Ad4, SCCS11","Ad4",1,7,8,15,9,6,1,"baba","baba m'uk'ur'u","baba munyinyi","mama","mama","baba; mothoni; wathiomo","maiitu","tata","tata","tata","tata","mothoni; maitu"
"E53_Igoji","meru1245","","",,1,,,,,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E53_Imenti","meru1245","","",,1,,,,,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E53_Meru","meru1245","xd104","Ad35","Ad35",1,8,7,15,9,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E53_Meruimenti","meru1245","","",,1,,,,,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E53_Merutig","meru1245","","",,1,,,,,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E53_Miutini","meru1245","","",,1,,,,,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E53_Tigania","meru1245","","",,1,,,,,,1,"baaba","baaba mûkûrû","baaba mwanake","muntuetû","muntuetû","ithenthaka; muramû baaba","icia","mwarewaaba","mwarewaaba","ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake","inonthaka; muramû icia"
"E55_Kamba","kamb1297","xd103","Ad34","Ad34",1,,,,,,1,"nau","mwendw'au; mthomba","mwendw'au; mthomba","mwendw'au; mthomba; mama","mwendw'au; mthomba; mama","athoni; nau; muponi","mwaitu; maiitu; mwaitu","ukulu","ukulu","ukulu; mwaendia","ukulu; mwaendia","athoni; muponi"
"E55_Kamba_Kitu","kamb1297","","",,1,,,,,,1,"nau","mwendw'au; mthomba","mwendw'au; mthomba","mwendw'au; mthomba; mama","mwendw'au; mthomba; mama","athoni; nau; muponi","mwaitu; maiitu; mwaitu","ukulu","ukulu","ukulu; mwaendia","ukulu; mwaendia","athoni; muponi"
"E55_Kamba_Mach","kamb1297","","",,1,,,,,,1,"nau","mwendw'au; mthomba","mwendw'au; mthomba","mwendw'au; mthomba; mama","mwendw'au; mthomba; mama","athoni; nau; muponi","mwaitu; maiitu; mwaitu","ukulu","ukulu","ukulu; mwaendia","ukulu; mwaendia","athoni; muponi"
"E71A_Upper_Pokomo","poko1261","xd102","Ad33","Ad33",1,8,7,15,9,4,1,"baba","mmétje","mmétje","mumechwe","mumechwe",,"måma","ndugu ya baba","ndugu ya baba","ndugu ya baba","ndugu ya baba",
"E72a_Giryama","giry1241","xd101","Ad32","Ad32",1,8,7,15,9,7,1,"baba","bam'zhere","bam'hoho","ahu","ahu","mutsedza","hmama","tsangazimi","tsangazimi","hmam'zhere","hmam'hoho","mutsedza wa kuche"
"E73_Digo","digo1243","xd99","Ad30","Ad30",1,8,7,15,9,,1,"baba","baba mvyere","baba mdide","aphu","aphu","mtsedza","mayo","shangazi","shangazi","mayo mvyere","mayo mdide","mtsedza"
"F12_Bende","bend1258","xd85","Ad18","Ad18",1,8,7,15,9,,1,"táata","táata múkulú","táata múkulú","múkwetú","múkwetú","táata bhukwe","måajo","sêngé","sêngé","måajo múkulú","måajo múkulú","bhamaabhukwe"
"F21_Ntuzu","suku1261","","",,1,,,,,,1,"þaaþå","baba","baba","maarrub","maarrub","iaapa-puko","maayu","sèèngi","sèèngi","mayu","mayu","ilmaayo-puko"
"F21_Sukuma","suku1261","xd90","Ad22","Ad22",1,7,8,15,9,1,1,"þaaþå","baba","baba","maarrub","maarrub","iaapa-puko","maayu","sèèngi","sèèngi","mayu","mayu","ilmaayo-puko"
"F23_Sumbwa","sumb1240","xd117","Ad47","Ad47",1,7,8,15,9,5,1,"þååþå",,,,,"båå bukwé","mååyù","sèèngi","sèèngi",,,"måå bukwé"
"F33_Langi","lang1320","xd93","Ad25","Ad25",1,,,,,,1,"taata","baba mʊdudi; baba mʊdudi","baba mʊdudi; baba mʊdudi","baba; baba","baba; baba","kidƷɛƞgi","iyo","mama; mama","mama; mama","mama mʊdudi; mama mʊdudi","mama mʊdudi; mama mʊdudi","kidƷɛƞgi"
"Fefe_Grassfields","fefe1239","xd171","Ae5","Ae5",1,7,8,15,9,,1,"mbega; papaga; tá; tálà; tá; mbà; tšâš; tšât","mbega","mbega","mbega; múmæ̀mɔ̀","mbega; múmæ̀mɔ̀","ntseh; tákɥȉʔ; tšâš; tšât","owa; mɔ̀; pámɔ̀; mànə̄̀ŋ; má; mà; mšàšmu","mumètálà","mumètálà",,,"ŋgém; mákɥȉʔ; mšàšmuà"
"G11_Gogo","gogo1263","xd92","Ad24","Ad24",1,1,3,2,2,5,1,"soga","baba","baba","kuku","kuku","mukwe","yaya","nyinahenga","nyinahenga","yaya","yaya","wadala"
"G12_Kagulu","kagu1239","xd121","Ad50","Ad50",1,12,5,15,9,5,1,"baba","baba mkulu","baba mdodo","baba mkulu","baba mdodo","kuku","mai","mai mkulu","mai mdodo","mai mkulu","mai mdodo","mama"
"G22_Asu","asut1235","xd105","Ad36","Ad36",1,,,,,,1,"vava","vava ṃkulu","vava ṃdori","abu ṃbaha","abu ṃdori","wakwe","mchékú","éngå ṃbaha","éngå ṃdori","ṃkúlú","ṃdódo","wakwe"
"G22A_North_Pare","asut1235","","",,1,,,,,,1,"vava","vava ṃkulu","vava ṃdori","abu ṃbaha","abu ṃdori","wakwe","mchékú","éngå ṃbaha","éngå ṃdori","ṃkúlú","ṃdódo","wakwe"
"G22B_South_Pare","asut1235","","",,1,,,,,,1,"vava","vava ṃkulu","vava ṃdori","abu ṃbaha","abu ṃdori","wakwe","mchékú","éngå ṃbaha","éngå ṃdori","ṃkúlú","ṃdódo","wakwe"
"G23_Sambaa","asut1235","","",,1,,,,,,1,"vava","vava ṃkulu","vava ṃdori","abu ṃbaha","abu ṃdori","wakwe","mchékú","éngå ṃbaha","éngå ṃdori","ṃkúlú","ṃdódo","wakwe"
"G31_Zigua","zigu1242","xd96","Ad28","Ad28",1,,,,,,1,"tate","tate mkulu","tate mdodo","mtumba","mtumba","mkwe","mame","mame sangazi","mame sangazi","mame mkulu","mame mdodo","mkwe"
"G32_Doe","kwer1261","","",,1,,,,,,1,"tata","tata mkulu","tata mdodo","mtumba mkulu","mtumba mdodo","mkoi","mama","mama sangazi","mama sangazi","mama mkulu","mama mdodo","mkoi"
"G32_Kwere","kwer1261","xd95","Ad27","Ad27",1,1,3,15,9,5,1,"tata","tata mkulu","tata mdodo","mtumba mkulu","mtumba mdodo","mkoi","mama","mama sangazi","mama sangazi","mama mkulu","mama mdodo","mkoi"
"G34_Nguungulu","ngul1246","xd122","Ad51","Ad51",1,8,7,15,9,5,1,"tate","tate mkulu","tate mdodo",,,"mame vyalu","mame","mame mkulu","mame mdodo","mame mkulu","mame mdodo","mukwe"
"G35_Luguru","lugu1238","xd81","Ad14, SCCS10","Ad14",1,1,3,2,2,1,1,"baba","baba mkulu","baba mdodo","mkolo; mtumba; mjomba","mkolo; mtumba; mjomba","mkwe","mai; mama","mai shangazi; mama shangazi","mai shangazi; mama shangazi","mai mkulu","mai mdodo","mkwe"
"G61_Sangu","sang1330","xd91","Ad23","Ad23",1,1,3,15,9,5,1,"dada","dada","dada","yaya","yaya",,"yuva","yuvahengi","yuvahengi","yuva","yuva",
"G62_Hehe","hehe1240","xd125","Ad8","Ad8",1,1,3,2,2,5,1,"dada","dada muvina","dada mudodo","yaya muvina","yaya mudodo","mukwi","yuva","yuvahenge muvina","yuvahenge mudodo","yuva muvina","yuva mudodo","mukwi"
"G63_Bena","bena1262","xd78","Ad11","Ad11",1,1,3,15,9,5,1,"dada","dada","dada mdodo","yaya","yaya","muganafu","yuva; mayi","yuvahengi","yuvahengi","mayi","mayi mdodo","muganafu"
"H12_Civili_Congo","vili1238","","",,0,,,,,,1,,,,"nkasi","nkasi",,"ngul",,,"ngul","ngul",
"H131_Kisundi_Congo_Kimongo_1988","suun1239","xd42","Ac18","Ac18",0,,,,,,1,"tata",,,"ngwa","ngwa","bokilo","mama",,,,,"buko"
"H16_Cilinji","yomb1244","","",,1,,,,,,1,"tata","papa nkulutu","papa nleki","ngwa khazi","ngwa khazi",,"mama","papa nketo","papa nketo","mama nkulutu","mama nleki",
"H16_Cimbala","sans1272","","",,1,,,,,,1,"tata","mpangi a tata","mbunji a tata","ngudi","ngudi","ko","ngwa",,,"ngudi","ngudi","ko"
"H16_Cizobe","yomb1244","","",,1,,,,,,1,"tata","papa nkulutu","papa nleki","ngwa khazi","ngwa khazi",,"mama","papa nketo","papa nketo","mama nkulutu","mama nleki",
"H16a_Kisikongo_2013","sans1272","xd38","Ac14","Ac14",1,1,3,15,9,,1,"tata","mpangi a tata","mbunji a tata","ngudi","ngudi","ko","ngwa",,,"ngudi","ngudi","ko"
